product_id,parent_sku,"Light Source","Fixture Size","Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Lumen Output","Color Temperature","Total Input Watts",__alsobought,"Lamp Count",Lens,Socket,Application,"Insulation Rating","Driver Type","Luminaire Efficacy Rating (LER)","L70 Expected Life (hours)","Color Temperature (CCT)","Max Ambient Temp","Pack Size",Manufacturer,"Ballast Technology","Ballast Type","Lamp Type","Lamp Wattage","Line Voltage","Starting Type","Ballast Factor","Total Input Watt","Housing Type","Color Rendering Index","Rated Life","Expected Life (hours)","Color Temperature  (CCT)","Max Ambient","Color Rendering index (CRI)","Total Watt Input Watts","Colo Rendering Index (CRI)","Driver type","Luminaire Efficacy Rating","Max AMbient","L70 Expected Life hours)","Lumen Options","Color Rendering Index ((CRI)","Fixtture Size",Wattage,"Fixrture Size","L90 Expected Life (hours)","Fixtrure Size","Coilor Temperature","Color TemperatureColor Rendering Index (CRI)","L70 Expected Hours (hours)","Fixture SIze"
271,ILP-BL-4T8,"T8 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,F14T5/830-CASE50,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,1350,3000K,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,F14T5/835-CASE50,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,1350,3500K,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,F14T5/841-CASE50,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,1350,4100K,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,F14T5/865-CASE50,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,1350,6500K,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,F21T5/830-CASE50,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,2100,3000K,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,F21T5/835-CASE25,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,2100,3500K,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,F21T5/841-CASE25,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,2100,4100K,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,F21T5/850-CASE25,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,2100,5000K,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,F21T5/865-CASE25,"T5 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",85,2100,6500K,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
