product_id,parent_sku
3197,DG-MWPQF1X50
3198,DG-MWPQF1X25
3199,LT-LEDH-SR8C-UZTD
3200,DG-LWPQF1X43
3201,DG-WBB4QF1X25U
3203,LT-LEDH-SR8W-UZTD
3205,DG-WPR25OFQ
3206,LT-LEDH-SR8P-UZTD
3207,DG-B2PTQF1X23
3208,DG-WPR25HCQ
3209,DG-WPR25GRQ
3210,DG-B2Q
3211,DG-B1BPTQF1X23
3212,DG-B1PTQF1X23
3213,DG-AFS20QF1X17
3214,DG-AFR20QF1X17
3215,DG-B1Q
3216,LT-LEDH-S55-UTD
3217,LT-LEDH-S55-UZTD
3226,LT-SH-LED8
3227,LT-SH-LED8WP
3228,LT-LEDMCL-1LN
3229,LT-LEDMCL-2LN
3230,DG-SWPQ
3231,LT-LEDMCL-3LN
3232,DG-LWPQF1X29
3235,LT-LEDMCL-4LN
3236,DG-PF81QF1X100
3238,LT-LEDMCL-1LN-Trimless
3240,LT-LEDMCL-2LN-Trimless
3241,LT-LEDMCL-3LN-Trimless
3242,DG-AFRB20QF1X17
3243,LT-LEDMCL-4LN-Trimless
3245,LT-LEDMCL-1LM
3246,ETH-B08-165W-H
3248,ETH-WRP-4-22W
3249,ETH-WRP-2-25W
3251,LT-LEDMCL-2LM
3252,LT-LEDMCL-3LM
3253,LT-LEDMCL-4LM
3255,LT-LEDMCL-1LM-Trimless
3256,LT-LEDMCL-2LM-Trimless
3275,GC-40PAR56DIM
3280,LT-LEDMCL-3LM-Trimless
3284,GC-13.5T5HE/4F
3285,GC-17T8/4F
3291,GC-11A19DIM
3292,GC-8A19DIM
3311,LT-LEDMCL-4LM-Trimless
3317,EN-68625-TR
3322,EN-6671
3324,EN-6661
3325,EN-6651
3328,EN-6641
3329,EN-6631
3330,EN-6621
3335,LT-SLED1204
3336,EN-6611
3337,LT-SLED1807
3338,EN-6601
3339,EN-6501
3340,LT-SLED2108
3341,EN-81200
3342,EN-63201
3343,LT-SLED2409
3344,EN-63200
3345,EN-63200-TR
3346,LT-SLED3612
3347,EN-63151
3348,LT-SLED4818
3349,EN-63150-TR
3351,LT-UCLD1204
3354,LT-UCLD1807
3355,EN-62755
3356,LT-UCLD 2108
3358,LT-UCLD2409
3361,LT-UCLD3612
3363,LT-UCLD4818
3364,EN-62150-TR
3366,LT-CMED-111-15
3367,EN-62080-TR
3370,EN-62060-TR
3372,LT-CMED-114-23
3375,EN-62050-IG
3376,EN-62040-TWR
3377,EN-62040-TR
3378,EN-62040
3379,LT-CMED-211-15
3380,EN-62021
3385,LT-CMED-214-23
3391,LT-CMED216
3392,EN-62020
3393,EN-62010
3394,LT-CMED312
3396,LT-CMED412
3397,LT-CMED414
3399,LT-CMED513
3400,LT-CMED515
3401,LT-DFR56
3404,EN-62000-IG
3409,EN-61580-TR
3411,EN-61580
3412,EN-61570-TR
3413,EN-61550-IG
3414,EN-61501-TR2USB-CC
3415,EN-61501
3416,EN-61500-IG-TR
3417,EN-61500-IG
3418,EN-61210
3419,EN-61160
3420,EN-6001
3431,F31T8/U-CASE20
3435,ILP-VOL22
3440,EN-59302
3446,EN-51300L
3451,TF-MTIM
3452,TF-HC60
3460,EN-51300
3468,EN-50321
3470,EN-17003
3496,TF-LLLRB47L42W2488L
3499,ILP-BLDT-15WLED
3505,TF-HC30
3512,BL-LEDMPAL15
3513,BL-LEDMPAL30
3514,BL-LEDMPAL50
3516,BL-LEDMPAL
3518,BL-LEDWPPC
3521,BL-LEDWP30W
3522,BL-LEDWP
3525,BL-LEDWP120W
3526,BL-LEDWPC20W
3527,BL-LEDWPC80W
3529,BL-CPLED
3538,GL-LVTS-40-MVD
3577,AEL-LDL4RWWA
3581,EL-EA21
3590,EL-EA19
3592,EL-EA19-
3595,EL-EA21--
3597,EL-EA21-
3602,EL-ER20
3603,AEL-LRKT240
3607,EL-EB30
3610,EL-EB40
3616,EL-EP16
3618,EL-EP20-
3622,EL-EP30-20
3624,EL-EP30-2
3628,EL-EP38-
3631,EL-EM16
3651,EL-DLC4
3654,EL-DLC
3661,EL-ET5-B
3665,EL-ET8-20
3675,GL-LVTS-45-MVD
3682,EE-TCB1X4-26W
3685,EE-LTR-22HE
3694,AEL-AE47
3698,EE-LLS-4VHE-41/8
3709,EE-SRFK8
3712,EE-LHB2
3726,AEL-LVTP4
3734,NL-AST-GS02
3736,AEL-LTDL24
3737,AE-U-IWP
3738,AEL-LTDL24DA
3740,AEL-LHCL4
3744,AEL-PLSW18
3747,AE-L-HBIS-100
3748,AEL-PLSW14
3749,AE-L-HBIS-150
3750,AE-L-HBIS-240
3751,AEL-LUTC
3752,AE-L-HBRS-240
3753,AEL-LSPR446SN
3754,AEL-LSPR336SN
3755,AEL-LSPR223SN
3758,AE-L-HBRS-150
3761,AE-L-HBUFO-150
3763,AEL-LSMF4
3764,AE-L-HBUFO-240
3765,AEL-LSMF2
3766,AEL-LSMF1
3767,AEL-LLPS4
3768,AEL-LSB8
3775,AEL-LSB4
3779,AEL-LCS8
3785,AEL-LCS4
3787,AEL-LSCDR
3791,AEL-LMWHB
3795,AEL-LUFOHBRS
3798,AEL-LUFOHB
3803,ELI-E1BPL2-H30D
3805,ELI-E1BPL1-H30D
3833,DG-SWPPCQF1X23U
3834,DG-SWPQF1X23
3835,LT-LED-ARFK12-UZTD
3836,LT-LEDH-SR6P-UTD
3838,DG-HLV1AVQ
3843,DG-HLV1AHQ
3847,JI-ZY-HB
3850,AEL-LVTP8
3852,DG-MWPQF1X41
3854,DG-LWPQF1X58
3856,DG-SACCORDQF1X37
3857,DG-LACCORDQF1X58
3858,DG-WPDLED14D5K
3861,DG-BRAVOQF1X33
3862,DG-WPC12Q
3863,AEL-LHBE
3865,AEL-LBSL8
3866,DG-MWPCOQ
3867,AEL-LBSL4
3868,AEL-LBSL2
3869,AEL-LRHB4
3872,AEL-LRHB2
3873,DG-LWPCOQF1X56U
3874,DG-FBWPGFQF1X23
3875,AEL-LFHB
3876,DG-FBWPHCQF1X23
3877,DG-FBWPOFQF1X23
3880,ELI-E4PL4A36D
3883,AEL-LHBA4
3884,DG-9X9QF1X23U
3885,AEL-LHBA
3891,AEL-LELV4
3900,ELI-E4OA06D
3901,ELI-E4OA09D
3902,AEL-LELV2
3906,AEL-LCBD4
3908,ELI-E3EA06DA
3909,AEL-LCBD2
3910,ELI-E3EA09DA
3911,AEL-LELL4
3915,ELI-ELY11D-CASE25
3917,ELI-ELY18D-CASE6
3919,ELI-E3B310D
3920,AEL-LELL2
3921,ELI-E3B414D-CASE10
3922,AEL-LCDI4
3923,ELI-ELY03
3924,AEL-LCDI2
3926,ELI-E2T8CG
3927,AEL-LCDI1
3929,ELI-E3SBH
3930,AEL-C24
3932,ELI-E2T8C
3933,AEL-C22
3935,AEL-C14
3938,AEL-LTCWL4
3939,ELI-ELYT82
3946,ELI-E2DL11D6
3947,AEL-LTCWL2
3952,AEL-LTCWL1
3957,AEL-LTC4
3962,ELI-ELYVT
3965,AEL-LTC2
3970,AEL-LTC1
3975,AEL-LTRB4
3980,TF-131A23212X1LN18W
3982,TF-131A317X1LN15W
3983,TF-131A417X1LN15W
3987,T1-HBLED110
3990,T1-SLED-424
3995,T1-BLED
3996,T1-BLEDRTFK24/A/40
3997,T1-WALED440-50
3998,T1-DBLED
4010,HL-XAL
4011,AEL-LTRB2
4014,HL-MLWP
4015,AEL-LTRB1
4017,HL-LWP
4018,HL-LEDMR
4019,ELI-E1BPL4
4022,ELI-E2HBDH
4036,TF-T5050L24V
4038,NL-NBAL-150W
4039,NL-NBAL-100W
4041,NL-NBAL-80W
4043,NL-NBAL-25W
4066,TF-LLLSR47L42W2488L
4068,TF-LLLSR96L83W4976L
4072,BL-BCLDLED4FT-42D
4073,BL-LEDS11
4074,BL-LEDS14
4076,BL-LEDR11
4077,BL-LEDR14
4078,BL-BVTPLED
4084,BL-LEDPNL2X2-40W
4085,BL-LEDPNL1X4-40W
4086,BL-LEDPNL2X4
4098,TF-DKSWBMW24L
4100,TF-HBCA48L
4101,TF-HBCA96L
4102,TF-44RSF
4103,TF-44RS
4106,HLT
4107,HU-S44-T-39
4109,HU-S22-T-19
4113,HU-S44M
4114,TLI-FPE2X4
4120,TLI-FPE2X2-L30.0-ZE-120-277V-MW
4122,TLI-FPE1X4-L30.0-ZE-120-277V-MW
4135,LT-LEDT-C34
4147,LT-LEDT-C32
4148,"SU-LFX/DISC/SCT/7.5""/15W/D"
4153,LT-LEDT-C44
4158,SU-LFX/SWP/75W
4160,SU-LFX/WP/60W/MV/D
4161,SU-LFX/WP/40W/MV/D
4162,SU-LFX/TP/12W
4165,LT-LEDT-C42
4166,SU-LFX/UD/SQ/30W
4167,SU-LFX/R/UD/20W
4168,SU-LFX/OSF/S/MS/24W
4169,SU-LFX/OSF/R/MS/20W/50K
4172,SU-T8/LED/FS/1.8W/E12/D/CL
4173,SU-G40/LED/FS/8W/D/CL
4174,SU-G30/LED/FS/8W/CL
4175,SU-G25/LED/FS/6W/D/CL
4176,LT-LEDQT-42-WH
4177,SU-G16.5/LED/FS/3W/E12/D/CL
4178,PI-PT-T5-4FB-24W
4180,SU-G16/LED/FS/3W/E26/D/CL
4181,SU-CFC/LED/FS/5W/E12/D/CL
4184,SU-CTC/LED/FS/5W/E12/D/CL
4185,LT-LED-LFR4
4187,SU-A19/LED/FS/4.5W
4189,LT-LED-LFR56
4192,PI-PT-FLM1-50W-
4193,PI-PT-FLM1-50W
4194,LT-LED-LFR6DC
4195,PI-PT-FLM1-30W-
4196,LT-LEDH-NCR4ICAR
4197,PI-PT-FLM1-30W
4198,LT-LEDH-NCR5ICAR
4199,PI-PT-FLM1-15W-
4200,LT-LED-ARFK8-UTD
4201,PI-PT-FLM1-15W
4202,ML-CPYSA
4203,ML-VW-8LED
4204,LT-LED-ARFK6-UZTD
4205,ML-VW-4LED
4206,LT-LED-ARFK8-UZTD
4207,ML-VW-2LED
4208,PI-PT-AL1-300W-50F
4209,LT-LEDH-CFK4ICA-G2-UTD
4210,ML-RKFSF-96LED
4211,LT-LEDH-CFK6ICA-G2-UTD
4212,ML-RKFSF-48LED
4213,LT-LEDH-CFK8ICA-G2-UTD
4214,ML-RKFSF-24LED12DMVFR
4216,ML-RKBCR-96LED
4217,LT-LEDH-CFK4ICA-G2-UZTD
4218,LT-LEDH-CFK6ICA-G2-UZTD
4219,ML-RKBCR-48LED
4220,LT-LEDH-CFK8ICA-G2-UZTD
4221,ML-RKDIS-24LED
4222,HU-DZ3X-T-D-M
4223,LT-HW-LEDH-AFK6
4224,ML-RKDIS-22LED
4225,LT-HW-LEDH-AFK8
4226,ML-RKDISE-24LED
4228,ML-RKDISE-22LED
4230,LT-WCED-3D-DOB
4231,ML-RG-24LED57DMV
4232,ML-RG-14LED57DMV
4233,ML-RG-22LED28DMV
4234,PI-PT-AL1-100W-50F-W
4236,LT-WCED-3UD-DOB
4237,ML-RGAIR-24LED
4238,ML-RGAIR-22LED
4239,ML-RAV-24LED
4240,LT-WCED-4D-DOB
4241,ML-RAV-22LED
4244,PI-PT-AL1-100W-50F
4245,LT-WCED-4UD-DOB
4246,ML-RP-229LED
4247,ML-RWW-48LED
4250,ML-RWW-24LED
4251,LT-WCED-4SD-DOB
4252,ML-RDISD-24LED
4253,ML-RDISD-22LED
4254,ML-RGCRV-24LED
4255,ML-RGCRV-22LED
4256,ML-SKY-24LED
4257,LT-WCED-4SUD-DOB
4258,ML-SKY-22LED
4259,ML-RDISE-24LED
4260,ML-RDISE-14LED
4261,ML-RDISE-22LED
4262,ML-RDISA-24LED
