product_id,parent_sku
267,E-F17T8
655,TF-LINPF2328MV
657,TF-LINPF232MV
659,TF-LINPF2548MV
662,TF-LINPF3548MV
664,TF-LINPF354MV
690,TF-LINLV2548MV
692,TF-LINLV254MV
694,TF-LINLV3548MV
696,TF-LINLV354MV
698,TF-LINMW2328MV
700,TF-LINMW232MV
702,TF-LINMW2548MV
704,TF-LINMW254MV
706,TF-LINMW3548MV
707,TF-LINMW354MV
712,TF-PLIN2328MV
714,TF-PLIN232MV
716,TF-PLIN2548MV
718,TF-PLIN254MV
720,TF-PLIN3548MV
828,TF-CITLB254MV
834,TF-CV8001
840,TF-CV8002
858,TF-ECLMW217S
895,TF-ECLMW232S
896,TF-ECLMW417S
897,TF-ECLMW432S
898,TF-ECLA217S
899,TF-ECLA232S
901,TF-ECLRE417S
902,TF-ECLRE432S
957,TF-WLINLV2328MV
959,TF-WLINLV232MV
960,TF-BKRA117MV
962,TF-WLINLV2548MV
964,TF-WLINLV254MV
965,TF-WLINMW2328MV
968,TF-WLINMW232MV
970,TF-WLINMW2548MV
973,TF-WLINMW254MV
974,TF-WLINPF2328MV
976,TF-WLINPF232MV
980,TF-WLINPF254MV
981,TF-VAN
984,TF-BKRA125MV
985,TF-BKRA132MV
1332,TF-24C2
1374,BL-RELXTE1RCAEM-SDT
1375,BL-LEDCXTEU
1540,AT-CPPG
1979,NL-TP260
1981,ILP-SS8-12L-U
2015,TL-TECBTA-24
2019,TL-TECBTA-22
2057,NL-NBQL
2113,PS-HB-18Y-PAD
2121,BL-DBEL
2122,BL-DXR
2124,BL-LEDR5HO
2125,PI-PT-HBL4
2126,BL-PAR-1
2134,ILP-AL-375WU
2136,ILP-AL-225WU
2141,ILP-AL-90WU
2181,ILP-BLFT-15WLED-UNIV-4000K
2224,EL-EB30-11W
2225,EL-EA21-22W
2227,EL-ET5-2
2291,DG-HLV4AOQ
2297,DG-DTRBQF1X15UHA
2313,DG-HLV2AOQ
2356,TF-131A14L
2357,TF-131A22L
2362,BL-RH-WP
2365,TF-128A24L
2366,TF-128A14L
2370,TF-153A14L
2374,TF-153A22L
2378,TF-153A24L
2382,EN-880111
2383,TF-200A224LS28W3300LDMV
2384,EN-8661
2385,EN-84150
2387,DG-HLF25QF1X132U
2390,TF-200A424LS48W6000LDMV
2394,TF-200A248L
2403,TF-200A296L
2410,TF-201A48L
2411,TF-201A96L
2441,TF-209A48L
2460,TF-UCLL22L
2461,TF-UCLL24L
2462,TF-UCLL14L
2463,TF-VLT22LJ36W3700LDMV
2464,TF-VLT24L
2467,EN-83200
2468,TF-LXT22LZ36W4200LDMV
2469,EN-83150L
2470,EN-83150
2471,TF-LXT24LZ50W6450LDMV
2472,EN-82150L
2483,TF-CRVRL24L
2484,TF-CRVRL22L
2487,TF-EWW24L
2488,TF-EWW48L
2512,TF-SKDFR48L
2513,TF-SKDFR96L
2514,TF-SKDWBFR24LJ35W3400LDMV
2515,TF-SKDWBFR48L
2516,TF-SKDWBFR96L
2525,TF-LVS648L
2532,TF-LVS696L
2540,TF-ECLMW424LS48W4000LDMV
2541,TF-ECLMW224L
2547,TF-ECLMW448LS96W8000LDMV
2548,TF-ECLMW248L
2556,DG-PF80Q
2561,DG-PF70Q
2564,TF-PUF22L
2568,DG-AFR32Q
2575,TF-CLMMW248L
2576,TF-CLMMW448L
2579,DG-AFR31Q
2582,TF-C24LFR
2583,TF-C48LFR
2584,TF-C96LFR
2588,TF-KDS48L
2589,TF-KDS96L
2590,TF-IND48L
2591,TF-IND96L
2690,DG-FTRBQ
2711,DG-AFS30Q
2866,DG-AFS32Q
