product_id,parent_sku
12038,WM-ELN4X-12-36W
12039,WM-ELN4X-12-54W
12040,WM-ELN4X-6-15W
12041,WM-ELN4X-6-36W
12042,WM-ELN4X-6-54W
12046,WM-LLHB4-100W-MP
12057,WM-LDSXL-MCT-DD
12058,WM-LLHB4-150W-MP
12059,WM-LLHB4-300W-MP
12152,TF-CLFRF-96L60W5600LDMV
12159,EE-SLTRK22-23W
12180,TF-LLLRB99L96W4976L
12188,ATG-FPEL-22
12189,ATG-FPEL-24
12205,EE-TLP-2x4-34W
12232,TL-LHB-2-111W
12239,NL-NBXL-150W
12240,NL-NBXL-200W
12241,NL-NBXL-300W
12246,SE-FROZEN-L108
12248,SE-FROZEN-L144
12249,SE-FORGE-L126
12250,SE-CROWN-NARROW-L72-277V
12251,SE-CROWN-NARROW-L45-277V
12252,SE-PATH-L150-120V
12253,SE-LINCUS-L24
12254,SE-LINCUS-L18
12256,SE-CROWN-L24
12258,SE-CROWN-L96
12262,SE-STRIDE-L144
12263,SE-STRIDE-L96
12264,SE-TINA-L120
12268,SE-FRIO4-L144
12269,SE-PHOENIX-L120
12270,SE-CREST NARROW-
12271,SP-FL02xxD-PD-54
12272,SP-FL02xxD-PD-39
12273,TF-L23PSF96LT
12274,TF-L23PSF48LT
12280,OD-CL-L15FM12PLDIM
12298,SP-DC618D-PD
12299,RP-4347-11
12300,RP-4347-13
12302,SP-FL2106D-C
12303,SP-FL2105D-C
12306,TL-CDL1MAX-8-25W
12339,SP-FL2106D-A
12342,SP-FL2105D-A
12349,T1-SLED-872
12350,T1-SLED-848
12351,T1-SLED-436
12374,LT-MMT‐S301
12375,LT-MMT‐S302
12376,LT-MMT‐S303
12377,LT-MMT‐S304
12386,LT-MMT‐S305
12387,LT-MMT‐S306
12391,LT-MMT‐S307
12392,LT-MMT‐S308
12409,BL-LEDRA-14
12411,T1-IHBLED4-B/481
12423,T1-IHBLED4-B/321
12424,T1-IHBLED4-B/281
12429,SP-FL2106D-B
12430,SP-FL2105D-B
12432,GL-DCF-14-17-120D-930
12441,SP-DC618D
12442,SP-DC614D
12443,SP-C034-65
12444,SP-646STD-HO
12445,SP-634STD-HO
12450,SP-624STD-36W
12451,SP-FL2106D
12452,SP-FL2105D
12453,ML-ABL3-96LED52DDV07BSF
12454,ML-ABL3-72LED39DDV07BSF
12455,ML-ABL3-48LED26DDV07BSF
12458,SP-3-0615D
12463,TF-SBR-24X48
12464,TF-SBR-24X24
12472,TF-MAX3FR-24L
12473,TF-MAX3FR-48L
12475,TF-LLLSH96L
12476,TF-MAX3FR-36L
12493,ILP-LANCE14-29L-U
12494,ILP-LANCE14-40L-U
12495,ILP-LANCE14-49L-U
12496,ILP-LANCE14-61L-U
12497,ILP-LANCE22-31L-U
12498,ILP-LANCE22-34L-U
12499,ILP-LANCE22-37L-U
12500,ILP-LANCE22-48L-U
12501,ILP-LANCE24-30L-U
12502,ILP-LANCE24-37L-U
12503,ILP-LANCE24-43L-U
12504,ILP-LANCE24-49L-U
12505,ILP-LANCE24-54L-U
12506,ILP-LANCE24-62L-U
12507,ILP-HZB2-12L-U
12516,ILP-FX4-12W-U
12517,ILP-HZV2-2L-U
12518,ILP-WTZ2-2L-U
12519,ILP-RZ4-20W-U
12520,ILP-RZ8-40W-U
12521,GL-RDL-7-15-120D
12522,ILP-WTZ8-14L-U
12523,ILP-VOLA14-24L-U
12524,ILP-RZ4-32W-U
12528,GL-UCL-42-18-120D
12529,GL-UCL-33-14-120D
12530,ILP-HZB2-18L-U
12531,GL-UCL-24-9-120D
12532,GL-UCL-21-9-120D
12533,ILP-HZV2-4L-U
12534,GL-UCL-18-9-120D
12535,ILP-RX4-12W-U
12536,GL-UCL-12-5-120D
12537,ILP-RZ8-64W-U
12539,GL-LWLV-4-34-MVD
12541,ILP-EDV-15L-U
12543,SP-FL0354D-PD
12556,SP-FL0339D-PD
12583,TF-SBCST-24X24LP
12584,TF-SBCST-20X20LP
12585,TF-SBCST-12X12LP
12597,PF-DCSHM-24W
12598,PF-DCSHM-36W
12599,WM-XT-WP
12600,WM-XT-WP-2
12601,WM-XT-WP-1
12605,WM-XTSL
12610,WM-XTSL-CL
12616,WM-XTR-2
12617,WM-XTR-1
12623,WM-XT-CWP
12624,WM-AA-145
12625,WM-AA-146
12626,WM-AD-003
12627,WM-AD-131
12629,WM-AD-192
12630,WM-AS-158
12631,WM-AS-159
12669,WM-CMC2L-MCT-DT
12678,WM-CMC2-MCT-DT
12679,WM-CMC3-MCTP-DD
12698,LLL-LL2G
12699,LLL-LRG2-HO
12700,LLL-LSG2
12701,LLL-LL3G
12702,LLL-LL3G-DTW
12703,LLL-LL3G-5CCT
12704,LLL-LRG3
12705,LLL-LRG3-DTW
12706,LLL-LRG3-5CCT
12715,LLL-LSG3
12716,LLL-LSG3-DTW
12717,LLL-LSG3-5CCT
12718,LLL-LY6S
12719,LLL-LL6SRG
12722,LLL-LL4G
12723,LLL-LL4G-HO
12724,LLL-LRG4
12725,LLL-LL4G-DTW
12726,LLL-LL4G-5CCT
12727,LLL-DDC-H060-24V-NA-5M
12729,LLL-LL6RRG
12730,BL-HPEM
12731,WM-XTN4X-2-EM
12734,WM-XTN4X-1-EM
12742,WM-CMC4-MCTP-DD
12743,WM-CMC6-MCTP-DD
12744,WM-CRES-51
12745,WM-CRL10-18W
12746,WM-CRE-01
12747,WM-DBEL-ACEM
12749,WM-E12-FLA-5W
12751,WM-FMD-11-MCT5
12752,WM-XT-CLWP
12753,WM-XTN4X-2
12754,WM-XTN4X-1
12757,WM-WMX-SM-15-30W
12764,WM-AD-102
12765,WM-CRE-03
12766,WM-WMX-MD-20-50W
12767,WM-WMX-MD-20-80W
12802,WM-WMX-LG-50-120W
12803,WM-CRE-06
12805,WM-CRE-08
12806,WM-WML-HL-60W
12807,WM-CRE-07
12808,WM-WML-HL-100W
12809,WM-CRE-10
12810,WM-WML-HL-50W
12819,WM-WML-60
12820,WM-WMCS5-UDL-MCT
12821,WM-WMCS5-DL-MCT
12823,WM-WAE-4FT
12834,WM-WL-181
12848,WM-UW-125
12850,WM-UCA-12
12851,WM-UCA-16
12852,WM-UCA-21
12853,WM-UCA-24
12854,WM-UCA-33
12855,WM-UCA-42
12856,WM-UCA-8
12857,WM-T8-EZ3-2FT-15W
12858,WM-STL3-30W
12859,WM-STL3-100W
12860,WM-STL3-150W
12873,WM-STL3-80W
12874,WM-STL3-50W
12876,WM-CRL-EGN-18W
12877,WM-CRL-EGN-27W
12878,WM-CRL-EGN-40W
12881,WM-CRE-04
12882,WM-CRE-05
12883,WM-CRL4-27W
12907,WM-CRE-HL20-01
12908,WM-CRE-HL20-02
12910,WM-CRE-HL20-03
12911,WM-CRE-HL20-04
12912,WM-CRE-HL20-05
12913,WM-CRE-HL20-06
12914,WM-CRE-HL20-07
12915,WM-CRE-HL20-08
12916,WM-CRE-HL20-10
12917,WM-CRES-52
12918,WM-CRLC6-15W
12923,WM-LESW-15W-30W-MCTP
12951,LLL-LL4RR
12954,LLL-LB4R
12957,TF-TADP11X19LD15D120
12959,TF-TADP14X27LD28D120
12960,TF-TADP18X34LD40D120
12962,TF-SABDP50X50LPD85DMV
12963,TF-WABP47X47LYD28DMV
12966,TF-SAP34D27DMV-C
12968,TF-SAP44D27DMV-T
12972,TF-LABA2412LYD12WDMV
12974,TF-LABA2416LYD12WDMV
12976,WM-LF12-6
12977,WM-LF3-WH-15
12980,TF-LABA2424LYD12WDMV
12981,TF-LABA4812LYU12D24DMV
12982,TF-LABA4816LYU12D24DMV
12983,TF-LABA4824LYU12D24DMV
12984,TF-LABA7212LYU18D36DMV
12985,TF-LABA7216LYU18D36DMV
12987,WM-LP-1X4-45W
12988,TF-LABA4812LYD24WDMV
12989,TF-LABA7224LYU18D36DMV
12990,TF-LABA2424LYU6D12DMV
12991,TF-LABA2416LYU6D12DMV
12992,TF-LABA2412LYU6D12DMV
12993,TF-LABA9624LYU24D48DMV
12994,TF-LABA9616LYU24D48DMV
12995,TF-LABA9612LYU24D48DMV
12997,WM-LPNG-1X4-4KLM
12998,WM-LPNG-2X4-5KLM
12999,WM-LPNG-2X4-6KLM
13006,WM-LPNG-2X4-7KLM
13007,WM-LR-ECO-20W
13009,TF-LABA7212LYD36WDMV
13010,TF-LABA7216LYD36WDMV
13011,TF-LABA7224LYD36WDMV
13012,TF-LABA9612LYD48WDMV
13014,TF-LABA9616LYD48WDMV
13015,TF-LABA9624LYD48WDMV
13017,TF-LAB2412LYD12WDMV
13018,TF-LAB2412LYU6D12DMV
13019,TF-LAB2416LYD12WDMV
13020,TF-LAB2416LYU6D12DMV
13021,TF-LAB2424LYD12WDMV
13022,WM-LW360-120W
13023,TF-LAB2424LYU6D12DMV
13024,TF-LAB4812LYD24WDMV
13025,TF-LAB4812LYU12D24DMV
13026,TF-LAB4816LYD24WDMV
13027,TF-LAB4816LYU12D24DMV
13028,TF-LAB4824LYD24WDMV
13029,TF-LAB4824LYU12D24DMV
13030,TF-454
13031,TF-LAB7212LYU18D36DMV
13032,TF-LAB7216LYD36WDMV
13033,TF-LAB7216LYU18D36DMV
13034,TF-LAB7224LYD36WDMV
13055,WM-LWPX-50W
13057,TF-LABA4816LYD24WDMV
13058,TF-LABA4824LYD24WDMV
13059,TF-LAB7224LYU18D36DMV
13060,TF-LAB9612LYD48WDMV
13061,TF-LAB9612LYU24D48DMV
13062,TF-LAB9616LYD48WDMV
13063,TF-LAB9616LYU24D48DMV
13064,TF-LAB9624LYD48WDMV
13065,TF-LAB9624LYU24D48DMV
13066,WM-PAR36-12W
13067,WM-PL120ADJ
13070,WM-RDL4-BF
13072,WM-RDL6-BF
13077,WM-RSLC6-BF
13083,WM-SCX-2FT-20W
13084,WM-SCX-4FT-40W
13111,WM-SCX-6FT-60W
13112,WM-SCX-8FT-80W
13137,TF-LXT22LZ24W3000LDMV
13138,TF-PRLW44RSF24LR16W
13139,TF-PRLW44RSF48LR32W
13140,TF-PRLW44RSF72LR48W
13141,TF-PRLW44RSF96LR64W
13142,TF-PRLW46RSF24LR16W
13143,TF-PRLW46RSF48LR32W
13144,TF-PRLW46RSF72LR48W
13145,TF-PRLW46RSF96LR64W
13146,TF-RIGP48LC48W
13147,TF-RIGP24LC24W
13148,TF-RIGP72LC72W
13149,TF-RIGP96LC96W
13151,TF-PUF22LS24W
13152,TF-PUF22LH36W
13162,WSD-SB06W
13164,WSD-SB10W
13165,WSD-SB15W
13167,WSD-SB20W
13168,WSD-SB30W
13170,WSD-SB40W
13172,WSD-ST10W27
13173,WSD-ST15W27
13175,WSD-45WDW27
13178,WSD-PT10W27
13179,WM-LSWX-5-30W
13180,WSD-PT15W27
13186,WSD-RPT06W27
13187,WSD-SPT06W27
13188,WM-SLE-120V
13189,WSD-HPT06W27
13190,WSD-HPT10W27
13191,WM-SLE-12V
13192,WSD-BL25W27
13193,WM-SLEA-120V
13194,WSD-SE40W
13195,WM-SLEA-12V
13196,WSD-SE60W
13198,WSD-HWP45W27
13199,WSD-HWP07W27
13201,WSD-HWP10W27
13202,WSD-HWP12W27
13203,WM-LWAX-SM-12W
13204,PI-PT-STL-4FT
13206,WSD-SWP02W27
13207,WSD-SWP45W27
13209,WM-PL120ADJ-3KIT
13210,WSD-SWP07W27
13213,WSD-SWP10W27
13214,WSD-45WAWP27
13215,WSD-70WAWP27
13216,WSD-FWP45W
13219,WSD-BWP45W27
13221,WSD-BWP07W27
13222,WSD-GWP05W27
13223,WSD-GWP10W27
13224,WSD-GWP07W27
13227,WM-SCX-3FT-30W
13229,WM-IGL-3W
13248,WSD-WP01W27
13249,LLL-LRG4-HO
13250,WSD-WP015W27
13251,WSD-WP02W27
13252,LLL-LL4R
13253,WSD-PGC45W27
13255,WSD-UPGC45W
13256,WSD-UPGC07W
13257,WSD-UPGC09W
13258,WSD-CP95W
13270,WSD-CP12W
13271,WSD-CP15W
13272,WSD-CP20W
13273,WSD-FL03W27
13275,WSD-FL45W27
13276,WSD-FL07W27
13280,WSD-10WFL27
13283,WM-T5-12IN-5W
13290,WSD-15WFL27
13291,WM-T5-TYPB-25W
13293,WSD-20WFL27
13295,LLL-LL4S
13298,WSD-LHB2F130W
13299,WSD-LHB4F300W
13300,WSD-LHB4F255W
13325,WSD-LHB2F85W
13326,WSD-LHB2F170W
13336,WSD-VP2FT25W27
13337,WSD-VP4FT45W27-G2
13338,WSD-UFO10W27
13339,WM-T5-22IN-9W
13340,WSD-UFO15W27
13341,WM-T5-47IN-16W
13344,WM-CRLC8-20W
13345,WSD-P14FT36W
13346,WSD-P24FT48W
13347,WSD-RP4FT40W
13348,WM-DLS6-30K-B
13349,WSD -ST4FT40
13350,WSD-ST8FT64
13355,WSD-RP4FT303540W-3545K
13364,WM-LSWX-20W
13372,LLL-LL6R
13376,WSD-CP45W27
13377,WSD-PGC07W27
13378,WM-CRLC8-15W
13379,LLL-LB6R
13380,WSD-UFO20W27
13381,LLL-LY6RCS
13392,WM-CRLC8-15W-D-WH
13396,LLL-LL10R
13400,LLL-LL8R
13401,LLL-LY82RCD
13404,WM-IGL-7W
13406,WSD-UHB20W48
13407,TF-LLLSA97L46W
13408,LLL-LL4RBX
13410,WSD-UHB15W48
13411,LLL-LL4R24V
13412,WSD-UHB10W48
13413,WM-LCFA-MCT5-WH
13418,LLL-LY4S
13419,LLL-LL2G24V
13433,LLL-LL4RRG
13434,LLL-LL4SRG
13456,LLL-LD4S
13458,LLL-LD6R
13468,LLL-LY61RCD
13470,LLL-LY61RCD-WET
13472,LLL-LRG2
13480,WSD-P22FT36W
13481,WSD-1L-D236-90
13503,LLL-LB4R24V
13519,WM-CRLC8-20W-D
13528,WM-CRLC6-20W
13539,LLL-LD4R
13562,LLL-LY4RCS
13568,LLL-LD4R-HO
13583,Testing123
13590,LLL-LL4SR
13603,WM-LW360-40W
13606,WM-LWAX-MD-30W
13618,WM-SL-30W-D
13621,WM-SL-40W
13623,WM-CRLC4-15W
13635,WM-LRD-10W-3WTR
