product_id,parent_sku
10652,TF-44RFSF48L
10653,LT-CMED314
10655,LT-CMED-605-BN
10656,LT-STS-2370
10657,LT-STS-2380
10661,TF-HBC1232M23X1LN18W
10662,TF-CITCL332X1LN18W
10666,SP-2-0249D
10667,SP-DC612D
10668,SP-FL0324D-PD
10669,SP-3-4098D
10670,SP-3-4161D
10671,SP-3-4081D
10672,SP-3-4031D
10673,RP-7553
10676,RP-7580
10680,TF-CEU3
10681,ILP-WPSO-30WLED-UNIV
10685,CTL-LB60A
10687,CTL-P13XSP
10692,E-LED9WA19/ADV
10693,E-LED9WA19/ADV-
10695,MX-LSV4U
10699,MX-11A19GUDLED27/G4
10703,WM-LPS-1X1
10704,JI-EV-SLW-100WB1
10705,EL-DLC4-2
10706,EL-DLC4S-
10707,EL-DLC6S-
10708,EL-DLC6SQ
10727,AL-MVP-1
10728,OD-21957-MRNU
10729,ML-RDIS-22LED
10730,ML-RDIS-14LED
10731,ML-RDIS-24LED
10733,WM-PL12R
10734,WM-PL12
10738,EN-62080
10740,EN-62081
10742,MX-MLVT14D40
10775,LT-DLED-1565HPC1008
10779,TPZ-F-VT4/50W
10780,TPZ-F-LWRAP/40W
10781,TPZ-F-LWRAP/20W
10782,TPZ-F-VTC22-79
10784,TPZ-F-VTC22/30
10787,TPZ-FL-24/40
10788,TPZ-F-L22/40
10789,TPZ-F-L22/30
10790,BL-DR4FT
10791,TPZ-F-L24
10792,BL-BRK-LED4ICN-GR
10793,BL-BRK-LED4ICN
10794,BL-BRK-LED46-DK-12W
10796,BL-LEDRA-11
10799,BL-WRE-4FT-44L
10801,BL-MRK
10804,BL-SL-2FT-25L
10805,BL-SL-8FT-80L
10806,BL-SL-4FT-46L
10807,TPZ-F-L22
10809,WM-SCL-CS1P-6FT-SERIES
10810,WM-SCL-CS1-6FT-SERIES
10811,WM-SCO-4FT-40W-MCT
10812,BL-SL-3FT-33L
10816,FL-ETH-A02-100W-HY-H
10817,FL-FI-CES
10818,BL-CB24-5L
10820,FL-FI-CPS
10821,FL-MHB02
10822,FL-ETH-PLBT-24-XXW
10823,FL-ETH-PLBT-22-XXW
10824,FL-FI-DP-24-U-P
10825,FL-FI-DP-22-U-P
10829,BL-CB22-3L
10830,EE-STL-4UXH/8CT-XE-G4-OSDL/HF
10832,EE-SED
10837,TF-MAX3FR-24LQ
10838,TF-MAX2FR
10839,TF-FPHK
10840,TF-SBR-12X48
10842,TF-153A424MV
10843,TF-SBCST-9X9LP
10844,TF-SBCSM
10845,TF-SBCP
10846,TF-L23HSFR58X58LQ
10847,TF-ICFFR
10848,TF-PLY44SF-OT
10849,TF-PLY44SF-HX
10850,TF-PLY44SF-SQ
10855,TF-PLY23PFR-CR
10863,MES-MVT03
10864,MES-MLH04
10872,TF-PLY23PFR-P
10873,TF-PLY23PFR-OT
10874,TF-PLY23PFR-HX
10875,TF-PLY23PFR-PT
10876,TF-PLY23PFR-SQ
10877,TF-PLY23PFR-TR
10879,TF-PLY23PFR-FAN
10880,WM-T5-TYPA-27W
10881,WM-FML-S6-11W
10882,WM-PL12-3KIT
10883,WM-IGL-1W
10884,WM-PL12ADJ
