id,name,type,sku,description,weight,width,depth,height,price,cost_price,retail_price,sale_price,map_price,tax_class_id,product_tax_code,calculated_price,brand_id,option_set_id,option_set_display,inventory_level,inventory_warning_level,inventory_tracking,reviews_rating_sum,reviews_count,total_sold,fixed_cost_shipping_price,is_free_shipping,is_visible,is_featured,warranty,bin_picking_number,upc,mpn,gtin,search_keywords,availability,availability_description,sort_order,condition,is_condition_shown,order_quantity_minimum,order_quantity_maximum,page_title,base_variant_id
267,"F17T8 Lamps - Case of 25",physical,E-F17T8,"<div class=""short-description"">Case of (25) 17W T8 linear fluorescent lamps, 83 CRI, choice of color temperature.</div><div class=""ProductDescription"">17 watt universal start T8 linear fluorescent lamp. CRI of 83 and 25,000 hr life at 12 hours per start. Choice of color temperature between 3000, 3500, and 4100K. Medium Bi-Pin (G13) base. Sold in case of 25 pcs.</div>",12,0,0,0,75,30,0,0,0,0,,75,127,142,right,10,0,none,0,0,0,0,,1,,,,,F17T8,,,available,,0,New,,0,0,"F17T8 Lamps - Case of 25",
655,"LIN Series 4 Lamp T8-8ft. Tandem Linear Indirect Lighting with Perforated Body",physical,TF-LINPF2328MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p></div></div>",35,0,0,0,655.72,459,765,0,0,0,,655.72,149,223,right,50,5,none,0,0,1,0,,1,,"<p><strong>Housing<br></strong>Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td>No</td></tr><p><strong>Resources<br></strong>No</p>",,,LINPF2328MV,,,available,,0,New,,0,0,"LIN Series 4 Lamp T8-8ft. Tandem Linear Indirect Lighting with Perforated Body",
657,"LIN Series 2 Lamp T8 Linear Indirect Lighting with Perforated Body",physical,TF-LINPF232MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p></div></div>",16,0,0,0,391.43,274,456.7,0,0,0,,391.43,149,224,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p>",,,LINPF232MV,,,available,,0,New,,0,0,"LIN Series 2 Lamp T8 Linear Indirect Lighting with Perforated Body",
659,"LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Perforated Body",physical,TF-LINPF2548MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p></div></div>",35,0,0,0,728.6,510,850,0,0,0,,728.6,149,225,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p>",,,LINPF2548MV,,,available,,0,New,,0,0,"4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Perforated Body",
662,"LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Perforated Body",physical,TF-LINPF3548MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p></div></div>",35,0,0,0,801.43,561,935,0,0,0,,801.43,149,226,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p>",,,LINPF3548MV,,,available,,0,New,,0,0,"6 Lamp T5HO Linear Indirect Lighting with Perforated Body",
664,"LIN Series 3 Lamp T5HO Linear Indirect Lighting with Perforated Body",physical,TF-LINPF354MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p></div></div>",16,0,0,0,464.3,325,541.7,0,0,0,,464.3,149,227,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Perforated Body Specification Sheet</strong></a></p>",,,LINPF354MV,,,available,,0,New,,0,0,"LIN Series 3 Lamp T5HO Linear Indirect Lighting with Perforated Body",
690,"LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing",physical,TF-LINLV2548MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting. Now available in four different housing configurationms (lens, louver, solid or perforated) depending on look and up/downlight mix desired. Only 7. wide and 2. deep available in four and eight foot sections.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p></div></div>",35,0,0,0,821.43,575,958.35,0,0,0,,821.43,149,228,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p>",,,LINLV2548MV,,,available,,0,New,,0,0,"LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing",
692,"LIN Series 2 Lamp T5HO Linear Indirect Lighting with Louver Housing",physical,TF-LINLV254MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting. Now available in four different housing configurationms (lens, louver, solid or perforated) depending on look and up/downlight mix desired. Only 7. wide and 2. deep available in four and eight foot sections.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Specification Sheet</strong></a></p></div></div>",16,0,0,0,497.15,348,580,0,0,0,,497.15,149,229,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Specification Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Specification Sheet</strong></a></p>",,,LINLV254MV,,,available,,0,New,,0,0,"LIN Series 2 Lamp T5HO Linear Indirect Lighting with Louver Housing",
694,"LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing",physical,TF-LINLV3548MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting. Now available in four different housing configurationms (lens, louver, solid or perforated) depending on look and up/downlight mix desired. Only 7. wide and 2. deep available in four and eight foot sections.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p></div></div>",35,0,0,0,882.86,618,1030,0,0,0,,882.86,149,230,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p>",,,LINLV3548MV,,,available,,0,New,,0,0,"LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing",
696,"LIN Series 3 Lamp T5HO Linear Indirect Lighting with Louver Housing",physical,TF-LINLV354MV,"<div class=""short-description""><p>A shallow indirect linear fixture with perforated body provides the ultimate in comfortable lighting. Now available in four different housing configurationms (lens, louver, solid or perforated) depending on look and up/downlight mix desired. Only 7. wide and 2. deep available in four and eight foot sections.</p></div><div class=""ProductDescription""><h3><strong>FEATURES &amp; SPECIFICATIONS</strong></h3> <p><strong>INTENDED USE<br /></strong>Indirect linear luminaire is available in 4' and 8' lengths. Low profile 2.1"" height and 7.9&rdquo; wide features a choice of die-cast end caps. (bullnose standard)&gt; High efficiency optics include specular aluminum reflector that is designed to provide wide distribution with 100% uplight.</p> <p><strong>CONSTRUCTION<br /></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat. Custom finshes available.</p> <p><strong>ENDCAPS<br /></strong>Die-Cast Aluminum ends - factory installed. Bull-Nose style with wing design available.</p> <p><strong>MOUNTING<br /></strong>Mount with 4&rsquo; adjustable cable (2 for 4&rsquo; unit or 8&rsquo; unit included). Consult factory for longer cables.</p> <p><strong>CONFIGURATION<br /></strong>Individual luminaires come with 2&ldquo; bullnose&rdquo; end caps factory-installed and function as a stand alone luminaire. Luminaires can also be combined in long runs by joining together Starters, Runners, and Ends. Starters and Ends have a single &ldquo;bullnose&rdquo; end cap factory installed. Standard feed points are located at the Starter. Feed points can be placed at any of the runners to suit building layout or if required to meet electrical loads on longer runs.</p> <p><strong>LISTING<br /></strong>Fixtures conform to Underwriters&rsquo; Laboratories standards for production and are carefully tested prior to packing.</p></div><div class=""resources_and_downloads""><div class=""block_ResDown""> 			<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2> 			<p class=""resourses""><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p></div></div>",16,0,0,0,534.3,374,623.35,0,0,0,,534.3,149,231,right,50,5,none,0,0,0,0,,1,,"<p><strong>Housing<br></strong>The die-formed steel housing is available with solid or perforated bottom, with riveted, heavy dut y, die-cast aluminum mounting plates. The end caps are die-cast aluminum and are factory installed. Housing and end caps are standard with our exclusive finish featuring an ultra durable white powder top coat.</p><p><strong>Mounting<br></strong>Mount with 4’ adjustable cable (2 for 4’ unit or 8’ unit, included). Consult factory for longer cables.</p><p><strong>Reflector<br></strong>-</p><tr><th>Resources</th>
			<td><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></td></tr><p><strong>Resources<br></strong><a href=""/content/resources/specs/LINseries.pdf"" target=""_blank""><strong>Linear Indirect Lighting with Louver Housing Spec Sheet</strong></a></p>",,,LINLV354MV,,,available,,0,New,,0,0,"LIN Series 3 Lamp T5HO Linear Indirect Lighting with Louver Housing",
