product_id,sku
268,QUOTE
271,ILP-BL-4T8
466,F14T5/830-CASE50
467,F14T5/835-CASE50
468,F14T5/841-CASE50
469,F14T5/865-CASE50
470,F21T5/830-CASE50
471,F21T5/835-CASE25
472,F21T5/841-CASE25
473,F21T5/850-CASE25
474,F21T5/865-CASE25
475,F24T5/830/HO-CASE50
476,F24T5/835/HO-CASE50
477,F24T5/841/HO-CASE50
478,F24T5/865/HO-CASE50
487,F39T5/830/HO-CASE50
488,F39T5/835/HO-CASE50
489,F39T5/841/HO-CASE50
490,F39T5/865/HO-CASE50
600,TF-HB131A125632M23MV
601,TF-HB131A125654M23MV
610,TF-H6L6328W13MV
612,TF-H6L632W13MV
613,TF-H6L6548M23MV
614,TF-H6L6548W13MV
615,TF-H6L654M23MV
616,TF-H6L654W13MV
617,TF-HBG432W13MV
618,TF-HBG454M23MV
619,TF-HBG454W13MV
620,TF-HBG632M23MV
621,TF-HBG632W13MV
622,TF-HBG654M23MV
623,TF-HBG654W13MV
624,TF-HBG832M23MV
625,TF-HBG832W13MV
626,TF-HBG854M23MV
627,TF-HBG854W13MV
628,TF-HBG1032M23MV
629,TF-HBG1032W13MV
630,TF-HBG1054M23MV
631,TF-HBG1054W13MV
665,TF-PPDI2548MVSLHC301WH
666,TF-PPDI2548MVWHC301WH
667,TF-PPDI254MVSLHC301WH
668,TF-PPDI254MVWHC301WH
669,TF-PPDI3328MVSLHC301WH
670,TF-PPDI3328MVWHC301WH
671,TF-PPDI332MVSLHC301WH
672,TF-PPDI332MVWHC301WH
673,TF-PPDI3548MVSLC301WH
674,TF-PPDI3548MVWHC301WH
675,TF-PPDI354MVSLC301WH
676,TF-PPDI354MVWHC301WH
677,TF-44SMW2328MVWH
678,TF-44SMW232MVWH
679,TF-44SMW2548MVWH
680,TF-44SMW254MVWH
721,TF-PLIN354MVSLHC401WH
722,TF-PLIN354MVWHHC401WH
723,TF-44RMW2328MVWH
724,TF-44RMW232MVWH
725,TF-44RMW2548MVWH
726,TF-44RMW254MVWH
727,TF-CRVPF217MV
728,TF-CRVPF224MV
729,TF-CRVPF232MV
730,TF-CRVPF254MV
731,TF-CRVPF317MV
732,TF-CRVPF324MV
733,TF-CRVPF332MV
734,TF-CRVPF354MV
735,TF-CRVRL217MV
736,TF-CRVRL224MV
737,TF-CRVRL232MV
738,TF-CRVRL254MV
739,TF-CRVRL317MV
740,TF-CRVRL324MV
741,TF-CRVRL332MV
742,TF-CRVRL354MV
768,TF-UDPF214MV
769,TF-UDPF217MV
770,TF-UDPF224MV
771,TF-UDPF232MV
772,TF-UDPF240BXMV
773,TF-UDPF254MV
774,TF-UDPF414MV
775,TF-UDPF417MV
776,TF-UDPF424MV
777,TF-UDPF432MV
778,TF-UDPF440BXMV
779,TF-UDPF454MV
780,TF-EWW140BXM20MV
781,TF-EWW240BXM20MV
782,TF-FIK1X4
783,TF-FIK2X2
784,TF-FIK2X4
785,TF-159A117MV
786,TF-159A125MV
787,TF-200A217MV
788,TF-159A132MV
789,TF-159A1328MV
790,TF-200A2328MV
791,TF-200A232MV
792,TF-200A3328MV
793,TF-200A332MV
