id,parent_sku,product_id,description,image_file,url_zoom,url_standard,url_thumbnail,url_tiny
1207,TF-LINMW2548MV,702,"LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Matte White Lens",x/682/linmw_4__96204.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1207/linmw_4__96204.1625875828.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1207/linmw_4__96204.1625875828.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1207/linmw_4__96204.1625875828.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1207/linmw_4__96204.1625875828.44.58.jpg?c=1
1208,TF-LINMW2548MV,702,"LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Matte White Lens",r/876/lin_series_4_lamp_t5ho-8ft._tandem_linear_indirect_lighting_with_matte_white_lens__12989.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1208/lin_series_4_lamp_t5ho-8ft._tandem_linear_indirect_lighting_with_matte_white_lens__12989.1625875829.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1208/lin_series_4_lamp_t5ho-8ft._tandem_linear_indirect_lighting_with_matte_white_lens__12989.1625875829.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1208/lin_series_4_lamp_t5ho-8ft._tandem_linear_indirect_lighting_with_matte_white_lens__12989.1625875829.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/702/images/1208/lin_series_4_lamp_t5ho-8ft._tandem_linear_indirect_lighting_with_matte_white_lens__12989.1625875829.44.58.jpg?c=1
1210,TF-LINMW254MV,704,"LIN Series 2 Lamp T5HO Linear Indirect Lighting with Matte White Lens",k/318/linmw_2_1__91580.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1210/linmw_2_1__91580.1625875874.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1210/linmw_2_1__91580.1625875874.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1210/linmw_2_1__91580.1625875874.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1210/linmw_2_1__91580.1625875874.44.58.jpg?c=1
1211,TF-LINMW254MV,704,"LIN Series 2 Lamp T5HO Linear Indirect Lighting with Matte White Lens",v/965/lin_series_2_lamp_t5ho_linear_indirect_lighting_with_matte_white_lens__77875.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1211/lin_series_2_lamp_t5ho_linear_indirect_lighting_with_matte_white_lens__77875.1625875875.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1211/lin_series_2_lamp_t5ho_linear_indirect_lighting_with_matte_white_lens__77875.1625875875.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1211/lin_series_2_lamp_t5ho_linear_indirect_lighting_with_matte_white_lens__77875.1625875875.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/704/images/1211/lin_series_2_lamp_t5ho_linear_indirect_lighting_with_matte_white_lens__77875.1625875875.44.58.jpg?c=1
1221,TF-PLIN2328MV,712,"PLIN Series 4 Lamp T8-8ft. Tandem Direct/Indirect Lighting",a/093/plin_1__96411.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1221/plin_1__96411.1625876178.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1221/plin_1__96411.1625876178.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1221/plin_1__96411.1625876178.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1221/plin_1__96411.1625876178.44.58.jpg?c=1
1222,TF-PLIN2328MV,712,"PLIN Series 4 Lamp T8-8ft. Tandem DirectIndirect Lighting",a/207/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_2__18835.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1222/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_2__18835.1625876179.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1222/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_2__18835.1625876179.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1222/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_2__18835.1625876179.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1222/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_2__18835.1625876179.44.58.jpg?c=1
1223,TF-PLIN2328MV,712,"PLIN Series 4 Lamp T8-8ft. Tandem DirectIndirect Lighting",e/727/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_4__08287.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1223/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_4__08287.1625876179.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1223/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_4__08287.1625876179.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1223/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_4__08287.1625876179.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1223/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_4__08287.1625876179.44.58.jpg?c=1
1224,TF-PLIN2328MV,712,"PLIN Series 4 Lamp T8-8ft. Tandem DirectIndirect Lighting",w/425/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_3__66915.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1224/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_3__66915.1625876180.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1224/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_3__66915.1625876180.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1224/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_3__66915.1625876180.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1224/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting_3__66915.1625876180.44.58.jpg?c=1
1225,TF-PLIN2328MV,712,"PLIN Series 4 Lamp T8-8ft. Tandem DirectIndirect Lighting",w/826/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting__67244.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1225/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting__67244.1625876181.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1225/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting__67244.1625876181.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1225/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting__67244.1625876181.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/712/images/1225/plin_series_4_lamp_t8-8ft._tandem_directindirect_lighting__67244.1625876181.44.58.jpg?c=1
1227,TF-PLIN232MV,714,"PLIN Series 2 Lamp T8 Direct/Indirect Lighting",o/983/plin_1_1_1__98510.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/714/images/1227/plin_1_1_1__98510.1625876225.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/714/images/1227/plin_1_1_1__98510.1625876225.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/714/images/1227/plin_1_1_1__98510.1625876225.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/714/images/1227/plin_1_1_1__98510.1625876225.44.58.jpg?c=1
