id,parent_sku,product_id,image_file,url_zoom,url_standard,url_thumbnail,url_tiny
916,F14T5/830-CASE50,466,a/936/hl_t5lamp__31176.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/916/hl_t5lamp__31176.1625835084.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/916/hl_t5lamp__31176.1625835084.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/916/hl_t5lamp__31176.1625835084.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/916/hl_t5lamp__31176.1625835084.44.58.jpg?c=1
917,F14T5/830-CASE50,466,h/219/hl_t5lamp_15__54860.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/917/hl_t5lamp_15__54860.1625835085.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/917/hl_t5lamp_15__54860.1625835085.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/917/hl_t5lamp_15__54860.1625835085.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/466/images/917/hl_t5lamp_15__54860.1625835085.44.58.jpg?c=1
918,F14T5/835-CASE50,467,z/995/hl_t5lamp_1__07857.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/918/hl_t5lamp_1__07857.1625835102.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/918/hl_t5lamp_1__07857.1625835102.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/918/hl_t5lamp_1__07857.1625835102.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/918/hl_t5lamp_1__07857.1625835102.44.58.jpg?c=1
919,F14T5/835-CASE50,467,r/282/hl_t5lamp_16__49618.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/919/hl_t5lamp_16__49618.1625835103.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/919/hl_t5lamp_16__49618.1625835103.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/919/hl_t5lamp_16__49618.1625835103.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/467/images/919/hl_t5lamp_16__49618.1625835103.44.58.jpg?c=1
920,F14T5/841-CASE50,468,v/766/hl_t5lamp_2__80036.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/920/hl_t5lamp_2__80036.1625835121.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/920/hl_t5lamp_2__80036.1625835121.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/920/hl_t5lamp_2__80036.1625835121.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/920/hl_t5lamp_2__80036.1625835121.44.58.jpg?c=1
921,F14T5/841-CASE50,468,u/128/hl_t5lamp_17__11693.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/921/hl_t5lamp_17__11693.1625835122.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/921/hl_t5lamp_17__11693.1625835122.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/921/hl_t5lamp_17__11693.1625835122.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/468/images/921/hl_t5lamp_17__11693.1625835122.44.58.jpg?c=1
922,F14T5/865-CASE50,469,o/036/hl_t5lamp_3__71215.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/922/hl_t5lamp_3__71215.1625835140.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/922/hl_t5lamp_3__71215.1625835140.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/922/hl_t5lamp_3__71215.1625835140.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/922/hl_t5lamp_3__71215.1625835140.44.58.jpg?c=1
923,F14T5/865-CASE50,469,h/127/hl_t5lamp_18__29302.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/923/hl_t5lamp_18__29302.1625835141.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/923/hl_t5lamp_18__29302.1625835141.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/923/hl_t5lamp_18__29302.1625835141.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/469/images/923/hl_t5lamp_18__29302.1625835141.44.58.jpg?c=1
924,F21T5/830-CASE50,470,a/652/hl_t5lamp_4__95647.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/924/hl_t5lamp_4__95647.1625835159.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/924/hl_t5lamp_4__95647.1625835159.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/924/hl_t5lamp_4__95647.1625835159.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/924/hl_t5lamp_4__95647.1625835159.44.58.jpg?c=1
925,F21T5/830-CASE50,470,k/458/hl_t5lamp_19__20100.jpg,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/925/hl_t5lamp_19__20100.1625835159.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/925/hl_t5lamp_19__20100.1625835159.386.513.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/925/hl_t5lamp_19__20100.1625835159.220.290.jpg?c=1,https://cdn11.bigcommerce.com/s-av4rzyboqm/products/470/images/925/hl_t5lamp_19__20100.1625835159.44.58.jpg?c=1
