product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","Light Source Options","Select Light Source","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options"
267,E-F17T8,F17T8-830,75,75,,,,0,3000K,,,,,,,,,,,,
267,E-F17T8,F17T8-835,75,75,,,,0,3500K,,,,,,,,,,,,
267,E-F17T8,F17T8-841,75,75,,,,0,4100K,,,,,,,,,,,,
267,E-F17T8,F17T8-850,75,75,,,,0,5000K,,,,,,,,,,,,
655,TF-LINPF2328MV,TF-LINPF2328MV-WHHC301WH,655.72,655.72,,,,0,,White,,,,,,,,,,,
655,TF-LINPF2328MV,TF-LINPF2328MV-SLHC301WH,728.6,728.6,,,,0,,Silver,,,,,,,,,,,
655,TF-LINPF2328MV,TF-LINPF2328MV-BKHC301WH,728.6,728.6,,,,0,,Black,,,,,,,,,,,
655,TF-LINPF2328MV,TF-LINPF2328MV-RDHC301WH,728.6,728.6,,,,0,,Red,,,,,,,,,,,
655,TF-LINPF2328MV,TF-LINPF2328MV-IRHC301WH,728.6,728.6,,,,0,,Iron,,,,,,,,,,,
657,TF-LINPF232MV,TF-LINPF232MV-WHHC301WH,391.43,391.43,,,,0,,White,,,,,,,,,,,
657,TF-LINPF232MV,TF-LINPF232MV-SLHC301WH,440,440,,,,0,,Silver,,,,,,,,,,,
657,TF-LINPF232MV,TF-LINPF232MV-BKHC301WH,440,440,,,,0,,Black,,,,,,,,,,,
657,TF-LINPF232MV,TF-LINPF232MV-RDHC301WH,440,440,,,,0,,Red,,,,,,,,,,,
657,TF-LINPF232MV,TF-LINPF232MV-INHC301WH,440,440,,,,0,,Iron,,,,,,,,,,,
659,TF-LINPF2548MV,TF-LINPF2548MV-WHHC301WH,728.6,728.6,,,,0,,White,,,,,,,,,,,
659,TF-LINPF2548MV,TF-LINPF2548MV-SLHC301WH,801.43,801.43,,,,0,,Silver,,,,,,,,,,,
659,TF-LINPF2548MV,TF-LINPF2548MV-BKHC301WH,801.43,801.43,,,,0,,Black,,,,,,,,,,,
659,TF-LINPF2548MV,TF-LINPF2548MV-RDHC301WH,801.43,801.43,,,,0,,Red,,,,,,,,,,,
659,TF-LINPF2548MV,TF-LINPF2548MV-INHC301WH,801.43,801.43,,,,0,,Iron,,,,,,,,,,,
662,TF-LINPF3548MV,TF-LINPF3548MV-WHHC301WH,801.43,801.43,,,,0,,White,,,,,,,,,,,
662,TF-LINPF3548MV,TF-LINPF3548MV-SLHC301WH,872.86,872.86,,,,0,,Silver,,,,,,,,,,,
662,TF-LINPF3548MV,TF-LINPF3548MV-BKHC301WH,872.86,872.86,,,,0,,Black,,,,,,,,,,,
662,TF-LINPF3548MV,TF-LINPF3548MV-RDHC301WH,872.86,872.86,,,,0,,Red,,,,,,,,,,,
662,TF-LINPF3548MV,TF-LINPF3548MV-INHC301WH,872.86,872.86,,,,0,,Iron,,,,,,,,,,,
664,TF-LINPF354MV,TF-LINPF354MV-WHHC301WH,464.3,464.3,,,,0,,White,,,,,,,,,,,
664,TF-LINPF354MV,TF-LINPF354MV-SLHC301WH,511.43,511.43,,,,0,,Silver,,,,,,,,,,,
664,TF-LINPF354MV,TF-LINPF354MV-BKHC301WH,511.43,511.43,,,,0,,Black,,,,,,,,,,,
664,TF-LINPF354MV,TF-LINPF354MV-RDHC301WH,511.43,511.43,,,,0,,Red,,,,,,,,,,,
664,TF-LINPF354MV,TF-LINPF354MV-INHC301WH,511.43,511.43,,,,0,,Iron,,,,,,,,,,,
690,TF-LINLV2548MV,TF-LINLV2548MV-WHHC301WH,821.43,821.43,,,,0,,White,,,,,,,,,,,
690,TF-LINLV2548MV,TF-LINLV2548MV-SLHC301WH,892.76,892.76,,,,0,,Silver,,,,,,,,,,,
690,TF-LINLV2548MV,TF-LINLV2548MV-BKHC301WH,892.76,892.76,,,,0,,Black,,,,,,,,,,,
690,TF-LINLV2548MV,TF-LINLV2548MV-RDHC301WH,892.76,892.76,,,,0,,Red,,,,,,,,,,,
690,TF-LINLV2548MV,TF-LINLV2548MV-INHC301WH,892.76,892.76,,,,0,,Iron,,,,,,,,,,,
692,TF-LINLV254MV,TF-LINLV254MV-WHHC301WH,497.15,497.15,,,,0,,White,,,,,,,,,,,
692,TF-LINLV254MV,TF-LINLV254MV-SLHC301WH,547.15,547.15,,,,0,,Silver,,,,,,,,,,,
692,TF-LINLV254MV,TF-LINLV254MV-BKHC301WH,547.15,547.15,,,,0,,Black,,,,,,,,,,,
692,TF-LINLV254MV,TF-LINLV254MV-RDHC301WH,547.15,547.15,,,,0,,Red,,,,,,,,,,,
692,TF-LINLV254MV,TF-LINLV254MV-INHC301WH,547.15,547.15,,,,0,,Iron,,,,,,,,,,,
694,TF-LINLV3548MV,TF-LINLV3548MV-WHHC301WH,882.86,882.86,,,,0,,White,,,,,,,,,,,
694,TF-LINLV3548MV,TF-LINLV3548MV-SLHC301WH,955.72,955.72,,,,0,,Silver,,,,,,,,,,,
694,TF-LINLV3548MV,TF-LINLV3548MV-BKHC301WH,955.72,955.72,,,,0,,Black,,,,,,,,,,,
694,TF-LINLV3548MV,TF-LINLV3548MV-RDHC301WH,955.72,955.72,,,,0,,Red,,,,,,,,,,,
694,TF-LINLV3548MV,TF-LINLV3548MV-INHC301WH,955.72,955.72,,,,0,,Iron,,,,,,,,,,,
696,TF-LINLV354MV,TF-LINLV354MV-WHHC301WH,534.3,534.3,,,,0,,White,,,,,,,,,,,
696,TF-LINLV354MV,TF-LINLV354MV-BKHC301WH,582.86,582.86,,,,0,,Black,,,,,,,,,,,
696,TF-LINLV354MV,TF-LINLV354MV-SLHC301WH,582.86,582.86,,,,0,,Silver,,,,,,,,,,,
696,TF-LINLV354MV,TF-LINLV354MV-RDHC301WH,582.86,582.86,,,,0,,Red,,,,,,,,,,,
696,TF-LINLV354MV,TF-LINLV354MV-INHC301WH,582.86,582.86,,,,0,,Iron,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-WHHC301WH,665.72,665.72,,,,0,,White,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-BKHC301WH,740,740,,,,0,,Black,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,740,740,,,,0,,Silver,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,740,740,,,,0,,Red,,,,,,,,,,,
698,TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,740,740,,,,0,,Iron,,,,,,,,,,,
