product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Lumen Options","Color Temperature (CCT)","Size Options","Size & Wattage Options","Finish Options","Wattage Options","End Cap Options","Voltage Rating	Options","Beam Angle Options","Fixture Options","Base Type Options","Voltage Options","Input Voltage Options","Connector Type Options","Lens Options","Main Cable Length","Wattage and Lumen Options","Wattage & Voltage Options","Finial & Globe Options","Select Options","Wattage Up/Down Options","Cable Options"
7249,SU-LFX/HB,SU-LFX/HB-100W/D/50K,238.05,238.05,,,,0,"100 Watts / 12,500 Lumens",,,,,,,,,,,,,,,,,,,,,
7249,SU-LFX/HB,SU-LFX/HB-150W/D/50K/V2,253.9,253.9,,,,0,"150 Watts / 18,700 Lumens",,,,,,,,,,,,,,,,,,,,,
7258,SU-LFX/2X2/30W/D/MV,SU-LFX/2X2/30W/D/MV-35K,64.25,64.25,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,
7258,SU-LFX/2X2/30W/D/MV,SU-LFX/2X2/30W/D/MV-40K,64.25,64.25,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7259,SU-LFX/FLAT,SU-LFX/FLAT-2x2,10.95,10.95,,,,0,,,2x2,,,,,,,,,,,,,,,,,,,
7259,SU-LFX/FLAT,SU-LFX/FLAT-1x4,10.95,10.95,,,,0,,,1x4,,,,,,,,,,,,,,,,,,,
7259,SU-LFX/FLAT,SU-LFX/FLAT-2x4,15.75,15.75,,,,0,,,2x4,,,,,,,,,,,,,,,,,,,
7260,SU-LFX/FLAT/,SU-LFX/FLAT/-2X2/RECESED,,55.5,,,,0,,,2x2,,,,,,,,,,,,,,,,,,,
7260,SU-LFX/FLAT/,SU-LFX/FLAT/-1X4/RECESED,,55.5,,,,0,,,1x4,,,,,,,,,,,,,,,,,,,
7260,SU-LFX/FLAT/,SU-LFX/FLAT/-2X4/RECESED,,55.5,,,,0,,,2x4,,,,,,,,,,,,,,,,,,,
7266,SU-LFX/ST/4FT/2L/30W/MV,SU-LFX/ST/4FT/2L/30W/MV-40K,64.95,64.95,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7266,SU-LFX/ST/4FT/2L/30W/MV,SU-LFX/ST/4FT/2L/30W/MV-50K,64.95,64.95,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7269,SU-LFX/ST/2FT/1L/11W,SU-LFX/ST/2FT/1L/11W-30K,25.65,25.65,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7269,SU-LFX/ST/2FT/1L/11W,SU-LFX/ST/2FT/1L/11W-40K,25.65,25.65,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7269,SU-LFX/ST/2FT/1L/11W,SU-LFX/ST/2FT/1L/11W-50K,25.65,25.65,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7271,SU-LFX/BB213/2FT/25W,SU-LFX/BB213/2FT/25W-30K,84.8,84.8,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7271,SU-LFX/BB213/2FT/25W,SU-LFX/BB213/2FT/25W-40K,84.8,84.8,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7277,SU-LFX/EC/8'/75W/MV/D/DLC,SU-LFX/EC/8'/75W/MV/D/DLC-35K,115.65,115.65,,,,0,,"3500K (Neutral White)",,,,,,,,,,,,,,,,,,,,
7277,SU-LFX/EC/8'/75W/MV/D/DLC,SU-LFX/EC/8'/75W/MV/D/DLC-40K,115.65,115.65,,,,0,,"4000K (Cool White)",,,,,,,,,,,,,,,,,,,,
7277,SU-LFX/EC/8'/75W/MV/D/DLC,SU-LFX/EC/8'/75W/MV/D/DLC-50K,115.65,115.65,,,,0,,"5000K (Super White)",,,,,,,,,,,,,,,,,,,,
7278,SU-LFX/EC/4'/23W/MV/D/DLC,SU-LFX/EC/4'/23W/MV/D/DLC-35K,87.95,87.95,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,
7278,SU-LFX/EC/4'/23W/MV/D/DLC,SU-LFX/EC/4'/23W/MV/D/DLC-50K,87.95,87.95,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7279,SU-LFX/EC/3'/25W/MV/D/DLC,SU-LFX/EC/3'/25W/MV/D/DLC-50K,66.4,66.4,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7279,SU-LFX/EC/3'/25W/MV/D/DLC,SU-LFX/EC/3'/25W/MV/D/DLC-35K,66.4,66.4,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,
7279,SU-LFX/EC/3'/25W/MV/D/DLC,SU-LFX/EC/3'/25W/MV/D/DLC-40K,66.4,66.4,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7295,SU-MKS/UCF/40,SU-MKS/UCF/40-30K,60.25,60.25,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7295,SU-MKS/UCF/40,SU-MKS/UCF/40-40K,60.25,60.25,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7304,SU-LFX/BAR/20W,"SU-LFX/BAR/20W-30K/18""/CH/D/ACRYL",64.25,64.25,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7304,SU-LFX/BAR/20W,"SU-LFX/BAR/20W-40K/18""/CH/D/ACRYL",64.25,64.25,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7305,"SU-LFX/VF/48""/48W/BN/E","SU-LFX/VF/48""/48W/BN/E-30K",128.55,128.55,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7305,"SU-LFX/VF/48""/48W/BN/E","SU-LFX/VF/48""/48W/BN/E-40K",128.55,128.55,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7306,"SU-LFX/VF/36""/36W/BN/E","SU-LFX/VF/36""/36W/BN/E-30K",100.25,100.25,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7306,"SU-LFX/VF/36""/36W/BN/E","SU-LFX/VF/36""/36W/BN/E-40K",100.25,100.25,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7307,"SU-LFX/VF/24""/28W/BN/E","SU-LFX/VF/24""/28W/BN/E-30K",83.55,83.55,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,
7307,"SU-LFX/VF/24""/28W/BN/E","SU-LFX/VF/24""/28W/BN/E-40K",83.55,83.55,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7312,T1-IHBLED4/B/281,T1-IHBLED4/B/281-40,272.85,272.85,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7312,T1-IHBLED4/B/281,T1-IHBLED4/B/281-50,272.85,272.85,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7314,T1-IHBLED4-B/201,T1-IHBLED4-B/201-40,,217.15,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7314,T1-IHBLED4-B/201,T1-IHBLED4-B/201-50,,217.15,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7315,T1-IHBLED2/B/161,T1-IHBLED2/B/161-40,155.75,155.75,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7315,T1-IHBLED2/B/161,T1-IHBLED2/B/161-50,155.75,155.75,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/81-40K,135.72,135.72,,,,0,,,,"25.5"" x 15.2"" x 2.1"" / 81 Watts",,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/81-40K,135.72,135.72,,,,0,,4000K,,,,,,,,,,,,,,,,,,,,
7316,T1-IHBLED2,T1-IHBLED2-B/81-50K,135.72,135.72,,,,0,,,,"25.5"" x 15.2"" x 2.1"" / 81 Watts",,,,,,,,,,,,,,,,,,
