product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage Options","Color Temperature (CCT)","Fixture Options","Beam Angle Options","Connector Type Options","Finish Options","Letter Color Options","Wattage & Lumen Options","Trimplate Options","Length & Wattage Options","Lens Options","Occupancy Sensor","Trim Options","Sensor Options","Battery Options","Size & Wattage Options","Size, Wattage & Lumen Options","Factory Installed Lamps","Mounting Kit","Wiring Options","Voltage Options","Control Options","Fixture Configuration","Mounting Options","Photo Cell","Wattage and Lumen Options","Square Trims Ring Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options"
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-30KWH,277.15,277.15,,,,0,"24 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-30KWH,277.15,277.15,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-35KWH,277.15,277.15,,,,0,"24 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-35KWH,277.15,277.15,,,,0,,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-40KWH,277.15,277.15,,,,0,"24 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-40KWH,277.15,277.15,,,,0,,"4000K (default)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-50KWH,277.15,277.15,,,,0,"24 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R24W2400LDMV-50KWH,277.15,277.15,,,,0,,5000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R48W4800LDMV-30KWH,287.15,287.15,,,,0,"48 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R48W4800LDMV-30KWH,287.15,287.15,,,,0,,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652,TF-44RFSF48L,TF-44RFSF48L-R48W4800LDMV-35KWH,287.15,287.15,,,,0,"48 Watts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
