product_id,parent_sku,sku,price,calculated_price,sale_price,retail_price,map_price,cost_price,"Wattage & Optic Options","Voltage Options","Color Temperature (CCT)","Lens Options","Driver Option","Finish Options","Height Options","Wattage  Options","End Cap Options","Wattage Options","Pendant Mounting Kit","Fixture Options","Wattage & Lumen Options","Pendant Mount Kit","Mounting Options","Beam Angle Options","Connector Type Options","Trim Type Options","Wattage & Optics/Beams Options","Factory Installed Lamps","Mounting Kit","Occupancy Sensor","Wiring Options","Control Options"
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-CB,1232.85,1232.85,,,,0,"37 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-CB,1232.85,1232.85,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-CB,1232.85,1232.85,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-CB,1232.85,1232.85,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-LB,1305.75,1305.75,,,,0,"37 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-LB,1305.75,1305.75,,,,0,,120-277v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-LB,1305.75,1305.75,,,,0,,,5000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-U-5K-LB,1305.75,1305.75,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-CB,1268.6,1268.6,,,,0,"37 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-CB,1268.6,1268.6,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-CB,1268.6,1268.6,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-CB,1268.6,1268.6,,,,0,,,,"Clear Polycarbonate Array Lens",,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-LB,1341.45,1341.45,,,,0,"37 Watts / Type III",,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-LB,1341.45,1341.45,,,,0,,347-480v,,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-LB,1341.45,1341.45,,,,0,,,3000K,,,,,,,,,,,,,,,,,,,,,,
2568,DG-AFR32Q,DG-AFR32Q-C-1X37-H-3K-LB,1341.45,1341.45,,,,0,,,,"SoftLED LumaLens Opal UV-Stabilized Polycarbonate Vandal-Resistant Drop Lens",,,,,,,,,,,,,,,,,,,,,
