sku,brand_name,cost-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
INLWA-12CW,845060001822,12W,WA-12CW,17.15
INLWA-12WW,845060001815,12W,WA-12WW,17.15
INLWA-20NW,845060025941,20W,WA-20NW,28.55
INLWA-80NW,845060025934,80W,WA-80NW,114.3
INLWA-80WW,845060001877,80W,WA-80WW,114.3
INLWA-120NW,845060025897,120W,WA-120NW,171.45
INLWA-120WW,845060001891,120W,WA-120WW,171.45
INLWA-12CW-WH,845060003925,12W,WA-12CW-WH,17.15
INLWA-12WW-WH,845060003932,12W,WA-12WW-WH,17.15
INLWA-20CW-WH,845060004359,20W,WA-20CW-WH,28.55
