sku,price-USD,price-USD,mpn,price-USD,product_name,description,item_weight,item_weight-unit
LWA-12CW,12W,5000K,
LWA-12WW,12W,3000K,
LWA-20NW,20W,4000K,
LWA-80NW,80W,4000K,
LWA-80WW,80W,3000K,
LWA-120NW,120W,4000K,
LWA-120WW,120W,3000K,
LWA-12CW-WH,12W,5000K,
LWA-12WW-WH,12W,3000K,
LWA-20CW-WH,20W,5000K,
LWA-20WW-WH,20W,3000K,
LWA-30CW-WH,30W,5000K,
LWA-30WW-WH,30W,3000K,
LWA-50CW-WH,50W,5000K,
LWA-50WW-WH,50W,3000K,
LWA-SH1,N/A,N/A,
LWA-SH2,N/A,N/A,
LWA-SH3,N/A,N/A,
LWP2-80CW,80W,5000K,
LWP2-80NW,80W,4000K,
LW360-25W-30K,25W,3000K,
LW360-25W-50K,25W,5000K,
LW360-40W-30K,40W,3000K,
LW360-40W-50K,40W,5000K,
LW360-60W-30K,60W,3000K,
LW360-60W-40K,60W,4000K,
LW360-60W-50K,60W,5000K,
LW360-80W-30K,80W,3000K,
LW360-80W-40K,80W,4000K,
LW360-80W-50K,80W,5000K,
LW360-25W-30K-WH,25W,3000K,
LW360-25W-50K-WH,25W,5000K,
LW360-40W-30K-WH,40W,3000K,
LW360-40W-50K-WH,40W,5000K,
LW360-SH1,N/A,N/A,
WML2-28W-50K-HL-SM,28W,5000K,
WML2-28W-40K-HL-SM,28W,4000K,
WML2-28W-30K-HL-SM,28W,3000K,
WML2-50W-50K-SM,50W,5000K,
WML2-50W-40K-SM,50W,4000K,
WML2-50W-30K-SM,50W,3000K,
WML2-50W-50K-HL,48W,5000K,
WML2-50W-40K-HL,48W,4000K,
WML2-50W-30K-HL,48W,3000K,
WML2-80W-50K-HL,80W,5000K,
WML2-80W-40K-HL,80W,4000K,
WML2-80W-30K-HL,80W,3000K,
WML2-120W-50K-HL-LG,120W,5000K,
WML2-120W-40K-HL-LG,120W,4000K,
WML2-120W-30K-HL-LG,120W,3000K,
WML2-150W-50K-LG,150W,5000K,
WML2-150W-40K-LG,150W,4000K,
WML2-150W-30K-LG,150W,3000K,
WMX-MCTP-D,"80W Max",3000K~5700K,
WMX-MCTP-D-WH,"80W Max",3000K~5700K,
MCTP-RC1,N/A,N/A,
WML-HL-30W-30K,30W,3000K,
WML-HL-50W-30K,50W,3000K,
WML-HL-50W-40K,50W,4000K,
WML-HL-50W-50K,50W,5000K,
WML-HL-60W-30K,60W,3000K,
WML-HL-60W-40K,60W,4000K,
WML-HL-80W-30K,80W,3000K,
WML-HL-100W-30K,100W,3000K,
WML-HL-100W-40K,100W,4000K,
WML-HL-120W-30K,120W,3000K,
LMW-12W-30K,12W,3000K,
LMW-12W-40K,12W,4000K,
LMW-12W-50K,12W,5000K,
LMW-12W-30K-WH,12W,3000K,
LMW-12W-40K-WH,12W,4000K,
LMW-12W-50K-WH,12W,5000K,
WMV-20W-50K,20W,5000K,
WMV-20W-40K,20W,4000K,
WMV-20W-30K,20W,3000K,
LESW-12W-50K-P,12W,5000K,
LESW-12W-30K-P,12W,3000K,
LESW-15W-30K-P,15W,3000K,
LESW-15W-50K-P,15W,5000K,
LESW-20W-30K-P,20W,3000K,
LESW-20W-50K-P,20W,5000K,
