sku,brand_name
RP-4405BK-15-3K,RP
RP-4404-30-BN,RP
RP-4348WH-11-3K,RP
RP-4348OB,RP
RP-4345-30,RP
RP-4338WH,RP
RP-4337WH,RP
RP-4336WH,RP
RP-4115DM,RP
RP-4109WH,RP
RP-8102HAQ,RP
RP-8102HRA,RP
RP-8104HICA,RP
RP-8201HA,RP
RP-8201HRA,RP
RP-8202HA,RP
RP-8215HA,RP
RP-8115HRA,RP
RP-8115HA,RP
RP-8590HZ,RP
RP-8586WH,RP
RP-8587WH,RP
RP-8651HZ,RP
RP-8652WH,RP
RP-8653WH,RP
RP-8671HZ,RP
RP-8673WH,RP
RP-8505AL,RP
RP-8701WH,RP
RP-8705AL,RP
RP-7653WH,RP
RP-7695WH,RP
RP-7594-WBA,RP
RP-8919,RP
RP-4105-40-WH,RP
RP-4106WH-4K,RP
RP-RH22,RP
RP-RH21,RP
RP-RH18,RP
RP-RH17,RP
RP-4902BN-4,RP
RP-4902-3,RP
RP-4505-30-BN,RP
RP-4340,RP
RP-4320WH,RP
RP-4312WH,RP
RP-4311WH,RP
RP-4310WH,RP
RP-4309WH,RP
RP-4218WH,RP
RP-4217WH,RP
RP-4203,RP
RP-4116DM,RP
RP-4116WH,RP
RP-49356BN,RP
RP-49355BN,RP
RP-49354BN,RP
RP-4904-3,RP
RP-4421BA,RP
RP-7622WH,RP
RP-4348BN-11-3K,RP
RP-4318-30-BN,RP
RP-8542-1WH-90-4K-D,RP
RP-1032-BN-WW,RP
RP-1RP82-BN,RP
RP-4106-40-WH,RP
RP-4343-30-OB,RP
RP-4120WH-20-4K,RP
RP-4407BK-E26,RP
RP-4408BK-E26,RP
RP-8842-1-WH-90-3K,RP
RP-1RP85LED-OB-D,RP
RP-4405BK-E26,RP
RP-8770CL-80-3K,RP
RP-8776WH-90-3K,RP
RP-8771WH-80-4K-D,RP
RP-8769BA-80-3K-D,RP
RP-4350WH-4K-15,RP
RP-1032-BN-BN,RP
RP-1RP82-BN-ES,RP
RP-4348WH-13-3K,RP
RP-4348BN-13-3K,RP
RP-4902-BN-2,RP
