sku,Price,"Cost Price","Retail Price","Sale Price"
TL-TECBTA-24-30W-40K,,0,,
TL-TECBTA-24-30W-50K-D1-W,95.92,0,,
TL-TECBTA-24-40W-40K-D1-W,97.96,0,,
TL-TECBTA-24-40W-50K,,0,,
TL-TECBTA-22-20W-50KD1WJ,65.35,0,,
TL-TECBTA-22-40W-50KD1WJ,69.4,0,,
DG-HLV4AOQ-F112-U-40K-CP,1488.6,0,,
DG-HLV4AOQ-F112-U-40K-LP,1594.3,0,,
DG-HLV4AOQ-F112-U-50K-CP,1488.6,0,,
DG-HLV4AOQ-F112-U-50K-LP,1594.3,0,,
DG-HLV4AOQ-F112-H-40K-CP,1640,0,,
DG-HLV4AOQ-F112-H-40K-LP,1745.75,0,,
DG-HLV4AOQ-F112-H-50K-CP,1640,0,,
DG-HLV4AOQ-F112-H-50K-LP,1745.75,0,,
DG-HLV4AOQ-F136-U-40K-CP,1548.6,0,,
DG-HLV4AOQ-F136-U-40K-LP,1654.3,0,,
DG-HLV4AOQ-F136-U-50K-CP,1548.6,0,,
DG-HLV4AOQ-F136-U-50K-LP,1654.3,0,,
DG-HLV4AOQ-F136-H-40K-CP,1700,0,,
DG-HLV4AOQ-F136-H-40K-LP,1805.75,0,,
DG-HLV4AOQ-F136-H-50K-CP,1700,0,,
DG-HLV4AOQ-F136-H-50K-LP,1805.75,0,,
DG-HLV2AOQ-F47-U-40K-CP,828.6,0,,
DG-HLV2AOQ-F47-U-40K-LP,901.45,0,,
DG-HLV2AOQ-F47-U-50K-CP,828.6,0,,
DG-HLV2AOQ-F47-U-50K-LP,901.45,0,,
DG-HLV2A580OQ-F47-H-40K-CP,961.45,0,,
DG-HLV2AOQ-F47-H-40K-LP,1034.3,0,,
DG-HLV2AOQ-F47-H-50K-CP,961.45,0,,
DG-HLV2AOQ-F47-H-50K-LP,1034.3,0,,
DG-HLV2AOQ-F66-U-40K-CP,895.75,0,,
DG-HLV2AOQ-F66-U-40K-LP,968.6,0,,
DG-HLV2AOQ-F66-U-50K-CP,895.75,0,,
DG-HLV2AOQ-F66-U-50K-LP,968.6,0,,
DG-HLV2AOQ-F66-H-40K-CP,1028.6,0,,
DG-HLV2AOQ-F66-H-40K-LP,1101.45,0,,
DG-HLV2AOQ-F66-H-50K-CP,1028.6,0,,
DG-HLV2AOQ-F66-H-50K-LP,1101.45,0,,
TF-131A14L-J35W4300LDMV-30K,140,0,,
TF-131A14L-J35W4300LDMV-35K,140,0,,
TF-131A14L-J35W4300LDMV-40K,140,0,,
TF-131A14L-J35W4300LDMV-50K,140,0,,
TF-131A14L-J48W5800LDMV-30K,144.3,0,,
TF-131A14L-J48W5800LDMV-35K,144.3,0,,
TF-131A14L-J48W5800LDMV-40K,144.3,0,,
TF-131A14L-J48W5800LDMV-50K,144.3,0,,
TF-131A22L-F28W3200LDMV-30K*,110,0,,
TF-131A22L-F28W3200LDMV-35K*,110,0,,
TF-131A22L-F28W3200LDMV-40K*,110,0,,
TF-131A22L-F28W3200LDMV-50K*,110,0,,
TF-131A22L-F35W3900LDMV-30K*,115.72,0,,
TF-131A22L-F35W3900LDMV-35K*,115.72,0,,
TF-131A22L-F35W3900LDMV-40K*,115.72,0,,
TF-131A22L-F35W3900LDMV-50K*,115.72,0,,
TF-128A24L-J35W4600LDMV40K,234.3,0,,
TF-128A24L-J48W6300LDMV40K,237.15,0,,
TF-128A24L-J57W7100LDMV40K,242.86,0,,
TF-128A14L-J35W3450LDMV40K,206.72,0,,
TF-128A14L-J48W4800LDMV40K,208.6,0,,
TF-153A14L-J35W4300LDMV-30K,187.15,0,,
TF-153A14L-J35W4300LDMV-35K,187.15,0,,
TF-153A14L-J35W4300LDMV-40K,187.15,0,,
TF-153A14L-J35W4300LDMV-50K,187.15,0,,
TF-153A14L-J48W5800LDMV-30K,190,0,,
TF-153A14L-J48W5800LDMV-35K,190,0,,
TF-153A14L-J48W5800LDMV-40K,190,0,,
TF-153A14L-J48W5800LDMV-50K,190,0,,
TF-153A22L-J24W2700LDMV-30K,160,0,,
TF-153A22L-J24W2700LDMV-35K,160,0,,
TF-153A22L-J24W2700LDMV-40K,160,0,,
TF-153A22L-J24W2700LDMV-50K,160,0,,
TF-153A22L-J28W3200LDMV-30K,165.72,0,,
TF-153A22L-J28W3200LDMV-35K,165.72,0,,
TF-153A22L-J28W3200LDMV-40K,165.72,0,,
TF-153A22L-J28W3200LDMV-50K,165.72,0,,
TF-153A22L-J35W3900LDMV-30K,168.6,0,,
TF-153A22L-J35W3900LDMV-35K,168.6,0,,
TF-153A22L-J35W3900LDMV-40K,168.6,0,,
TF-153A22L-J35W3900LDMV-50K,168.6,0,,
TF-153A24L-J35W4600LDMV-30K,187.15,0,,
TF-153A24L-J35W4600LDMV-35K,187.15,0,,
TF-153A24L-J35W4600LDMV-40K,187.15,0,,
TF-153A24L-J35W4600LDMV-50K,187.15,0,,
TF-153A24L-J48W6300LDMV-30K,190,0,,
TF-153A24L-J48W6300LDMV-35K,190,0,,
TF-153A24L-J48W6300LDMV-40K,190,0,,
TF-153A24L-J48W6300LDMV-50K,190,0,,
TF-153A24L-J57W7100LDMV-30K,194.3,0,,
TF-153A24L-J57W7100LDMV-35K,194.3,0,,
TF-153A24L-J57W7100LDMV-40K,194.3,0,,
TF-153A24L-J57W7100LDMV-50K,194.3,0,,
TF-200A248L-S48W5600LDMV-30K,157.15,0,,
TF-200A248L-S48W5600LDMV-35K,157.15,0,,
TF-200A248L-S48W5600LDMV-40K,157.15,0,,
TF-200A248L-S48W5600LDMV-50K,157.15,0,,
TF-200A248L-S57W6500LDMV-30K,161.43,0,,
TF-200A248L-S57W6500LDMV-35K,161.43,0,,
TF-200A248L-S57W6500LDMV-40K,161.43,0,,
TF-200A248L-S57W6500LDMV-50K,161.43,0,,
