parent_sku,child_sku,Wattage_Options
TL-TECBTA-24,TL-TECBTA-24-30W-40K,"30 Watts"
TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,"30 Watts"
TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,"40 Watts"
TL-TECBTA-24,TL-TECBTA-24-40W-50K,"40 Watts"
TL-TECBTA-22,TL-TECBTA-22-20W-50KD1WJ,"20 Watts"
TL-TECBTA-22,TL-TECBTA-22-40W-50KD1WJ,"40 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-40K-CP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-40K-LP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-50K-CP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-50K-LP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-40K-CP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-40K-LP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-50K-CP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-50K-LP,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-40K-CP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-40K-LP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-50K-CP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-50K-LP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-40K-CP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-40K-LP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-50K-CP,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-50K-LP,"136 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-40K-CP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-40K-LP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-50K-CP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-50K-LP,"47 Watts"
DG-HLV2AOQ,DG-HLV2A580OQ-F47-H-40K-CP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-40K-LP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-50K-CP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-50K-LP,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-40K-CP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-40K-LP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-50K-CP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-50K-LP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-40K-CP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-40K-LP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-50K-CP,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-50K-LP,"66 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-30K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-35K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-40K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-50K,"35 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-30K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-35K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-40K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-50K,"48 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-30K*,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-35K*,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-40K*,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-50K*,"28 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-30K*,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-35K*,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-40K*,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-50K*,"35 Watts"
TF-128A24L,TF-128A24L-J35W4600LDMV40K,"35 Watts"
TF-128A24L,TF-128A24L-J48W6300LDMV40K,"48 Watts"
TF-128A24L,TF-128A24L-J57W7100LDMV40K,"57 Watts"
TF-128A14L,TF-128A14L-J35W3450LDMV40K,"35 Watts"
TF-128A14L,TF-128A14L-J48W4800LDMV40K,"48 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-30K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-35K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-40K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-50K,"35 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-30K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-35K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-40K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-50K,"48 Watts"
TF-153A22L,TF-153A22L-J24W2700LDMV-30K,"24 Watts"
