parent_sku,child_sku,Wiring_Options,Factory_Installed_Lamps
TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,"8’ 3/18 Cord\, no plug","3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS,"8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P","3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,"12’ 3/18 Cord\, no plug","3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,"12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P","3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,"8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P","3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,"8’ 3/18 Cord\, no plug","4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS,"8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P","4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,"12’ 3/18 Cord\, no plug","4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,"12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P","4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,"8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P","4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,"8’ 3/18 Cord\, no plug","5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS,"8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P","5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,"12’ 3/18 Cord\, no plug","5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,"12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P","5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,"8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P","5000K 85 CRI (Recommended)"
