sku,parent,Color_Temperature,price,cost_price,Retail_price,sale_price
F17T8-830,E-F17T8,3000K,75,0,,
F17T8-835,E-F17T8,3500K,75,0,,
F17T8-841,E-F17T8,4100K,75,0,,
F17T8-850,E-F17T8,5000K,75,0,,
TF-LINPF2328MV-WHHC301WH,TF-LINPF2328MV,5000K,655.72,0,,
TF-LINPF2328MV-SLHC301WH,TF-LINPF2328MV,5000K,728.6,0,,
TF-LINPF2328MV-BKHC301WH,TF-LINPF2328MV,5000K,728.6,0,,
TF-LINPF2328MV-RDHC301WH,TF-LINPF2328MV,5000K,728.6,0,,
TF-LINPF2328MV-IRHC301WH,TF-LINPF2328MV,5000K,728.6,0,,
TF-LINPF232MV-WHHC301WH,TF-LINPF232MV,5000K,391.43,0,,
TF-LINPF232MV-SLHC301WH,TF-LINPF232MV,5000K,440,0,,
TF-LINPF232MV-BKHC301WH,TF-LINPF232MV,5000K,440,0,,
TF-LINPF232MV-RDHC301WH,TF-LINPF232MV,5000K,440,0,,
TF-LINPF232MV-INHC301WH,TF-LINPF232MV,5000K,440,0,,
TF-LINPF2548MV-WHHC301WH,TF-LINPF2548MV,5000K,728.6,0,,
TF-LINPF2548MV-SLHC301WH,TF-LINPF2548MV,5000K,801.43,0,,
TF-LINPF2548MV-BKHC301WH,TF-LINPF2548MV,5000K,801.43,0,,
TF-LINPF2548MV-RDHC301WH,TF-LINPF2548MV,5000K,801.43,0,,
TF-LINPF2548MV-INHC301WH,TF-LINPF2548MV,5000K,801.43,0,,
TF-LINPF3548MV-WHHC301WH,TF-LINPF3548MV,5000K,801.43,0,,
TF-LINPF3548MV-SLHC301WH,TF-LINPF3548MV,5000K,872.86,0,,
TF-LINPF3548MV-BKHC301WH,TF-LINPF3548MV,5000K,872.86,0,,
TF-LINPF3548MV-RDHC301WH,TF-LINPF3548MV,5000K,872.86,0,,
TF-LINPF3548MV-INHC301WH,TF-LINPF3548MV,5000K,872.86,0,,
TF-LINPF354MV-WHHC301WH,TF-LINPF354MV,5000K,464.3,0,,
TF-LINPF354MV-SLHC301WH,TF-LINPF354MV,5000K,511.43,0,,
TF-LINPF354MV-BKHC301WH,TF-LINPF354MV,5000K,511.43,0,,
TF-LINPF354MV-RDHC301WH,TF-LINPF354MV,5000K,511.43,0,,
TF-LINPF354MV-INHC301WH,TF-LINPF354MV,5000K,511.43,0,,
TF-LINLV2548MV-WHHC301WH,TF-LINLV2548MV,5000K,821.43,0,,
TF-LINLV2548MV-SLHC301WH,TF-LINLV2548MV,5000K,892.76,0,,
TF-LINLV2548MV-BKHC301WH,TF-LINLV2548MV,5000K,892.76,0,,
TF-LINLV2548MV-RDHC301WH,TF-LINLV2548MV,5000K,892.76,0,,
TF-LINLV2548MV-INHC301WH,TF-LINLV2548MV,5000K,892.76,0,,
TF-LINLV254MV-WHHC301WH,TF-LINLV254MV,5000K,497.15,0,,
TF-LINLV254MV-SLHC301WH,TF-LINLV254MV,5000K,547.15,0,,
TF-LINLV254MV-BKHC301WH,TF-LINLV254MV,5000K,547.15,0,,
TF-LINLV254MV-RDHC301WH,TF-LINLV254MV,5000K,547.15,0,,
TF-LINLV254MV-INHC301WH,TF-LINLV254MV,5000K,547.15,0,,
TF-LINLV3548MV-WHHC301WH,TF-LINLV3548MV,5000K,882.86,0,,
TF-LINLV3548MV-SLHC301WH,TF-LINLV3548MV,5000K,955.72,0,,
TF-LINLV3548MV-BKHC301WH,TF-LINLV3548MV,5000K,955.72,0,,
TF-LINLV3548MV-RDHC301WH,TF-LINLV3548MV,5000K,955.72,0,,
TF-LINLV3548MV-INHC301WH,TF-LINLV3548MV,5000K,955.72,0,,
TF-LINLV354MV-WHHC301WH,TF-LINLV354MV,5000K,534.3,0,,
TF-LINLV354MV-BKHC301WH,TF-LINLV354MV,5000K,582.86,0,,
TF-LINLV354MV-SLHC301WH,TF-LINLV354MV,5000K,582.86,0,,
TF-LINLV354MV-RDHC301WH,TF-LINLV354MV,5000K,582.86,0,,
TF-LINLV354MV-INHC301WH,TF-LINLV354MV,5000K,582.86,0,,
TF-LINMW2328MV-WHHC301WH,TF-LINMW2328MV,5000K,665.72,0,,
TF-LINMW2328MV-BKHC301WH,TF-LINMW2328MV,5000K,740,0,,
TF-LINMW2328MV-SLHC301WH,TF-LINMW2328MV,5000K,740,0,,
TF-LINMW2328MV-RDHC301WH,TF-LINMW2328MV,5000K,740,0,,
TF-LINMW2328MV-INHC301WH,TF-LINMW2328MV,5000K,740,0,,
TF-LINMW232MV-WHHC301WH,TF-LINMW232MV,5000K,401.43,0,,
TF-LINMW232MV-BKHC301WH,TF-LINMW232MV,5000K,448.6,0,,
TF-LINMW232MV-RDHC301WH,TF-LINMW232MV,5000K,448.6,0,,
TF-LINMW232MV-INHC301WH,TF-LINMW232MV,5000K,448.6,0,,
TF-LINMW2548MV-WHHC301WH,TF-LINMW2548MV,5000K,740,0,,
TF-LINMW2548MV-BKHC301WH,TF-LINMW2548MV,5000K,810,0,,
TF-LINMW2548MV-SLHC301WH,TF-LINMW2548MV,5000K,810,0,,
TF-LINMW2548MV-RDHC301WH,TF-LINMW2548MV,5000K,810,0,,
TF-LINMW2548MV-INHC301WH,TF-LINMW2548MV,5000K,810,0,,
TF-LINMW254MV-WHHC301WH,TF-LINMW254MV,5000K,448.6,0,,
TF-LINMW254MV-BKHC301WH,TF-LINMW254MV,5000K,497.15,0,,
TF-LINMW254MV-RDHC301WH,TF-LINMW254MV,5000K,497.15,0,,
TF-LINMW254MV-INHC301WH,TF-LINMW254MV,5000K,497.15,0,,
TF-LINMW3548MV-WHHC301WH,TF-LINMW3548MV,5000K,810,0,,
TF-LINMW3548MV-BKHC301WH,TF-LINMW3548MV,5000K,882.86,0,,
