parent_sku,child_sku,color_tempartore,Wattage_Options
TL-TECBTA-24,TL-TECBTA-24-30W-40K,4000K,"30 Watts"
TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,5000K,"30 Watts"
TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,4000K,"40 Watts"
TL-TECBTA-24,TL-TECBTA-24-40W-50K,5000K,"40 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-30K,3000K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-35K,3500K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-40K,4000K,"35 Watts"
TF-131A14L,TF-131A14L-J35W4300LDMV-50K,5000K,"35 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-30K,3000K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-35K,3500K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-40K,4000K,"48 Watts"
TF-131A14L,TF-131A14L-J48W5800LDMV-50K,5000K,"48 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-30K*,3000K,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-35K*,3500K,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-40K*,4000K,"28 Watts"
TF-131A22L,TF-131A22L-F28W3200LDMV-50K*,5000K,"28 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-30K*,3000K,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-35K*,3500K,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-40K*,4000K,"35 Watts"
TF-131A22L,TF-131A22L-F35W3900LDMV-50K*,5000K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-30K,3000K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-35K,3500K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-40K,4000K,"35 Watts"
TF-153A14L,TF-153A14L-J35W4300LDMV-50K,5000K,"35 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-30K,3000K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-35K,3500K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-40K,4000K,"48 Watts"
TF-153A14L,TF-153A14L-J48W5800LDMV-50K,5000K,"48 Watts"
TF-153A22L,TF-153A22L-J24W2700LDMV-30K,3000K,"24 Watts"
TF-153A22L,TF-153A22L-J24W2700LDMV-35K,3500K,"24 Watts"
TF-153A22L,TF-153A22L-J24W2700LDMV-40K,4000K,"24 Watts"
TF-153A22L,TF-153A22L-J24W2700LDMV-50K,5000K,"24 Watts"
TF-153A22L,TF-153A22L-J28W3200LDMV-30K,3000K,"28 Watts"
TF-153A22L,TF-153A22L-J28W3200LDMV-35K,3500K,"28 Watts"
TF-153A22L,TF-153A22L-J28W3200LDMV-40K,4000K,"28 Watts"
TF-153A22L,TF-153A22L-J28W3200LDMV-50K,5000K,"28 Watts"
TF-153A22L,TF-153A22L-J35W3900LDMV-30K,3000K,"35 Watts"
TF-153A22L,TF-153A22L-J35W3900LDMV-35K,3500K,"35 Watts"
TF-153A22L,TF-153A22L-J35W3900LDMV-40K,4000K,"35 Watts"
TF-153A22L,TF-153A22L-J35W3900LDMV-50K,5000K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-30K,3000K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-35K,3500K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-40K,4000K,"35 Watts"
TF-153A24L,TF-153A24L-J35W4600LDMV-50K,5000K,"35 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-30K,3000K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-35K,3500K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-40K,4000K,"48 Watts"
TF-153A24L,TF-153A24L-J48W6300LDMV-50K,5000K,"48 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-30K,3000K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-35K,3500K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-40K,4000K,"57 Watts"
TF-153A24L,TF-153A24L-J57W7100LDMV-50K,5000K,"57 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-30K,3000K,"48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-35K,3500K,"48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-40K,"4000K (recommended)","48 Watts"
TF-200A248L,TF-200A248L-S48W5600LDMV-50K,5000K,"48 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-30K,3000K,"57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-35K,3500K,"57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-40K,"4000K (recommended)","57 Watts"
TF-200A248L,TF-200A248L-S57W6500LDMV-50K,5000K,"57 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-30K,3000K,"97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-35K,3500K,"97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-40K,"4000K (recommended)","97 Watts"
TF-200A296L,TF-200A296L-S97W11200LDMV-50K,5000K,"97 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-30K,3000K,"114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-35K,3500K,"114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-40K,"4000K (recommended)","114 Watts"
TF-200A296L,TF-200A296L-S114W13000LDMV-50K,5000K,"114 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-30K,3000K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-35K,3500K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-40K,4000K,"24 Watts"
TF-201A48L,TF-201A48L-S24W2800LDMV-50K,5000K,"24 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-30K,3000K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-35K,3500K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-40K,4000K,"32 Watts"
TF-201A48L,TF-201A48L-S32W4000LDMV-50K,5000K,"32 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-30K,3000K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-35K,3500K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-40K,4000K,"48 Watts"
TF-201A48L,TF-201A48L-S48W5700LDMV-50K,5000K,"48 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-30K,3000K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-35K,3500K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-40K,4000K,"72 Watts"
TF-201A48L,TF-201A48L-H72W8700LDMV-50K,5000K,"72 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-30K,3000K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-35K,3500K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-40K,4000K,"48 Watts"
TF-201A96L,TF-201A96L-S48W5600LDMV-50K,5000K,"48 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-30K,3000K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-35K,3500K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-40K,4000K,"65 Watts"
TF-201A96L,TF-201A96L-S65W8000LDMV-50K,5000K,"65 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-30K,3000K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-35K,3500K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-40K,4000K,"97 Watts"
TF-201A96L,TF-201A96L-S97W11400LDMV-50K,5000K,"97 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-30K,3000K,"32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-35K,3500K,"32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-40K,"4000K (recommended)","32 Watts"
TF-209A48L,TF-209A48L-F32W3450LDMV-50K,5000K,"32 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-30K,3000K,"48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-35K,3500K,"48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-40K,"4000K (recommended)","48 Watts"
TF-209A48L,TF-209A48L-F48W4800LDMV-50K,5000K,"48 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-30K,3000K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-35K,3500K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-40K,4000K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J28W3150LDMV-50K,5000K,"28 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-30K,3000K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-35K,3500K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-40K,4000K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J32W3600LDMV-50K,5000K,"32 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-30K,3000K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-35K,3500K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-40K,4000K,"42 Watts"
TF-UCLL22L,TF-UCLL22L-J42W4300LDMV-50K,5000K,"42 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-30K,3000K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-35K,3500K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-40K,4000K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J32W4350LDMV-50K,5000K,"32 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-30K,3000K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-35K,3500K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-40K,4000K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J48W6100LDMV-50K,5000K,"48 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-30K,3000K,"57 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-35K,3500K,"57 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-40K,4000K,"57 Watts"
TF-UCLL24L,TF-UCLL24L-J57W6800LDMV-50K,5000K,"57 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-30K,3000K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-35K,3500K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-40K,4000K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J32W4300LDMV-50K,5000K,"30 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-30K,3000K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-35K,3500K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-40K,4000K,"48 Watts"
TF-UCLL14L,TF-UCLL14L-J48W6000LDMV-50K,5000K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-30K,3000K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-35K,3500K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-40K,4000K,"48 Watts"
TF-VLT24L,TF-VLT24L-J48W5500LDMV-50K,5000K,"48 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-30K,3000K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-35K,3500K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-40K,4000K,"52 Watts"
TF-VLT24L,TF-VLT24L-J52W6000LDMV-50K,5000K,"52 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-30K,3000K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-35K,3500K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-40K,4000K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J32W4000LDMV-50K,5000K,"32 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-30K,3000K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-35K,3500K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-40K,4000K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J48W6100LDMV-50K,5000K,"48 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-30K,3000K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-35K,3500K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-40K,4000K,"57 Watts"
TF-CRVRL24L,TF-CRVRL24L-J57W7200LDMV-50K,5000K,"57 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-30K,3000K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-35K,3500K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-40K,4000K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J28W3500LDMV-50K,5000K,"28 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-30K,3000K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-35K,3500K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-40K,4000K,"35 Watts"
TF-CRVRL22L,TF-CRVRL22L-J35W4200LDMV-50K,5000K,"35 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-30K,3000K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-35K,3500K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-40K,4000K,"24 Watts"
TF-EWW24L,TF-EWW24L-J24W1600LDMV-50K,5000K,"24 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-30K,3000K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-35K,3500K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-40K,4000K,"35 Watts"
TF-EWW24L,TF-EWW24L-Z35W2500LDMV-50K,5000K,"35 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-30K,3000K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-35K,3500K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-40K,4000K,"48 Watts"
TF-EWW48L,TF-EWW48L-J48W3500LDMV-50K,5000K,"48 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-30K,3000K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-35K,3500K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-40K,4000K,"57 Watts"
TF-EWW48L,TF-EWW48L-Z57W4000LDMV-50K,5000K,"57 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-30KWH,3000K,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-35KWH,3500K,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-40KWH,4000K,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J28W2800LDMV-50KWH,5000K,"28 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-30KWH,3000K,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-35KWH,3500K,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-40KWH,4000K,"35 Watts"
TF-SKDFR48L,TF-SKDFR48L-J35W3400LDMV-50KWH,5000K,"35 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-30KWH,3000K,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-35KWH,3500K,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-40KWH,4000K,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J57W5400LDMV-50KWH,5000K,"57 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-30KWH,3000K,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-35KWH,3500K,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-40KWH,4000K,"72 Watts"
TF-SKDFR96L,TF-SKDFR96L-J72W7000LDMV-50KWH,5000K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-30K,3000K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-35K,3500K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-40K,4000K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-J40W4000LDMV-50K,5000K,"40 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-30K,3000K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-35K,3500K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-40K,4000K,"72 Watts"
TF-SKDWBFR48L,TF-SKDWBFR48L-Z72W7000LDMV-50K,5000K,"72 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-30KWHHC3015WH,3000K,"48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-35KWHHC3015WH,3500K,"48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-40KWHHC3015WH,"4000K (recommended)","48 Watts"
TF-LVS696L,TF-LVS696L-J48W4000LDMV-50KWHHC3015WH,5000K,"48 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-30KWHHC3015WH,3000K,"96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-35KWHHC3015WH,3500K,"96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-40KWHHC3015WH,"4000K (recommended)","96 Watts"
TF-LVS696L,TF-LVS696L-J96W8000LDMV-50KWHHC3015WH,5000K,"96 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-30KWHHC3015WH,3000K,"114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-35KWHHC3015WH,3500K,"114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-40KWHHC3015WH,"4000K (recommended)","114 Watts"
TF-LVS696L,TF-LVS696L-Z114W9600LDMV-50KWHHC3015WH,5000K,"114 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-30KWHHC3015WH,3000K,"144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-35KWHHC3015WH,3500K,"144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-40KWHHC3015WH,"4000K (recommended)","144 Watts"
TF-LVS696L,TF-LVS696L-Z144W12000LDMV-50KWHHC3015WH,5000K,"144 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-WH,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-WM,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-SL,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-BM,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-TO,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-30K-IM,3000K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-WH,3500K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-WM,3500K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-SL,3500K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-BM,3500K,"24 Watts"
TF-ECLMW224L,TF-ECLMW224L-S24W2000LDMV-35K-TO,3500K,"24 Watts"
