parent_sku,child_sku,color_temprature
E-F17T8,F17T8-830,3000K
E-F17T8,F17T8-835,3500K
E-F17T8,F17T8-841,4100K
E-F17T8,F17T8-850,"5000K (Default)"
ILP-SS8-12L-U,ILP-SS8-12L-U-35-FRL,3500K
ILP-SS8-12L-U,ILP-SS8-12L-U-40-FRL,4000K
ILP-SS8-12L-U,ILP-SS8-12L-U-50-FRL,5000K
ILP-AL-375WU,ILP-AL-375WU-30TIVUPMB,3000K
ILP-AL-375WU,ILP-AL-375WU-40TIVUPMB,4000K
ILP-AL-375WU,ILP-AL-375WU-50TIVUPMB,5000K
ILP-AL-225WU,ILP-AL-225WU-30TIVUPMB,3000K
ILP-AL-225WU,ILP-AL-225WU-40TIVUPMB,4000K
ILP-AL-225WU,ILP-AL-225WU-50TIVUPMB,5000K
ILP-AL-90WU,ILP-AL-90WU-30TIVUPMB,3000K
ILP-AL-90WU,ILP-AL-90WU-40TIVUPMB,4000K
ILP-AL-90WU,ILP-AL-90WU-50TIVUPMB,5000K
EL-EB30-11W,EL-EB30-11W-3020e-CASE25,2700K
EL-EB30-11W,EL-EB30-11W-3000e-CASE25,3000K
EL-EB30-11W,EL-EB30-11W-3040e-CASE25,4000K
EL-EB30-11W,EL-EB30-11W-3050e-CASE25,5000K
EL-EA21-22W,EL-EA21-22W-1020eh-CASE5,2700K
EL-EA21-22W,EL-EA21-22W-1000eh-CASE5,3000K
EL-EA21-22W,EL-EA21-22W-1040eh-CASE5,4000K
EL-EA21-22W,EL-EA21-22W-1050eh-CASE5,5000K
EL-ET5-2,EL-ET5-2-140H-CASE25,4000K
EL-ET5-2,EL-ET5-2-150H-CASE25,5000K
TF-200A224LS28W3300LDMV,TF-200A224LS28W3300LDMV-30K,3000K
TF-200A224LS28W3300LDMV,TF-200A224LS28W3300LDMV-35K,3500K
TF-200A224LS28W3300LDMV,TF-200A224LS28W3300LDMV-40K,"4000K (recommended)"
TF-200A224LS28W3300LDMV,TF-200A224LS28W3300LDMV-50K,5000K
EN-84150,EN-84150-I,Ivory
EN-84150,EN-84150-W,White
DG-HLF25QF1X132U,DG-HLF25QF1X132U-4K-CGY,4000K
DG-HLF25QF1X132U,DG-HLF25QF1X132U-5K-CGY,5000K
TF-200A424LS48W6000LDMV,TF-200A424LS48W6000LDMV-30K,3000K
TF-200A424LS48W6000LDMV,TF-200A424LS48W6000LDMV-35K,3500K
TF-200A424LS48W6000LDMV,TF-200A424LS48W6000LDMV-40K,"4000K (recommended)"
TF-200A424LS48W6000LDMV,TF-200A424LS48W6000LDMV-50K,5000K
TF-VLT22LJ36W3700LDMV,TF-VLT22LJ36W3700LDMV-30K,3000K
TF-VLT22LJ36W3700LDMV,TF-VLT22LJ36W3700LDMV-35K,3500K
TF-VLT22LJ36W3700LDMV,TF-VLT22LJ36W3700LDMV-40K,4000K
TF-VLT22LJ36W3700LDMV,TF-VLT22LJ36W3700LDMV-50K,5000K
TF-LXT22LZ36W4200LDMV,TF-LXT22LZ36W4200LDMV-30K,3000K
TF-LXT22LZ36W4200LDMV,TF-LXT22LZ36W4200LDMV-35K,3500K
TF-LXT22LZ36W4200LDMV,TF-LXT22LZ36W4200LDMV-40K,4000K
TF-LXT22LZ36W4200LDMV,TF-LXT22LZ36W4200LDMV-50K,5000K
TF-LXT24LZ50W6450LDMV,TF-LXT24LZ50W6450LDMV-30K,3000K
TF-LXT24LZ50W6450LDMV,TF-LXT24LZ50W6450LDMV-35K,3500K
TF-LXT24LZ50W6450LDMV,TF-LXT24LZ50W6450LDMV-40K,4000K
TF-LXT24LZ50W6450LDMV,TF-LXT24LZ50W6450LDMV-50K,5000K
TF-SKDWBFR24LJ35W3400LDMV,TF-SKDWBFR24LJ35W3400LDMV-30KWH,3000K
TF-SKDWBFR24LJ35W3400LDMV,TF-SKDWBFR24LJ35W3400LDMV-35KWH,3500K
TF-SKDWBFR24LJ35W3400LDMV,TF-SKDWBFR24LJ35W3400LDMV-40KWH,4000K
TF-SKDWBFR24LJ35W3400LDMV,TF-SKDWBFR24LJ35W3400LDMV-50KWH,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-WH,3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-SL,3000K
