parent_sku,child_sku,Factory_Installed_Lamps
TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,"3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS,"3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,"3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,"3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,"3500K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,"4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS,"4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,"4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,"4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,"4100K 85 CRI"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,"5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS,"5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,"5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,"5000K 85 CRI (Recommended)"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,"5000K 85 CRI (Recommended)"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-360-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-HC101-OCC-AISLE-CS12,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS08,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS10,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS11,"3500K 85 CRI"
TF-153A424MV,TF-153A424MV-LI835-GT310-OCC-360-CS12,"3500K 85 CRI"
