parent_sku,child_sku,finish_options
TF-LINPF2328MV,TF-LINPF2328MV-WHHC301WH,White
TF-LINPF2328MV,TF-LINPF2328MV-SLHC301WH,Silver
TF-LINPF2328MV,TF-LINPF2328MV-BKHC301WH,Black
TF-LINPF2328MV,TF-LINPF2328MV-RDHC301WH,Red
TF-LINPF2328MV,TF-LINPF2328MV-IRHC301WH,Iron
TF-LINPF232MV,TF-LINPF232MV-WHHC301WH,White
TF-LINPF232MV,TF-LINPF232MV-SLHC301WH,Silver
TF-LINPF232MV,TF-LINPF232MV-BKHC301WH,Black
TF-LINPF232MV,TF-LINPF232MV-RDHC301WH,Red
TF-LINPF232MV,TF-LINPF232MV-INHC301WH,Iron
TF-LINPF2548MV,TF-LINPF2548MV-WHHC301WH,White
TF-LINPF2548MV,TF-LINPF2548MV-SLHC301WH,Silver
TF-LINPF2548MV,TF-LINPF2548MV-BKHC301WH,Black
TF-LINPF2548MV,TF-LINPF2548MV-RDHC301WH,Red
TF-LINPF2548MV,TF-LINPF2548MV-INHC301WH,Iron
TF-LINPF3548MV,TF-LINPF3548MV-WHHC301WH,White
TF-LINPF3548MV,TF-LINPF3548MV-SLHC301WH,Silver
TF-LINPF3548MV,TF-LINPF3548MV-BKHC301WH,Black
TF-LINPF3548MV,TF-LINPF3548MV-RDHC301WH,Red
TF-LINPF3548MV,TF-LINPF3548MV-INHC301WH,Iron
TF-LINPF354MV,TF-LINPF354MV-WHHC301WH,White
TF-LINPF354MV,TF-LINPF354MV-SLHC301WH,Silver
TF-LINPF354MV,TF-LINPF354MV-BKHC301WH,Black
TF-LINPF354MV,TF-LINPF354MV-RDHC301WH,Red
TF-LINPF354MV,TF-LINPF354MV-INHC301WH,Iron
TF-LINLV2548MV,TF-LINLV2548MV-WHHC301WH,White
TF-LINLV2548MV,TF-LINLV2548MV-SLHC301WH,Silver
TF-LINLV2548MV,TF-LINLV2548MV-BKHC301WH,Black
TF-LINLV2548MV,TF-LINLV2548MV-RDHC301WH,Red
TF-LINLV2548MV,TF-LINLV2548MV-INHC301WH,Iron
TF-LINLV254MV,TF-LINLV254MV-WHHC301WH,White
TF-LINLV254MV,TF-LINLV254MV-SLHC301WH,Silver
TF-LINLV254MV,TF-LINLV254MV-BKHC301WH,Black
TF-LINLV254MV,TF-LINLV254MV-RDHC301WH,Red
TF-LINLV254MV,TF-LINLV254MV-INHC301WH,Iron
TF-LINLV3548MV,TF-LINLV3548MV-WHHC301WH,White
TF-LINLV3548MV,TF-LINLV3548MV-SLHC301WH,Silver
TF-LINLV3548MV,TF-LINLV3548MV-BKHC301WH,Black
TF-LINLV3548MV,TF-LINLV3548MV-RDHC301WH,Red
TF-LINLV3548MV,TF-LINLV3548MV-INHC301WH,Iron
TF-LINLV354MV,TF-LINLV354MV-WHHC301WH,White
TF-LINLV354MV,TF-LINLV354MV-BKHC301WH,Black
TF-LINLV354MV,TF-LINLV354MV-SLHC301WH,Silver
TF-LINLV354MV,TF-LINLV354MV-RDHC301WH,Red
TF-LINLV354MV,TF-LINLV354MV-INHC301WH,Iron
TF-LINMW2328MV,TF-LINMW2328MV-WHHC301WH,White
TF-LINMW2328MV,TF-LINMW2328MV-BKHC301WH,Black
TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,Silver
TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,Red
TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,Iron
