sku,parent,finish_options,price,cost_price,Retail_price,sale_price
TF-LINPF2328MV-WHHC301WH,TF-LINPF2328MV,White,655.72,0,,
TF-LINPF2328MV-SLHC301WH,TF-LINPF2328MV,Silver,728.6,0,,
TF-LINPF2328MV-BKHC301WH,TF-LINPF2328MV,Black,728.6,0,,
TF-LINPF2328MV-RDHC301WH,TF-LINPF2328MV,Red,728.6,0,,
TF-LINPF2328MV-IRHC301WH,TF-LINPF2328MV,Iron,728.6,0,,
TF-LINPF232MV-WHHC301WH,TF-LINPF232MV,White,391.43,0,,
TF-LINPF232MV-SLHC301WH,TF-LINPF232MV,Silver,440,0,,
TF-LINPF232MV-BKHC301WH,TF-LINPF232MV,Black,440,0,,
TF-LINPF232MV-RDHC301WH,TF-LINPF232MV,Red,440,0,,
TF-LINPF232MV-INHC301WH,TF-LINPF232MV,Iron,440,0,,
TF-LINPF2548MV-WHHC301WH,TF-LINPF2548MV,White,728.6,0,,
TF-LINPF2548MV-SLHC301WH,TF-LINPF2548MV,Silver,801.43,0,,
TF-LINPF2548MV-BKHC301WH,TF-LINPF2548MV,Black,801.43,0,,
TF-LINPF2548MV-RDHC301WH,TF-LINPF2548MV,Red,801.43,0,,
TF-LINPF2548MV-INHC301WH,TF-LINPF2548MV,Iron,801.43,0,,
TF-LINPF3548MV-WHHC301WH,TF-LINPF3548MV,White,801.43,0,,
TF-LINPF3548MV-SLHC301WH,TF-LINPF3548MV,Silver,872.86,0,,
TF-LINPF3548MV-BKHC301WH,TF-LINPF3548MV,Black,872.86,0,,
TF-LINPF3548MV-RDHC301WH,TF-LINPF3548MV,Red,872.86,0,,
TF-LINPF3548MV-INHC301WH,TF-LINPF3548MV,Iron,872.86,0,,
TF-LINPF354MV-WHHC301WH,TF-LINPF354MV,White,464.3,0,,
TF-LINPF354MV-SLHC301WH,TF-LINPF354MV,Silver,511.43,0,,
TF-LINPF354MV-BKHC301WH,TF-LINPF354MV,Black,511.43,0,,
