parent_sku,child_sku,"Color Temperature (CCT)",price,cost_price,Retail_price,sale_price
E-F17T8,F17T8-830,3000K,75,0,,
E-F17T8,F17T8-835,3500K,75,0,,
E-F17T8,F17T8-841,4100K,75,0,,
E-F17T8,F17T8-850,"5000K (Default)",75,0,,
TF-LINPF2328MV,TF-LINPF2328MV-WHHC301WH,"5000K (Default)",655.72,0,,
TF-LINPF2328MV,TF-LINPF2328MV-SLHC301WH,"5000K (Default)",728.6,0,,
TF-LINPF2328MV,TF-LINPF2328MV-BKHC301WH,"5000K (Default)",728.6,0,,
TF-LINPF2328MV,TF-LINPF2328MV-RDHC301WH,"5000K (Default)",728.6,0,,
TF-LINPF2328MV,TF-LINPF2328MV-IRHC301WH,"5000K (Default)",728.6,0,,
TF-LINPF232MV,TF-LINPF232MV-WHHC301WH,"5000K (Default)",391.43,0,,
TF-LINPF232MV,TF-LINPF232MV-SLHC301WH,"5000K (Default)",440,0,,
TF-LINPF232MV,TF-LINPF232MV-BKHC301WH,"5000K (Default)",440,0,,
TF-LINPF232MV,TF-LINPF232MV-RDHC301WH,"5000K (Default)",440,0,,
TF-LINPF232MV,TF-LINPF232MV-INHC301WH,"5000K (Default)",440,0,,
TF-LINPF2548MV,TF-LINPF2548MV-WHHC301WH,"5000K (Default)",728.6,0,,
TF-LINPF2548MV,TF-LINPF2548MV-SLHC301WH,"5000K (Default)",801.43,0,,
TF-LINPF2548MV,TF-LINPF2548MV-BKHC301WH,"5000K (Default)",801.43,0,,
TF-LINPF2548MV,TF-LINPF2548MV-RDHC301WH,"5000K (Default)",801.43,0,,
TF-LINPF2548MV,TF-LINPF2548MV-INHC301WH,"5000K (Default)",801.43,0,,
TF-LINPF3548MV,TF-LINPF3548MV-WHHC301WH,"5000K (Default)",801.43,0,,
TF-LINPF3548MV,TF-LINPF3548MV-SLHC301WH,"5000K (Default)",872.86,0,,
TF-LINPF3548MV,TF-LINPF3548MV-BKHC301WH,"5000K (Default)",872.86,0,,
TF-LINPF3548MV,TF-LINPF3548MV-RDHC301WH,"5000K (Default)",872.86,0,,
TF-LINPF3548MV,TF-LINPF3548MV-INHC301WH,"5000K (Default)",872.86,0,,
TF-LINPF354MV,TF-LINPF354MV-WHHC301WH,"5000K (Default)",464.3,0,,
TF-LINPF354MV,TF-LINPF354MV-SLHC301WH,"5000K (Default)",511.43,0,,
TF-LINPF354MV,TF-LINPF354MV-BKHC301WH,"5000K (Default)",511.43,0,,
TF-LINPF354MV,TF-LINPF354MV-RDHC301WH,"5000K (Default)",511.43,0,,
TF-LINPF354MV,TF-LINPF354MV-INHC301WH,"5000K (Default)",511.43,0,,
TF-LINLV2548MV,TF-LINLV2548MV-WHHC301WH,"5000K (Default)",821.43,0,,
TF-LINLV2548MV,TF-LINLV2548MV-SLHC301WH,"5000K (Default)",892.76,0,,
TF-LINLV2548MV,TF-LINLV2548MV-BKHC301WH,"5000K (Default)",892.76,0,,
TF-LINLV2548MV,TF-LINLV2548MV-RDHC301WH,"5000K (Default)",892.76,0,,
TF-LINLV2548MV,TF-LINLV2548MV-INHC301WH,"5000K (Default)",892.76,0,,
TF-LINLV254MV,TF-LINLV254MV-WHHC301WH,"5000K (Default)",497.15,0,,
TF-LINLV254MV,TF-LINLV254MV-SLHC301WH,"5000K (Default)",547.15,0,,
TF-LINLV254MV,TF-LINLV254MV-BKHC301WH,"5000K (Default)",547.15,0,,
TF-LINLV254MV,TF-LINLV254MV-RDHC301WH,"5000K (Default)",547.15,0,,
TF-LINLV254MV,TF-LINLV254MV-INHC301WH,"5000K (Default)",547.15,0,,
TF-LINLV3548MV,TF-LINLV3548MV-WHHC301WH,"5000K (Default)",882.86,0,,
TF-LINLV3548MV,TF-LINLV3548MV-SLHC301WH,"5000K (Default)",955.72,0,,
TF-LINLV3548MV,TF-LINLV3548MV-BKHC301WH,"5000K (Default)",955.72,0,,
TF-LINLV3548MV,TF-LINLV3548MV-RDHC301WH,"5000K (Default)",955.72,0,,
TF-LINLV3548MV,TF-LINLV3548MV-INHC301WH,"5000K (Default)",955.72,0,,
TF-LINLV354MV,TF-LINLV354MV-WHHC301WH,"5000K (Default)",534.3,0,,
TF-LINLV354MV,TF-LINLV354MV-BKHC301WH,"5000K (Default)",582.86,0,,
TF-LINLV354MV,TF-LINLV354MV-SLHC301WH,"5000K (Default)",582.86,0,,
TF-LINLV354MV,TF-LINLV354MV-RDHC301WH,"5000K (Default)",582.86,0,,
TF-LINLV354MV,TF-LINLV354MV-INHC301WH,"5000K (Default)",582.86,0,,
TF-LINMW2328MV,TF-LINMW2328MV-WHHC301WH,"5000K (Default)",665.72,0,,
TF-LINMW2328MV,TF-LINMW2328MV-BKHC301WH,"5000K (Default)",740,0,,
TF-LINMW2328MV,TF-LINMW2328MV-SLHC301WH,"5000K (Default)",740,0,,
TF-LINMW2328MV,TF-LINMW2328MV-RDHC301WH,"5000K (Default)",740,0,,
TF-LINMW2328MV,TF-LINMW2328MV-INHC301WH,"5000K (Default)",740,0,,
TF-LINMW232MV,TF-LINMW232MV-WHHC301WH,"5000K (Default)",401.43,0,,
TF-LINMW232MV,TF-LINMW232MV-BKHC301WH,"5000K (Default)",448.6,0,,
