parent_sku,child_sku,Voltage_Options,Wattage_Options
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-40K-CP,120-277v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-40K-LP,120-277v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-50K-CP,120-277v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-U-50K-LP,120-277v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-40K-CP,347-480v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-40K-LP,347-480v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-50K-CP,347-480v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F112-H-50K-LP,347-480v,"112 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-40K-CP,120-277v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-40K-LP,120-277v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-50K-CP,120-277v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-U-50K-LP,120-277v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-40K-CP,347-480v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-40K-LP,347-480v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-50K-CP,347-480v,"136 Watts"
DG-HLV4AOQ,DG-HLV4AOQ-F136-H-50K-LP,347-480v,"136 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-40K-CP,120-277v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-40K-LP,120-277v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-50K-CP,120-277v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-U-50K-LP,120-277v,"47 Watts"
DG-HLV2AOQ,DG-HLV2A580OQ-F47-H-40K-CP,347-480v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-40K-LP,347-480v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-50K-CP,347-480v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F47-H-50K-LP,347-480v,"47 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-40K-CP,120-277v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-40K-LP,120-277v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-50K-CP,120-277v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-U-50K-LP,120-277v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-40K-CP,347-480v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-40K-LP,347-480v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-50K-CP,347-480v,"66 Watts"
DG-HLV2AOQ,DG-HLV2AOQ-F66-H-50K-LP,347-480v,"66 Watts"
DG-VGS40Q,DG-VGS40Q-F1X40-U-4K-Z,120-277v,"40 Watts"
DG-VGS40Q,DG-VGS40Q-F1X40-H-4K-Z,347-480v,"40 Watts"
DG-VGS40Q,DG-VGS40Q-F1X60-U-4K-Z,120-277v,"60 Watts"
DG-VGS40Q,DG-VGS40Q-F1X60-H-4K-Z,347-480v,"60 Watts"
DG-VGS40Q,DG-VGS40Q-F1X84-U-4K-Z,120-277v,"84 Watts"
DG-VGS40Q,DG-VGS40Q-F1X84-H-4K-Z,347-480v,"84 Watts"
DG-PF71Q,DG-PF71QF1X37-U-3K-C-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-3K-C-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-3K-L-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-3K-L-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-4K-C-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-4K-C-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-4K-L-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-4K-L-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-5K-C-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-5K-C-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-5K-L-B,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-U-5K-L-Z,120-277v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-3K-C-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-3K-C-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-3K-L-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-3K-L-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-4K-C-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-4K-C-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-4K-L-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-4K-L-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-5K-C-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-5K-C-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-5K-L-B,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X37-H-5K-L-Z,347-480v,"37 Watts"
DG-PF71Q,DG-PF71QF1X65-U-3K-C-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-3K-C-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-3K-L-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-3K-L-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-4K-C-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-4K-C-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-4K-L-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-4K-L-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-C-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-C-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-L-B,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-U-5K-L-Z,120-277v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-C-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-C-Z,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-L-B,347-480v,"65 Watts"
DG-PF71Q,DG-PF71QF1X65-H-3K-L-Z,347-480v,"65 Watts"
