parent_sku,child_sku,watteg_&_lumen_option,Color_Temperature
AT-CPPG,AT-CPPG-40W4000LM-4000K,"40 Watts / 4000 Lumens",4000K
AT-CPPG,AT-CPPG-40W4000LM-5000K,"40 Watts / 4000 Lumens","5000K (default)"
AT-CPPG,AT-CPPG-60W6000LM-4000K,"60 Watts / 6000 Lumens",4000K
AT-CPPG,AT-CPPG-60W6000LM-5000K,"60 Watts / 6000 Lumens","5000K (default)"
AT-CPPG,AT-CPPG-90W8500LM-4000K,"90 Watts / 8500 Lumens",4000K
AT-CPPG,AT-CPPG-90W8500LM-5000K,"90 Watts / 8500 Lumens","5000K (default)"
NL-TP260,NL-TP260-W20-30K,"20 Watts / 2\,400 Lumens",3000K
NL-TP260,NL-TP260-W20-40K,"20 Watts / 2\,400 Lumens",4000K
NL-TP260,NL-TP260-W20-50K,"20 Watts / 2\,400 Lumens",5000K
NL-TP260,NL-TP260-W35-30K,"35 Watts / 4\,200 Lumens",3000K
NL-TP260,NL-TP260-W35-40K,"35 Watts / 4\,200 Lumens",4000K
NL-TP260,NL-TP260-W35-50K,"35 Watts / 4\,200 Lumens",5000K
NL-NBQL,NL-NBQL-75W-30K-V,"75 Watts / 11\,250 Lumens",3000K
NL-NBQL,NL-NBQL-75W-30K-HV,"75 Watts / 11\,250 Lumens",3000K
NL-NBQL,NL-NBQL-75W-40K-V,"75 Watts / 11\,250 Lumens",4000K
NL-NBQL,NL-NBQL-75W-40K-HV,"75 Watts / 11\,250 Lumens",4000K
NL-NBQL,NL-NBQL-75W-50K-V,"75 Watts / 11\,250 Lumens",5000K
NL-NBQL,NL-NBQL-75W-50K-HV,"75 Watts / 11\,250 Lumens",5000K
NL-NBQL,NL-NBQL-100W-30K-V,"100 Watts / 15\,000 Lumens",3000K
NL-NBQL,NL-NBQL-100W-30K-HV,"100 Watts / 15\,000 Lumens",3000K
NL-NBQL,NL-NBQL-100W-40K-V,"100 Watts / 15\,000 Lumens",4000K
NL-NBQL,NL-NBQL-100W-40K-HV,"100 Watts / 15\,000 Lumens",4000K
NL-NBQL,NL-NBQL-100W-50K-V,"100 Watts / 15\,000 Lumens",5000K
NL-NBQL,NL-NBQL-100W-50K-HV,"100 Watts / 15\,000 Lumens",5000K
