parent_sku,child_sku,"Lumen Package Options","Color Temperature (CCT)"
AE-L-HBIS-100,AE-L-HBIS-100-110-30K,"110 lm/w / 12\,000 lumens",3000K
AE-L-HBIS-100,AE-L-HBIS-100-110-40K,"110 lm/w / 12\,000 lumens",4000K
AE-L-HBIS-100,AE-L-HBIS-100-110-50K,"110 lm/w / 12\,000 lumens",5000K
AE-L-HBIS-100,AE-L-HBIS-100-110-57K,"110 lm/w / 12\,000 lumens",5700K
AE-L-HBIS-100,AE-L-HBIS-100-135-30K,"135 lm/w / 13\,500 lumens",3000K
AE-L-HBIS-100,AE-L-HBIS-100-135-40K,"135 lm/w / 13\,500 lumens",4000K
AE-L-HBIS-100,AE-L-HBIS-100-135-50K,"135 lm/w / 13\,500 lumens",5000K
AE-L-HBIS-100,AE-L-HBIS-100-135-57K,"135 lm/w / 13\,500 lumens",5700K
AE-L-HBIS-150,AE-L-HBIS-150-110-30K,"110 lm/w",3000K
AE-L-HBIS-150,AE-L-HBIS-150-110-40K,"110 lm/w",4000K
AE-L-HBIS-150,AE-L-HBIS-150-110-50K,"110 lm/w",5000K
AE-L-HBIS-150,AE-L-HBIS-150-110-60K,"110 lm/w",5700K
AE-L-HBIS-150,AE-L-HBIS-150-135-30K,"135 lm/w",3000K
AE-L-HBIS-150,AE-L-HBIS-150-135-40K,"135 lm/w",4000K
AE-L-HBIS-150,AE-L-HBIS-150-135-50K,"135 lm/w",5000K
AE-L-HBIS-150,AE-L-HBIS-150-135-60K,"135 lm/w",5700K
AE-L-HBIS-240,AE-L-HBIS-240-110-30K,"110 lm/w",3000K
AE-L-HBIS-240,AE-L-HBIS-240-110-40K,"110 lm/w",4000K
AE-L-HBIS-240,AE-L-HBIS-240-110-50K,"110 lm/w",5000K
AE-L-HBIS-240,AE-L-HBIS-240-110-57K,"110 lm/w",5700K
AE-L-HBIS-240,AE-L-HBIS-240-135-30K,"135 lm/w",3000K
AE-L-HBIS-240,AE-L-HBIS-240-135-40K,"135 lm/w",4000K
AE-L-HBIS-240,AE-L-HBIS-240-135-50K,"135 lm/w",5000K
AE-L-HBIS-240,AE-L-HBIS-240-135-57K,"135 lm/w",5700K
AE-L-HBRS-240,AE-L-HBRS-240-110-30K,"110lm/w / 28\,320 lumens",3000K
AE-L-HBRS-240,AE-L-HBRS-240-110-40K,"110lm/w / 28\,320 lumens",4000K
AE-L-HBRS-240,AE-L-HBRS-240-110-50K,"110lm/w / 28\,320 lumens",5000K
AE-L-HBRS-240,AE-L-HBRS-240-110-57K,"110lm/w / 28\,320 lumens",5700K
AE-L-HBRS-240,AE-L-HBRS-240-135-30K,"135lm/w / 32\,400 lumens",3000K
AE-L-HBRS-240,AE-L-HBRS-240-135-40K,"135lm/w / 32\,400 lumens",4000K
AE-L-HBRS-240,AE-L-HBRS-240-135-50K,"135lm/w / 32\,400 lumens",5000K
AE-L-HBRS-240,AE-L-HBRS-240-135-57K,"135lm/w / 32\,400 lumens",5700K
AE-L-HBRS-150,AE-L-HBRS-150-110-30K,"110lm/w / 17\,400 lumens",3000K
AE-L-HBRS-150,AE-L-HBRS-150-110-40K,"110lm/w / 17\,400 lumens",4000K
AE-L-HBRS-150,AE-L-HBRS-150-110-50K,"110lm/w / 17\,400 lumens",5000K
AE-L-HBRS-150,AE-L-HBRS-150-110-57K,"110lm/w / 17\,400 lumens",5700K
AE-L-HBRS-150,AE-L-HBRS-150-135-30K,"135lm/w / 20\,250 lumens",3000K
AE-L-HBRS-150,AE-L-HBRS-150-135-40K,"135lm/w / 20\,250 lumens",4000K
AE-L-HBRS-150,AE-L-HBRS-150-135-50K,"135lm/w / 20\,250 lumens",5000K
AE-L-HBRS-150,AE-L-HBRS-150-135-57K,"135lm/w / 20\,250 lumens",5700K
