parent_sku,child_sku,"Occupancy Sensor","Color Temperature (CCT)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K-ODS,Microwave,"4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K-ODS,Microwave,"5000k (cool white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K,"No Occupancy Sensor","5000k (cool white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-,"No Occupancy Sensor","5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-,"No Occupancy Sensor","5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K,"No Occupancy Sensor","5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K-ODS,Microwave,"4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-4K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K-ODS,Microwave,"5000k (cool white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K,"No Occupancy Sensor","5000k (cool white)"
BL-SL-2FT-25L,BL-SL-2FT-25L-5K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-,"No Occupancy Sensor","5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-8FT-80L,BL-SL-8FT-80L-50K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-,"No Occupancy Sensor","5000k (cool white)"
BL-SL-4FT-46L,BL-SL-4FT-46L-50K-OS,"Passive Infrared","5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K,"No Occupancy Sensor","3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K-ODS,Microwave,"3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-35K-OS,"Passive Infrared","3500k (warm/neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K,"No Occupancy Sensor","4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K-ODS,Microwave,"4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-40K-OS,"Passive Infrared","4000k (neutral white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K,"No Occupancy Sensor","5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K-ODS,Microwave,"5000k (cool white)"
BL-SL-3FT-33L,BL-SL-3FT-33L-50K-OS,"Passive Infrared","5000k (cool white)"
