parent_sku,child_sku,"Wattage Options","Color Temperature (CCT)"
TL-TECBTA-24,TL-TECBTA-24-30W-40K,"30 Watts",4000K
TL-TECBTA-24,TL-TECBTA-24-30W-50K-D1-W,"30 Watts",5000K
TL-TECBTA-24,TL-TECBTA-24-40W-40K-D1-W,"40 Watts",4000K
TL-TECBTA-24,TL-TECBTA-24-40W-50K,"40 Watts",5000K
TF-131A14L,TF-131A14L-J35W4300LDMV-30K,"35 Watts",3000K
TF-131A14L,TF-131A14L-J35W4300LDMV-35K,"35 Watts",3500K
TF-131A14L,TF-131A14L-J35W4300LDMV-40K,"35 Watts",4000K
TF-131A14L,TF-131A14L-J35W4300LDMV-50K,"35 Watts",5000K
TF-131A14L,TF-131A14L-J48W5800LDMV-30K,"48 Watts",3000K
TF-131A14L,TF-131A14L-J48W5800LDMV-35K,"48 Watts",3500K
TF-131A14L,TF-131A14L-J48W5800LDMV-40K,"48 Watts",4000K
TF-131A14L,TF-131A14L-J48W5800LDMV-50K,"48 Watts",5000K
TF-131A22L,TF-131A22L-F28W3200LDMV-30K*,"28 Watts",3000K
TF-131A22L,TF-131A22L-F28W3200LDMV-35K*,"28 Watts",3500K
TF-131A22L,TF-131A22L-F28W3200LDMV-40K*,"28 Watts",4000K
TF-131A22L,TF-131A22L-F28W3200LDMV-50K*,"28 Watts",5000K
TF-131A22L,TF-131A22L-F35W3900LDMV-30K*,"35 Watts",3000K
TF-131A22L,TF-131A22L-F35W3900LDMV-35K*,"35 Watts",3500K
TF-131A22L,TF-131A22L-F35W3900LDMV-40K*,"35 Watts",4000K
TF-131A22L,TF-131A22L-F35W3900LDMV-50K*,"35 Watts",5000K
TF-153A14L,TF-153A14L-J35W4300LDMV-30K,"35 Watts",3000K
TF-153A14L,TF-153A14L-J35W4300LDMV-35K,"35 Watts",3500K
TF-153A14L,TF-153A14L-J35W4300LDMV-40K,"35 Watts",4000K
TF-153A14L,TF-153A14L-J35W4300LDMV-50K,"35 Watts",5000K
TF-153A14L,TF-153A14L-J48W5800LDMV-30K,"48 Watts",3000K
TF-153A14L,TF-153A14L-J48W5800LDMV-35K,"48 Watts",3500K
TF-153A14L,TF-153A14L-J48W5800LDMV-40K,"48 Watts",4000K
TF-153A14L,TF-153A14L-J48W5800LDMV-50K,"48 Watts",5000K
TF-153A22L,TF-153A22L-J24W2700LDMV-30K,"24 Watts",3000K
TF-153A22L,TF-153A22L-J24W2700LDMV-35K,"24 Watts",3500K
TF-153A22L,TF-153A22L-J24W2700LDMV-40K,"24 Watts",4000K
TF-153A22L,TF-153A22L-J24W2700LDMV-50K,"24 Watts",5000K
TF-153A22L,TF-153A22L-J28W3200LDMV-30K,"28 Watts",3000K
TF-153A22L,TF-153A22L-J28W3200LDMV-35K,"28 Watts",3500K
TF-153A22L,TF-153A22L-J28W3200LDMV-40K,"28 Watts",4000K
TF-153A22L,TF-153A22L-J28W3200LDMV-50K,"28 Watts",5000K
TF-153A22L,TF-153A22L-J35W3900LDMV-30K,"35 Watts",3000K
TF-153A22L,TF-153A22L-J35W3900LDMV-35K,"35 Watts",3500K
TF-153A22L,TF-153A22L-J35W3900LDMV-40K,"35 Watts",4000K
TF-153A22L,TF-153A22L-J35W3900LDMV-50K,"35 Watts",5000K
TF-153A24L,TF-153A24L-J35W4600LDMV-30K,"35 Watts",3000K
TF-153A24L,TF-153A24L-J35W4600LDMV-35K,"35 Watts",3500K
TF-153A24L,TF-153A24L-J35W4600LDMV-40K,"35 Watts",4000K
TF-153A24L,TF-153A24L-J35W4600LDMV-50K,"35 Watts",5000K
TF-153A24L,TF-153A24L-J48W6300LDMV-30K,"48 Watts",3000K
TF-153A24L,TF-153A24L-J48W6300LDMV-35K,"48 Watts",3500K
TF-153A24L,TF-153A24L-J48W6300LDMV-40K,"48 Watts",4000K
TF-153A24L,TF-153A24L-J48W6300LDMV-50K,"48 Watts",5000K
TF-153A24L,TF-153A24L-J57W7100LDMV-30K,"57 Watts",3000K
TF-153A24L,TF-153A24L-J57W7100LDMV-35K,"57 Watts",3500K
TF-153A24L,TF-153A24L-J57W7100LDMV-40K,"57 Watts",4000K
TF-153A24L,TF-153A24L-J57W7100LDMV-50K,"57 Watts",5000K
TF-200A248L,TF-200A248L-S48W5600LDMV-30K,"48 Watts",3000K
TF-200A248L,TF-200A248L-S48W5600LDMV-35K,"48 Watts",3500K
TF-200A248L,TF-200A248L-S48W5600LDMV-40K,"48 Watts","4000K (recommended)"
TF-200A248L,TF-200A248L-S48W5600LDMV-50K,"48 Watts",5000K
TF-200A248L,TF-200A248L-S57W6500LDMV-30K,"57 Watts",3000K
TF-200A248L,TF-200A248L-S57W6500LDMV-35K,"57 Watts",3500K
TF-200A248L,TF-200A248L-S57W6500LDMV-40K,"57 Watts","4000K (recommended)"
TF-200A248L,TF-200A248L-S57W6500LDMV-50K,"57 Watts",5000K
TF-200A296L,TF-200A296L-S97W11200LDMV-30K,"97 Watts",3000K
TF-200A296L,TF-200A296L-S97W11200LDMV-35K,"97 Watts",3500K
TF-200A296L,TF-200A296L-S97W11200LDMV-40K,"97 Watts","4000K (recommended)"
TF-200A296L,TF-200A296L-S97W11200LDMV-50K,"97 Watts",5000K
TF-200A296L,TF-200A296L-S114W13000LDMV-30K,"114 Watts",3000K
TF-200A296L,TF-200A296L-S114W13000LDMV-35K,"114 Watts",3500K
TF-200A296L,TF-200A296L-S114W13000LDMV-40K,"114 Watts","4000K (recommended)"
TF-200A296L,TF-200A296L-S114W13000LDMV-50K,"114 Watts",5000K
TF-201A48L,TF-201A48L-S24W2800LDMV-30K,"24 Watts",3000K
TF-201A48L,TF-201A48L-S24W2800LDMV-35K,"24 Watts",3500K
TF-201A48L,TF-201A48L-S24W2800LDMV-40K,"24 Watts",4000K
TF-201A48L,TF-201A48L-S24W2800LDMV-50K,"24 Watts",5000K
TF-201A48L,TF-201A48L-S32W4000LDMV-30K,"32 Watts",3000K
TF-201A48L,TF-201A48L-S32W4000LDMV-35K,"32 Watts",3500K
