parent_sku,child_sku,"Accessories Options","Color Temperature (CCT)"
BL-DR-T525W,BL-DR-T525W-35K-BAL1400ACTD,"Emergency Battery Backup (1\,400 nominal lumens)",3500K
BL-DR-T525W,BL-DR-T525W-35K-BALT5-1300ACTD,"Emergency Battery Backup (1\,300 nominal lumens\, low profile)",3500K
BL-DR-T525W,BL-DR-T525W-35K,None,3500K
BL-DR-T525W,BL-DR-T525W-4K-BAL1400ACTD,"Emergency Battery Backup (1\,400 nominal lumens)",4000K
BL-DR-T525W,BL-DR-T525W-4K-BALT5-1300ACTD,"Emergency Battery Backup (1\,300 nominal lumens\, low profile)",4000K
BL-DR-T525W,BL-DR-T525W-4K,None,4000K
BL-DR-T525W,BL-DR-T525W-35K-BAL1400ACTD,"Emergency Battery Backup (1\,400 nominal lumens)",3500K
BL-DR-T525W,BL-DR-T525W-35K-BALT5-1300ACTD,"Emergency Battery Backup (1\,300 nominal lumens\, low profile)",3500K
BL-DR-T525W,BL-DR-T525W-35K,None,3500K
BL-DR-T525W,BL-DR-T525W-4K-BAL1400ACTD,"Emergency Battery Backup (1\,400 nominal lumens)",4000K
BL-DR-T525W,BL-DR-T525W-4K-BALT5-1300ACTD,"Emergency Battery Backup (1\,300 nominal lumens\, low profile)",4000K
BL-DR-T525W,BL-DR-T525W-4K,None,4000K
