parent_sku,child_sku,Color,"Color Temperature (CCT)"
LLL-LRG4-HO,LLL-LRG4-27K-HO-WH,White,2700K
LLL-LRG4-HO,LLL-LRG4-27K-HO-BK,Black,2700K
LLL-LRG4-HO,LLL-LRG4-30K-HO-WH,White,3000K
LLL-LRG4-HO,LLL-LRG4-30K-HO-BK,Black,3000K
LLL-LRG4-HO,LLL-LRG4-40K-HO-WH,White,4000K
LLL-LRG4-HO,LLL-LRG4-40K-HO-BK,Black,4000K
LLL-LRG4-HO,LLL-LRG4-35K-HO-WH,White,3500K
LLL-LRG4-HO,LLL-LRG4-35K-HO-BK,Black,3500K
LLL-LRG4-HO,LLL-LRG4-50K-HO-WH,White,5000K
LLL-LRG4-HO,LLL-LRG4-50K-HO-BK,Black,5000K
LLL-LL6R,LLL-LL6R-27K-WH,White,2700K
LLL-LL6R,LLL-LL6R-27K-BK,Black,2700K
LLL-LL6R,LLL-LL6R-27K-BN,"Brushed Nickel",2700K
LLL-LL6R,LLL-LL6R-27K-BC,"Brushed Copper",2700K
LLL-LL6R,LLL-LL6R-30K-WH,White,3000K
LLL-LL6R,LLL-LL6R-30K-BK,Black,3000K
LLL-LL6R,LLL-LL6R-30K-BN,"Brushed Nickel",3000K
LLL-LL6R,LLL-LL6R-30K-BC,"Brushed Copper",3000K
LLL-LL6R,LLL-LL6R-40K-WH,White,4000K
LLL-LL6R,LLL-LL6R-40K-BK,Black,4000K
LLL-LL6R,LLL-LL6R-40K-BN,"Brushed Nickel",4000K
LLL-LL6R,LLL-LL6R-40K-BC,"Brushed Copper",4000K
LLL-LL6R,LLL-LL6R-50K-WH,White,5000K
LLL-LL6R,LLL-LL6R-50K-BK,Black,5000K
LLL-LL6R,LLL-LL6R-50K-BN,"Brushed Nickel",5000K
LLL-LL6R,LLL-LL6R-50K-BC,"Brushed Copper",5000K
LLL-LB6R,LLL-LB6R-30K-WH,White,3000K
LLL-LB6R,LLL-LB6R-30K-BK,Black,3000K
LLL-LB6R,LLL-LB6R-41K-BK,White,4100K
LLL-LB6R,LLL-LBGR-41K-BK,Black,4100K
LLL-LY6RCS,LLL-LY6RCS-30K-WH,White,3000K
LLL-LY6RCS,LLL-LY6RCS-30K-BK,Black,3000K
LLL-LY6RCS,LLL-LY6RCS-30K-BN,"Brushed Nickel",3000K
LLL-LY6RCS,LLL-LY6RCS-41K-WH,White,4100K
LLL-LY6RCS,LLL-LY6RCS-41K-BK,Black,4100K
LLL-LY6RCS,LLL-LY6RCS-41K-BN,"Brushed Nickel",4100K
LLL-LL10R,LLL-LL10R-30K_WH,White,3000K
LLL-LL10R,LLL-LL10R-30K-BK,Black,3000K
LLL-LL10R,LLL-LL10R-40K-WH,White,4000K
LLL-LL10R,LLL-LL10R-40K-BK,Black,4000K
LLL-LL8R,LLL-LL8R-30K-WH,White,3000K
LLL-LL8R,LLL-LL8R-30K-BK,Black,3000K
LLL-LL8R,LLL-LL8R-40K-WH,White,4000K
LLL-LL8R,LLL-LL8R-40K-BK,Black,4000K
LLL-LY82RCD,LLL-LY82RCD-30K-WH,White,3000K
LLL-LY82RCD,LLL-LY82RCD-30K-BK,Black,3000K
LLL-LY82RCD,LLL-LY82RCD-41K-WH,White,4100K
LLL-LY82RCD,LLL-LY82RCD-41K-BK,Black,4100K
LLL-LL4RBX,LLL-LL4RBX-27K-WH,White,2700K
LLL-LL4RBX,LLL-LL4RBX-27K-BK,Black,2700K
LLL-LL4RBX,LLL-LL4RBX-27K-BN,"Brushed Nickel",2700K
LLL-LL4RBX,LLL-LL4RBX-30K-WH,White,3000K
LLL-LL4RBX,LLL-LL4RBX-30K-BK,Black,3000K
LLL-LL4RBX,LLL-LL4RBX-30K-BN,"Brushed Nickel",3000K
LLL-LL4RBX,LLL-LL4RBX-41K-WH,White,4100K
LLL-LL4RBX,LLL-LL4RBX-41K-BK,Black,4100K
LLL-LL4RBX,LLL-LL4RBX-41K-BN,"Brushed Nickel",4100K
LLL-LY4S,LLL-LY4S-30K-WH,White,3000K
LLL-LY4S,LLL-LY4S-30K-BK,Black,3000K
LLL-LY4S,LLL-LY4S-30K-BN,"Brushed Nickel",3000K
LLL-LY4S,LLL-LY4S-41K-WH,White,4100K
LLL-LY4S,LLL-LY4S-41K-BK,Black,4100K
LLL-LY4S,LLL-LY4S-41K-BN,"Brushed Nickel",4100K
LLL-LL2G24V,LLL-LL2G24V-27K-WH,White,2700K
LLL-LL2G24V,LLL-LL2G24V-27K-BK,Black,2700K
LLL-LL2G24V,LLL-LL2G24V-27K-BN,"Brushed Nickel",2700K
LLL-LL2G24V,LLL-LL2G24V-30K-WH,White,3000K
LLL-LL2G24V,LLL-LL2G24V-30K-BK,Black,3000K
LLL-LL2G24V,LLL-LL2G24V-30K-BN,"Brushed Nickel",3000K
LLL-LL2G24V,LLL-LL2G24V-41K-WH,White,4100K
LLL-LL2G24V,LLL-LL2G24V-41K-BK,Black,4100K
LLL-LL2G24V,LLL-LL2G24V-41K-BN,"Brushed Nickel",4100K
LLL-LL4RRG,LLL-LL4RRG-27K-WH,White,2700K
LLL-LL4RRG,LLL-LL4RRG-27K-BK,Black,2700K
LLL-LL4RRG,LLL-LL4RRG-30K-WH,White,3000K
LLL-LL4RRG,LLL-LL4RRG-30K-BK,Black,3000K
LLL-LL4RRG,LLL-LL4RRG-41K-WH,White,4100K
LLL-LL4RRG,LLL-LL4RRG-41K-BK,Black,4100K
LLL-LL4SRG,LLL-LL4SRG-27K-WH,White,2700K
LLL-LL4SRG,LLL-LL4SRG-27k-BK,Black,2700K
LLL-LL4SRG,LLL-LL4SRG-30K-WH,White,3000K
LLL-LL4SRG,LLL-LL4SRG-30K-BK,Black,3000K
LLL-LL4SRG,LLL-LL4SRG-41K-WH,White,4100K
LLL-LL4SRG,LLL-LL4SRG-41K-BK,Black,4100K
LLL-LY61RCD,LLL-LY61RCD-30K-WH,White,3000K
LLL-LY61RCD,LLL-LY61RCD-30K-BN,"Brushed Nickel",3000K
LLL-LY61RCD,LLL-LY61RCD-41K-WH,White,4100K
LLL-LY61RCD,LLL-LY61RCD-41K-BN,"Brushed Nickel",4100K
LLL-LRG2,LLL-LRG2-27K-WH,White,2700K
LLL-LRG2,LLL-LRG2-27K-BK,Black,2700K
LLL-LRG2,LLL-LRG2-30K-WH,White,3000K
LLL-LRG2,LLL-LRG2-30K-BK,Black,3000K
LLL-LRG2,LLL-LRG2-40K-WH,White,4000K
LLL-LRG2,LLL-LRG2-40K-BK,Black,4000K
LLL-LB4R24V,LLL-LB4R24V-30K-BK,Black,3000K
LLL-LB4R24V,LLL-LB4R24V-30K-WH,White,3000K
LLL-LB4R24V,LLL-LB4R24V-41K-BK,Black,4100K
LLL-LB4R24V,LLL-LB4R24V-41K-WH,White,4100K
LLL-LY4RCS,LLL-LY4RCS-30K-WH,White,3000K
LLL-LY4RCS,LLL-LY4RCS-30K-BK,Black,3000K
LLL-LY4RCS,LLL-LY4RCS-30K-BN,"Brushed Nickel",3000K
LLL-LY4RCS,LLL-LY4RCS-41K-WH,White,4100K
LLL-LY4RCS,LLL-LY4RCS-41K-BK,Black,4100K
LLL-LY4RCS,LLL-LY4RCS-41K-BN,"Brushed Nickel",4100K
