parent_sku,child_sku,"Finish Options","Face Plate Style"
LT-SH-LED8,LT-SH-LED8-ST-842-WH,White,"Louvered Face Plate"
LT-SH-LED8,LT-SH-LED8-ST-842-BK,Black,"Louvered Face Plate"
LT-SH-LED8,LT-SH-LED8-ST-842-SL,Silver,"Louvered Face Plate"
LT-SH-LED8,LT-SH-LED8-ST-843-WH,White,"Open Face Plate"
LT-SH-LED8,LT-SH-LED8-ST-843-BK,Black,"Open Face Plate"
LT-SH-LED8,LT-SH-LED8-ST-843-SL,Silver,"Open Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-844-WH,White,"Louvered Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-844-BK,Black,"Louvered Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-844-SI,Silver,"Louvered Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-845-WH,White,"Open Frosted Glass Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-845-BK,Black,"Open Frosted Glass Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-845-SI,Silver,"Open Frosted Glass Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-846-WH,White,"Grilled Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-846-BK,Black,"Grilled Face Plate"
LT-SH-LED8WP,LT-SH-LED8WP-ST-846-SI,Silver,"Grilled Face Plate"
