parent_sku,child_sku,"Size\, Wattage & Lumen Options","Color Temperature (CCT)"
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-30KWH,"24"" Length\, 14 Watts & 1700 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-35KWH,"24"" Length\, 14 Watts & 1700 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-40KWH,"24"" Length\, 14 Watts & 1700 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-50KWH,"24"" Length\, 14 Watts & 1700 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-30KWH,"24"" Length\, 22 Watts & 2600 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-35KWH,"24"" Length\, 22 Watts & 2600 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-40KWH,"24"" Length\, 22 Watts & 2600 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-50KWH,"24"" Length\, 22 Watts & 2600 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-30KWH,"36"" Length\, 21 Watts & 2550 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-35KWH,"36"" Length\, 21 Watts & 2550 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-40KWH,"36"" Length\, 21 Watts & 2550 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-50KWH,"36"" Length\, 21 Watts & 2550 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-30KWH,"36"" Length\, 33 Watts & 3900 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-35KWH,"36"" Length\, 33 Watts & 3900 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-40KWH,"36"" Length\, 33 Watts & 3900 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-50KWH,"36"" Length\, 33 Watts & 3900 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-30KWH,"48"" Length\, 28 Watts & 3400 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-35KWH,"48"" Length\, 28 Watts & 3400 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-40KWH,"48"" Length\, 28 Watts & 3400 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-50KWH,"48"" Length\, 28 Watts & 3400 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-30KWH,"48"" Length\, 44 Watts & 5200 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-35KWH,"48"" Length\, 44 Watts & 5200 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-40KWH,"48"" Length\, 44 Watts & 5200 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-50KWH,"48"" Length\, 44 Watts & 5200 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-30KWH,"96"" Length\, 56 Watts & 6800 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-35KWH,"96"" Length\, 56 Watts & 6800 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-40KWH,"96"" Length\, 56 Watts & 6800 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-50KWH,"96"" Length\, 56 Watts & 6800 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-30KWH,"96"" Length\, 88 Watts & 10400 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-35KWH,"96"" Length\, 88 Watts & 10400 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-40KWH,"96"" Length\, 88 Watts & 10400 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-50KWH,"96"" Length\, 88 Watts & 10400 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-30KWH,"24"" Length\, 14 Watts & 1700 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-35KWH,"24"" Length\, 14 Watts & 1700 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-40KWH,"24"" Length\, 14 Watts & 1700 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-24LQ14W1700LDMV-50KWH,"24"" Length\, 14 Watts & 1700 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-30KWH,"24"" Length\, 22 Watts & 2600 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-35KWH,"24"" Length\, 22 Watts & 2600 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-40KWH,"24"" Length\, 22 Watts & 2600 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-24LQ22W2600LDMV-50KWH,"24"" Length\, 22 Watts & 2600 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-30KWH,"36"" Length\, 21 Watts & 2550 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-35KWH,"36"" Length\, 21 Watts & 2550 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-40KWH,"36"" Length\, 21 Watts & 2550 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-36LQ21W2550LDMV-50KWH,"36"" Length\, 21 Watts & 2550 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-30KWH,"36"" Length\, 33 Watts & 3900 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-35KWH,"36"" Length\, 33 Watts & 3900 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-40KWH,"36"" Length\, 33 Watts & 3900 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-36LQ33W3900LDMV-50KWH,"36"" Length\, 33 Watts & 3900 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-30KWH,"48"" Length\, 28 Watts & 3400 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-35KWH,"48"" Length\, 28 Watts & 3400 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-40KWH,"48"" Length\, 28 Watts & 3400 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-48LQ28W3400LDMV-50KWH,"48"" Length\, 28 Watts & 3400 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-30KWH,"48"" Length\, 44 Watts & 5200 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-35KWH,"48"" Length\, 44 Watts & 5200 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-40KWH,"48"" Length\, 44 Watts & 5200 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-48LQ44W5200LDMV-50KWH,"48"" Length\, 44 Watts & 5200 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-30KWH,"96"" Length\, 56 Watts & 6800 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-35KWH,"96"" Length\, 56 Watts & 6800 Lumens",3500K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-40KWH,"96"" Length\, 56 Watts & 6800 Lumens",4000K
TF-MAX2FR,TF-MAX2FR-96LQ56W6800LDMV-50KWH,"96"" Length\, 56 Watts & 6800 Lumens",5000K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-30KWH,"96"" Length\, 88 Watts & 10400 Lumens",3000K
TF-MAX2FR,TF-MAX2FR-96LQ88W10400LDMV-35KWH,"96"" Length\, 88 Watts & 10400 Lumens",3500K
