parent_sku,child_sku,"Fixture Size","Color Temperature (CCT)"
TF-SBX,TF-SBX-22LED40DMVWH-35,2x2,3500K
TF-SBX,TF-SBX-22LED40DMVWH-40,2x2,4000K
TF-SBX,TF-SBX-22LED40DMVWH-50,2x2,5000K
TF-SBX,TF-SBX-14LED40DMVWH-35,1x4,3500K
TF-SBX,TF-SBX-14LED40DMVWH-40,1x4,4000K
TF-SBX,TF-SBX-14LED40DMVWH-50,1x4,5000K
TF-SBX,TF-SBX-24LED50DMVWH-35,2x4,3500K
TF-SBX,TF-SBX-24LED50DMVWH-40,2x4,4000K
TF-SBX,TF-SBX-24LED50DMVWH-50,2x4,5000K
TF-SES25RFS,TF-SES25RFS-F117X1WHLN15W-35K,2-Foot,3500K
TF-SES25RFS,TF-SES25RFS-F117X1WHLN15W-40K,2-Foot,4000K
TF-SES25RFS,TF-SES25RFS-F117X1WHLN15W-50K,2-Foot,5000K
TF-SES25RFS,TF-SES25RFS-F132X1WHLN18W-35K,4-Foot,3500K
TF-SES25RFS,TF-SES25RFS-F132X1WHLN18W-40K,4-Foot,4000K
TF-SES25RFS,TF-SES25RFS-F132X1WHLN18W-50K,4-Foot,5000K
TF-SES25RFS,TF-SES25RFS-F1328X1WHLN18W-35K,8-Foot,3500K
TF-SES25RFS,TF-SES25RFS-F1328X1WHLN18W-40K,8-Foot,4000K
TF-SES25RFS,TF-SES25RFS-F1328X1WHLN18W-50K,8-Foot,5000K
TF-66RMW,TF-66RMW-117X1WHLN15W-35K,"2-Foot / 1x15W / 1700 Lm",3500K
TF-66RMW,TF-66RMW-117X1WHLN15W-40K,"2-Foot / 1x15W / 1700 Lm",4000K
TF-66RMW,TF-66RMW-117X1WHLN15W-50K,"2-Foot / 1x15W / 1700 Lm",5000K
TF-66RMW,TF-66RMW-217X1WHLN15W-35K,"2-Foot / 2x15W / 3400 Lm",3500K
TF-66RMW,TF-66RMW-217X1WHLN15W-40K,"2-Foot / 2x15W / 3400 Lm",4000K
TF-66RMW,TF-66RMW-217X1WHLN15W-50K,"2-Foot / 2x15W / 3400 Lm",5000K
TF-66RMW,TF-66RMW-132X1WHLN18W-35K,"4-Foot / 1x18W / 2100 Lm",3500K
TF-66RMW,TF-66RMW-132X1WHLN18W-40K,"4-Foot / 1x18W / 2100 Lm",4000K
TF-66RMW,TF-66RMW-132X1WHLN18W-50K,"4-Foot / 1x18W / 2100 Lm",5000K
TF-66RMW,TF-66RMW-232X1WHLN18W-35K,"4-Foot / 2x18W / 4200 Lm",3500K
TF-66RMW,TF-66RMW-232X1WHLN18W-40K,"4-Foot / 2x18W / 4200 Lm",4000K
TF-66RMW,TF-66RMW-232X1WHLN18W-50K,"4-Foot / 2x18W / 4200 Lm",5000K
TF-66RMW,TF-66RMW-1328X1WHLN18W-35K,"8-Foot / 2x18W / 4200 Lm",3500K
TF-66RMW,TF-66RMW-1328X1WHLN18W-40K,"8-Foot / 2x18W / 4200 Lm",4000K
TF-66RMW,TF-66RMW-1328X1WHLN18W-50K,"8-Foot / 2x18W / 4200 Lm",5000K
TF-66RMW,TF-66RMW-2328X1WHLN18W-35K,"8-Foot / 4x18W / 8400 Lm",3500K
TF-66RMW,TF-66RMW-2328X1WHLN18W-40K,"8-Foot / 4x18W / 8400 Lm",4000K
TF-66RMW,TF-66RMW-2328X1WHLN18W-50K,"8-Foot / 4x18W / 8400 Lm",5000K
TF-SHPFPELP,TF-SHPFPELP-22LED40DMVWH-35K,2x2,3500K
TF-SHPFPELP,TF-SHPFPELP-22LED40DMVWH-40K,2x2,4000K
TF-SHPFPELP,TF-SHPFPELP-22LED40DMVWH-50K,2x2,5000K
TF-SHPFPELP,TF-SHPFPELP-14LED40DMVWH-35K,1x4,3500K
TF-SHPFPELP,TF-SHPFPELP-14LED40DMVWH-40K,1x4,4000K
TF-SHPFPELP,TF-SHPFPELP-14LED40DMVWH-50K,1x4,5000K
TF-SHPFPELP,TF-SHPFPELP-24LED50DMVWH-35K,2x4,3500K
TF-SHPFPELP,TF-SHPFPELP-24LED50DMVWH-40K,2x4,4000K
TF-SHPFPELP,TF-SHPFPELP-24LED50DMVWH-50K,2x4,5000K
