parent_sku,child_sku,"Lens Options","Color Temperature (CCT)"
ILP-RB3-13L-U,ILP-RB3-13L-U-40,"Primary Clear Polycarbonate Lens",4000K
ILP-RB3-13L-U,ILP-RB3-13L-U-40-FRL,"Primary Frosted Polycarbonate Lens",4000K
ILP-RB3-13L-U,ILP-RB3-13L-U-50,"Primary Clear Polycarbonate Lens",5000K
ILP-RB3-13L-U,ILP-RB3-13L-U-50-FRL,"Primary Frosted Polycarbonate Lens",5000K
ILP-RB3-19L-U,ILP-RB3-19L-U-40,"Primary Clear Polycarbonate Lens",4000K
ILP-RB3-19L-U,ILP-RB3-19L-U-40-FRL,"Primary Frosted Polycarbonate Lens",4000K
ILP-RB3-19L-U,ILP-RB3-19L-U-50,"Primary Clear Polycarbonate Lens",5000K
ILP-RB3-19L-U,ILP-RB3-19L-U-50-FRL,"Primary Frosted Polycarbonate Lens",5000K
ILP-RB3-25L-U,ILP-RB3-25L-U-40,"Primary Clear Polycarbonate Lens",4000K
ILP-RB3-25L-U,ILP-RB3-25L-U-40-FRL,"Primary Frosted Polycarbonate Lens",4000K
ILP-RB3-25L-U,ILP-RB3-25L-U-50,"Primary Clear Polycarbonate Lens",5000K
ILP-RB3-25L-U,ILP-RB3-25L-U-50-FRL,"Primary Frosted Polycarbonate Lens",5000K
ILP-RB3-31L-U,ILP-RB3-31L-U-40,"Primary Clear Polycarbonate Lens",4000K
ILP-RB3-31L-U,ILP-RB3-31L-U-40-FRL,"Primary Frosted Polycarbonate Lens",4000K
ILP-RB3-31L-U,ILP-RB3-31L-U-50,"Primary Clear Polycarbonate Lens",5000K
ILP-RB3-31L-U,ILP-RB3-31L-U-50-FRL,"Primary Frosted Polycarbonate Lens",5000K
ILP-EDV-12L-U,ILP-EDV-12L-U-30,"No Lens",3000K
ILP-EDV-12L-U,ILP-EDV-12L-U-30-FRL,"Frosted Acrylic Lens",3000K
ILP-EDV-12L-U,ILP-EDV-12L-U-35,"No Lens",3500K
ILP-EDV-12L-U,ILP-EDV-12L-U-35-FRL,"Frosted Acrylic Lens",3500K
ILP-EDV-12L-U,ILP-EDV-12L-U-40,"No Lens",4000K
ILP-EDV-12L-U,ILP-EDV-12L-U-40-FRL,"Frosted Acrylic Lens",4000K
ILP-EDV-12L-U,ILP-EDV-12L-U-50,"No Lens",5000K
ILP-EDV-12L-U,ILP-EDV-12L-U-50-FRL,"Frosted Acrylic Lens",5000K
ILP-EDV-18L-U,ILP-EDV-18L-U-30,"No Lens",3000K
ILP-EDV-18L-U,ILP-EDV-18L-U-30-FRL,"Frosted Acrylic Lens",3000K
ILP-EDV-18L-U,ILP-EDV-18L-U-35,"No Lens",3500K
ILP-EDV-18L-U,ILP-EDV-18L-U-35-FRL,"Frosted Acrylic Lens",3500K
ILP-EDV-18L-U,ILP-EDV-18L-U-40,"No Lens",4000K
ILP-EDV-18L-U,ILP-EDV-18L-U-40-FRL,"Frosted Acrylic Lens",4000K
ILP-EDV-18L-U,ILP-EDV-18L-U-50,"No Lens",5000K
ILP-EDV-18L-U,ILP-EDV-18L-U-50-FRL,"Frosted Acrylic Lens",5000K
ILP-EDV-24L-U,ILP-EDV-24L-U-30,"No Lens",3000K
ILP-EDV-24L-U,ILP-EDV-24L-U-30-FRL,"Frosted Acrylic Lens",3000K
