parent_sku,child_sku,"Mounting Options","Control Options"
EX-FP22,EX-FP22-EM,"T-bar Ceiling Standard",
EX-FP22,EX-FP22-NO,"T-bar Ceiling Standard",
EX-FP22,EX-FP22-SMK-EM,"Surface Mounting Kit 2x2",
EX-FP22,EX-FP22-SMK-NO,"Surface Mounting Kit 2x2",
EX-FP14=,EX-FP14-EM,"T-bar Ceiling Standard",
EX-FP14=,EX-FP14-NO,"T-bar Ceiling Standard",
EX-FP14=,EX-FP14-SMK14-EM,"Surface Mounting Kit 2x2",
EX-FP14=,EX-FP14-SMK14-NO,"Surface Mounting Kit 2x2",
EX-FP22,EX-FP22-EM,"T-bar Ceiling Standard",
EX-FP22,EX-FP22-NO,"T-bar Ceiling Standard",
EX-FP22,EX-FP22-SMK-EM,"Surface Mounting Kit 2x2",
EX-FP22,EX-FP22-SMK-NO,"Surface Mounting Kit 2x2",
EX-FP14=,EX-FP14-EM,"T-bar Ceiling Standard",
EX-FP14=,EX-FP14-NO,"T-bar Ceiling Standard",
EX-FP14=,EX-FP14-SMK14-EM,"Surface Mounting Kit 2x2",
EX-FP14=,EX-FP14-SMK14-NO,"Surface Mounting Kit 2x2",
