parent_sku,child_sku,"Wattage & Lumen","Color Temperature (CCT)"
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-14W-2700K,"14 System Watts\, 935 Delivered Lumens",2700K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-14W-3000K,"14 System Watts\, 935 Delivered Lumens",3000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-14W-3500K,"14 System Watts\, 935 Delivered Lumens",3500K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-14W-4000K,"14 System Watts\, 935 Delivered Lumens",4000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-23W-2700K,"23 System Watts\, 1700 Delivered Lumens",2700K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-23W-3000K,"23 System Watts\, 1700 Delivered Lumens",3000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-23W-3500K,"23 System Watts\, 1700 Delivered Lumens",3500K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-23W-4000K,"23 System Watts\, 1700 Delivered Lumens",4000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-30W-2700K,"30 System Watts\, 2195 Delivered Lumens",2700K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-30W-3000K,"30 System Watts\, 2195 Delivered Lumens",3000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-30W-3500K,"30 System Watts\, 2195 Delivered Lumens",3500K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-30W-4000K,"30 System Watts\, 2195 Delivered Lumens",4000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-45W-2700K,"45 System Watts\, 3370 Delivered Lumens",2700K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-45W-3000K,"45 System Watts\, 3370 Delivered Lumens",3000K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-45W-3500K,"45 System Watts\, 3370 Delivered Lumens",3500K
LT-LED-ARFK9-UZTD,LT-LED-ARFK9-UZTD-45W-4000K,"45 System Watts\, 3370 Delivered Lumens",4000K
