parent_sku,child_sku,Reflector,"Color Temperature (CCT)"
LLL-LD6R,"LLL- LD6R-27K-WR-WT","Whire Reflector - White Trim",2700K
LLL-LD6R,"LLL- LD6R-27K-SR-WT","Silver Reflector - White Trim",2700K
LLL-LD6R,"LLL- LD6R-27K-BR-WT","Black Reflector - White Trim",2700K
LLL-LD6R,"LLL- LD6R-27K-BR-BT","Black Reflector - Black Trim",2700K
LLL-LD6R,"LLL- LD6R-27K-SR-BT","Silver Reflector - Black Trim",2700K
LLL-LD6R,"LLL- LD6R-30K-WR-WT","Whire Reflector - White Trim",3000K
LLL-LD6R,"LLL- LD6R-30K-SR-WT","Silver Reflector - White Trim",3000K
LLL-LD6R,"LLL- LD6R-30K-BR-WT","Black Reflector - White Trim",3000K
LLL-LD6R,"LLL- LD6R-30K-BR-BT","Black Reflector - Black Trim",3000K
LLL-LD6R,"LLL- LD6R-30K-SR-BT","Silver Reflector - Black Trim",3000K
LLL-LD6R,"LLL- LD6R-35K-WR-WT","Whire Reflector - White Trim",3500K
LLL-LD6R,"LLL- LD6R-35K-SR-WT","Silver Reflector - White Trim",3500K
LLL-LD6R,"LLL- LD6R-35K-BR-WT","Black Reflector - White Trim",3500K
LLL-LD6R,"LLL- LD6R-35K-BR-BT","Black Reflector - Black Trim",3500K
LLL-LD6R,"LLL- LD6R-35K-SR-BT","Silver Reflector - Black Trim",3500K
LLL-LD6R,"LLL- LD6R-40K-WR-WT","Whire Reflector - White Trim",4000K
LLL-LD6R,"LLL- LD6R-40K-SR-WT","Silver Reflector - White Trim",4000K
LLL-LD6R,"LLL- LD6R-40K-BR-WT","Black Reflector - White Trim",4000K
LLL-LD6R,"LLL- LD6R-40K-BR-BT","Black Reflector - Black Trim",4000K
LLL-LD6R,"LLL- LD6R-40K-SR-BT","Silver Reflector - Black Trim",4000K
LLL-LD6R,"LLL- LD6R-50K-WR-WT","Whire Reflector - White Trim",5000K
LLL-LD6R,"LLL- LD6R-50K-SR-WT","Silver Reflector - White Trim",5000K
LLL-LD6R,"LLL- LD6R-50K-BR-WT","Black Reflector - White Trim",5000K
LLL-LD6R,"LLL- LD6R-50K-BR-BT","Black Reflector - Black Trim",5000K
LLL-LD6R,"LLL- LD6R-50K-SR-BT","Silver Reflector - Black Trim",5000K
