parent_sku,child_sku,"Reflector Finish","Color Temperature"
LLL-LD4R,LLL-LD4R-27K-4R-WR-WT,"White Reflector - White Trim",2700K
LLL-LD4R,LLL-LD4R-27K-4R-SR-WT,"Silver Reflector - White Trim",2700K
LLL-LD4R,LLL-LD4R-27K-4R-BR-WT,"Black Reflector - White Trim",2700K
LLL-LD4R,LLL-LD4R-27K-4R-BR-BT,"Black Reflector - Black Trim",2700K
LLL-LD4R,LLL-LD4R-30K-4R-WR-WT,"White Reflector - White Trim",3000K
LLL-LD4R,LLL-LD4R-30K-4R-SR-WT,"Silver Reflector - White Trim",3000K
LLL-LD4R,LLL-LD4R-30K-4R-BR-WT,"Black Reflector - White Trim",3000K
LLL-LD4R,LLL-LD4R-30K-4R-BR-BT,"Black Reflector - Black Trim",3000K
LLL-LD4R,LLL-LD4R-35K-4R-WR-WT,"White Reflector - White Trim",3500K
LLL-LD4R,LLL-LD4R-35K-4R-SR-WT,"Silver Reflector - White Trim",3500K
LLL-LD4R,LLL-LD4R-35K-4R-BR-WT,"Black Reflector - White Trim",3500K
LLL-LD4R,LLL-LD4R-35K-4R-BR-BT,"Black Reflector - Black Trim",3500K
LLL-LD4R,LLL-LD4R-40K-4R-WR-WT,"White Reflector - White Trim",4000K
LLL-LD4R,LLL-LD4R-40K-4R-SR-WT,"Silver Reflector - White Trim",4000K
LLL-LD4R,LLL-LD4R-40K-4R-BR-WT,"Black Reflector - White Trim",4000K
LLL-LD4R,LLL-LD4R-40K-4R-BR-BT,"Black Reflector - Black Trim",4000K
LLL-LD4R,LLL-LD4R-50K-4R-WR-WT,"White Reflector - White Trim",5000K
LLL-LD4R,LLL-LD4R-50K-4R-SR-WT,"Silver Reflector - White Trim",5000K
LLL-LD4R,LLL-LD4R-50K-4R-BR-WT,"Black Reflector - White Trim",5000K
LLL-LD4R,LLL-LD4R-50K-4R-BR-BT,"Black Reflector - Black Trim",5000K
LLL-LD4R,LLL-LD4R-27K-4R-SR-BT,"Silver Reflector - Black Trim",2700K
LLL-LD4R,LLL-LD4R-30K-4R-SR-BT,"Silver Reflector - Black Trim",3000K
LLL-LD4R,LLL-LD4R-35K-4R-SR-BT,"Silver Reflector - Black Trim",3500K
LLL-LD4R,LLL-LD4R-40K-4R-SR-BT,"Silver Reflector - Black Trim",4000K
LLL-LD4R,LLL-LD4R-50K-4R-SR-BT,"Silver Reflector - Black Trim",5000K
LLL-LD4R-HO,LLL-LD4R-27K-HO-4R-WR-WT,"White Reflector / White Trim",2700K
LLL-LD4R-HO,LLL-LD4R-27K-HO-4R-SR-WT,"Silver Reflector / White Trim",2700K
LLL-LD4R-HO,LLL-LD4R-27K-HO-4R-BR-WT,"Black Reflector / White Trim",2700K
LLL-LD4R-HO,LLL-LD4R-27K-HO-4R-BR-BT,"Black Reflector / Black Trim\,",2700K
LLL-LD4R-HO,LLL-LD4R-27K-HO-4R-SR-BT,"Silver Reflector / Black Trim",2700K
LLL-LD4R-HO,LLL-LD4R-30K-HO-4R-WR-WT,"White Reflector / White Trim",3000K
LLL-LD4R-HO,LLL-LD4R-30K-HO-4R-SR-WT,"Silver Reflector / White Trim",3000K
LLL-LD4R-HO,LLL-LD4R-30K-HO-4R-BR-WT,"Black Reflector / White Trim",3000K
LLL-LD4R-HO,LLL-LD4R-30K-HO-4R-BR-BT,"Black Reflector / Black Trim\,",3000K
LLL-LD4R-HO,LLL-LD4R-30K-HO-4R-SR-BT,"Silver Reflector / Black Trim",3000K
LLL-LD4R-HO,LLL-LD4R-35K-HO-4R-WR-WT,"White Reflector / White Trim",3500K
LLL-LD4R-HO,LLL-LD4R-35K-HO-4R-SR-WT,"Silver Reflector / White Trim",3500K
LLL-LD4R-HO,LLL-LD4R-35K-HO-4R-BR-WT,"Black Reflector / White Trim",3500K
LLL-LD4R-HO,LLL-LD4R-35K-HO-4R-BR-BT,"Black Reflector / Black Trim\,",3500K
LLL-LD4R-HO,LLL-LD4R-35K-HO-4R-SR-BT,"Silver Reflector / Black Trim",3500K
LLL-LD4R-HO,LLL-LD4R-40K-HO-4R-WR-WT,"White Reflector / White Trim",4000K
LLL-LD4R-HO,LLL-LD4R-40K-HO-4R-SR-WT,"Silver Reflector / White Trim",4000K
LLL-LD4R-HO,LLL-LD4R-40K-HO-4R-BR-WT,"Black Reflector / White Trim",4000K
LLL-LD4R-HO,LLL-LD4R-40K-HO-4R-BR-BT,"Black Reflector / Black Trim\,",4000K
LLL-LD4R-HO,LLL-LD4R-40K-HO-4R-SR-BT,"Silver Reflector / Black Trim",4000K
LLL-LD4R-HO,LLL-LD4R-50K-HO-4R-WR-WT,"White Reflector / White Trim",5000K
LLL-LD4R-HO,LLL-LD4R-50K-HO-4R-SR-WT,"Silver Reflector / White Trim",5000K
LLL-LD4R-HO,LLL-LD4R-50K-HO-4R-BR-WT,"Black Reflector / White Trim",5000K
LLL-LD4R-HO,LLL-LD4R-50K-HO-4R-BR-BT,"Black Reflector / Black Trim\,",5000K
LLL-LD4R-HO,LLL-LD4R-50K-HO-4R-SR-BT,"Silver Reflector / Black Trim",5000K
