parent_sku,child_sku,"Trim Ring Options","Color Temperature (CCT)"
WM-LRD-10W-3WTR,WM-LRD-10W-27K-3WTR-WH,White,2700K
WM-LRD-10W-3WTR,WM-LRD-10W-27K-3WTR-BK,Black,2700K
WM-LRD-10W-3WTR,WM-LRD-10W-27K-3WTR-C,Clear,2700K
WM-LRD-10W-3WTR,WM-LRD-10W-27K-3WTR-HZ,"Matte Silver",2700K
WM-LRD-10W-3WTR,WM-LRD-10W-27K-3WTR-MG,"Matte Gold",2700K
WM-LRD-10W-3WTR,WM-LRD-10W-50K-3WTR-WH,White,5000K
WM-LRD-10W-3WTR,WM-LRD-10W-50K-3WTR-BK,Black,5000K
WM-LRD-10W-3WTR,WM-LRD-10W-50K-3WTR-C,Clear,5000K
WM-LRD-10W-3WTR,WM-LRD-10W-50K-3WTR-HZ,"Matte Silver",5000K
WM-LRD-10W-3WTR,WM-LRD-10W-50K-3WTR-MG,"Matte Gold",5000K
WM-LRD-10W-3WTRPH,WM-LRD-10W-3WTRPH-27-BK,Black,2700K
WM-LRD-10W-3WTRPH,WM-LRD-10W-3WTRPH-27-WH,White,2700K
WM-LRD-10W-3WTRPH,WM-LRD-10W-3WTRPH-50-BK,Black,5000K
WM-LRD-10W-3WTRPH,WM-LRD-10W-3WTRPH-50-WH,White,5000K
