parent_sku,child_sku,"Wattage / Lumen Options","Color Temperature (CCT)"
ELI-E3FMA,ELI-E3FMA-803030-S12D,,3000K
ELI-E3FMA,ELI-E3FMA-803030-M14D,,3000K
ELI-E3FMA,ELI-E3FMA-803030-L22D,,3000K
ELI-E3FMA,ELI-E3FMA-803030-X32D,,3000K
ELI-E3FMA,ELI-E3FMA-803040-S12D,,4000K
ELI-E3FMA,ELI-E3FMA-803040-M14D,,4000K
ELI-E3FMA,ELI-E3FMA-803040-L22D,,4000K
ELI-E3FMA,ELI-E3FMA-803040-X32D,,4000K
ELI-E3FMA,ELI-E3FMA-803050-S12D,,5000K
ELI-E3FMA,ELI-E3FMA-803050-M14D,,5000K
ELI-E3FMA,ELI-E3FMA-803050-L22D,,5000K
ELI-E3FMA,ELI-E3FMA-803050-X32D,,5000K
LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-40K,,4000K
LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-50K,,5000K
LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-40K,,4000K
LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-50K,,5000K
LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-40K,,4000K
LOD-MTRT-4FT,LOD-MTRT-4FT-36WX2-50K,,5000K
LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-40K,,4000K
LOD-MTRT-4FT,LOD-MTRT-4FT-50WX2-50K,,5000K
