parent_sku,child_sku,"Wattage & Optics Options","Color Temperature (CCT)"
DG-AL35Q,DG-AL35Q-A1X174-U-3KCZ,"174 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-A1X174-U-4KCZ,"174 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-A1X174-U-5KCZ,"174 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-A1X262-U-3KCZ,"262 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-A1X262-U-4KCZ,"262 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-A1X262-U-5KCZ,"262 Watts / Type I/NEMA 7H x 5V",
DG-AL35Q,DG-AL35Q-B1X174-U-3KCZ,"174 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-B1X174-U-4KCZ,"174 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-B1X174-U-5KCZ,"174 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-B1X262-U-3KCZ,"262 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-B1X262-U-4KCZ,"262 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-B1X262-U-5KCZ,"262 Watts / Type II/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X174-U-3KCZ,"174 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X174-U-4KCZ,"174 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X174-U-5KCZ,"174 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X262-U-3KCZ,"262 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X262-U-4KCZ,"262 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-C1X262-U-5KCZ,"262 Watts / Type III/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-D1X174-U-3KCZ,"174 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-D1X174-U-4KCZ,"174 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-D1X174-U-5KCZ,"174 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-D1X262-U-3KCZ,"262 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-D1X262-U-4KCZ,"262 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-D1X262-U-5KCZ,"262 Watts / Type IV/NEMA 7H x 6V",
DG-AL35Q,DG-AL35Q-F1X174-U-3KCZ,"174 Watts / Type V/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-F1X174-U-4KCZ,"174 Watts / Type V/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-F1X174-U-5KCZ,"174 Watts / Type V/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-F1X262-U-3KCZ,"262 Watts / Type V/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-F1X262-U-4KCZ,"262 Watts / Type V/NEMA 7H x 7V",
DG-AL35Q,DG-AL35Q-F1X262-U-5KCZ,"262 Watts / Type V/NEMA 7H x 7V",
