parent_sku,child_sku,"Wattage Options","Trim Optionss"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP4-TRIM,"15 Watts","4"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP6-TRIM,"15 Watts","6"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP8-TRIM,"15 Watts","8"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP10-TRIM,"15 Watts","10"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP4-TRIM,"20 Watts","4"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP6-TRIM,"20 Watts","6"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP8-TRIM,"20 Watts","8"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP10-TRIM,"20 Watts","10"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP4-TRIM,"15 Watts","4"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP6-TRIM,"15 Watts","6"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP8-TRIM,"15 Watts","8"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D15W-3CCT-CP10-TRIM,"15 Watts","10"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP4-TRIM,"20 Watts","4"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP6-TRIM,"20 Watts","6"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP8-TRIM,"20 Watts","8"" Trim - Reflector"
FL-FI-CPS,FL-FI-CPS-D20W-3CCT-CP10-TRIM,"20 Watts","10"" Trim - Reflector"
