parent_sku,child_sku,"Beam Angle Options","Color Temperature (CCT)"
GC-40PAR56DIM,GC-40PAR56DIM-927-SP15,15°,2700K
GC-40PAR56DIM,GC-40PAR56DIM-927-NF25,25°,2700K
GC-40PAR56DIM,GC-40PAR56DIM-927-FL40,40°,2700K
GC-40PAR56DIM,GC-40PAR56DIM-930-SP15,15°,3000K
GC-40PAR56DIM,GC-40PAR56DIM-930-NF25,25°,3000K
GC-40PAR56DIM,GC-40PAR56DIM-930-FL40,40°,3000K
GC-6.5MR16DIM,GC-6.5MR16DIM-27-NF/35W-CASE10,"Narrow Flood - 25 Deg.",2700K
GC-6.5MR16DIM,GC-6.5MR16DIM-27-FL/35W-CASE10,"Flood - 35 Deg.",2700K
GC-6.5MR16DIM,GC-6.5MR16DIM-30-NF/35W-CASE10,"Narrow Flood - 25 Deg.",3000K
GC-6.5MR16DIM,GC-6.5MR16DIM-30-FL/35W-CASE10,"Flood - 35 Deg.",3000K
GC-6.5MR16,GC-6.5MR16-927-NF25,"25 Deg.",2700K
GC-6.5MR16,GC-6.5MR16-927-FL35,"35 Deg.",2700K
GC-6.5MR16,GC-6.5MR16-930-NF25,"25 Deg.",3000K
GC-6.5MR16,GC-6.5MR16-930-FL35,"35 Deg.",3000K
GC-6.5MR16,GC-6.5MR16-940-NF25,"25 Deg.",4000K
GC-6.5MR16,GC-6.5MR16-940-FL35,"35 Deg.",4000K
GC-13.5PAR38DIM,GC-13.5PAR38DIM-930-NF25,"Narrow Flood - 25 Deg.",3000K
GC-13.5PAR38DIM,GC-13.5PAR38DIM-930-FL40,"Flood - 40 Deg.",3000K
GC-13.5PAR38DIM,GC-13.5PAR38DIM-940-NF25,"Narrow Flood - 25 Deg.",4000K
GC-13.5PAR38DIM,GC-13.5PAR38DIM-940-FL40,"Flood - 40 Deg.",4000K
GC-30PAR38HODIM,GC-30PAR38HODIM-927-NF25,"25 Deg.",2700K
GC-30PAR38HODIM,GC-30PAR38HODIM-927-FL40,"40 Deg.",2700K
GC-30PAR38HODIM,GC-30PAR38HODIM-930-NF25,"25 Deg.",3000K
