parent_sku,child_sku,"Voltage Options","Color Temperature (CCT)"
DG-VN44QF1X45,DG-VN44QF1X45-U-4KLPZ,120-277v,4000K
DG-VN44QF1X45,DG-VN44QF1X45-U-5KLPZ,120-277v,5000K
DG-VN44QF1X45,DG-VN44QF1X45-H-4KLPZ,347-480v,4000K
DG-VN44QF1X45,DG-VN44QF1X45-H-5KLPZ,347-480v,5000K
DG-ORIONQC1X47,DG-ORIONQC1X47-U-4K-CZ,120-277v,4000K
DG-ORIONQC1X47,DG-ORIONQC1X47-U-5K-CZ,120-277v,5000K
DG-ORIONQC1X47,DG-ORIONQC1X47-H-4K-CZ,347-480v,4000K
DG-ORIONQC1X47,DG-ORIONQC1X47-H-5K-CZ,347-480v,5000K
DG-PF81QF1X100,DG-PF81QF1X100-U-5KCB,120-277v,5000K
DG-PF81QF1X100,DG-PF81QF1X100-U-4KCB,120-277v,4000K
DG-PF81QF1X100,DG-PF81QF1X100-H-5KCB,347-480v,5000K
DG-PF81QF1X100,DG-PF81QF1X100-H-4KCB,347-480v,4000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-U-3KZ,120-277v,3000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-U-4KZ,120-277v,4000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-U-5KZ,120-277v,5000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-H-3KZ,347-480v,3000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-H-4KZ,347-480v,4000K
DG-SACCORDQF1X37,DG-SACCORDQF1X37-H-5KZ,347-480v,5000K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-DMV-30KWH,"0-10V Dimming (Field Installed-Dimming Wire)",3000K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-DMV-35KWH,"0-10V Dimming (Field Installed-Dimming Wire)",3500K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-DMV-40KWH,"0-10V Dimming (Field Installed-Dimming Wire)",4000K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-DMV-50KWH,"0-10V Dimming (Field Installed-Dimming Wire)",5000K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-STMV-30KWH,"Step Dimming (Dimming Range 50% Output Current)",3000K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-STMV-35KWH,"Step Dimming (Dimming Range 50% Output Current)",3500K
TF-SSSESFR24LJ20W2000L,TF-SSSESFR24LJ20W2000L-STMV-40KWH,"Step Dimming (Dimming Range 50% Output Current)",4000K
