parent_sku,child_sku,"End Cap Finish Options","Color Temperature (CCT)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-WH,White,3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-SL,Silver,3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-BM,"Black Marble",3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-TO,Tortoise,3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-IM,Ivory,3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-30K-WM,"White Marble",3000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-WH,White,3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-SL,Silver,3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-BM,"Black Marble",3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-TO,Tortoise,3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-IM,Ivory,3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-35K-WM,"White Marble",3500K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-WH,White,"4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-SL,Silver,"4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-BM,"Black Marble","4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-TO,Tortoise,"4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-IM,Ivory,"4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-40K-WM,"White Marble","4000K (recommended)"
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-WH,White,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-SL,Silver,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-BM,"Black Marble",5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-TO,Tortoise,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-IM,Ivory,5000K
TF-ECLMW424LS48W4000LDMV,TF-ECLMW424LS48W4000LDMV-50K-WM,"White Marble",5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WH,White,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-SL,Silver,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-BM,"Black Marble",3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-TO,Tortoise,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-IM,Ivory,3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-30K-WM,"White Marble",3000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WH,White,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-SL,Silver,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-BM,"Black Marble",3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-TO,Tortoise,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-IM,Ivory,3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-35K-WM,"White Marble",3500K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WH,White,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-SL,Silver,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-BM,"Black Marble",4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-TO,Tortoise,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-IM,Ivory,4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-40K-WM,"White Marble",4000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WH,White,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-SL,Silver,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-BM,"Black Marble",5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-TO,Tortoise,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-IM,Ivory,5000K
TF-ECLMW448LS96W8000LDMV,TF-ECLMW448LS96W8000LDMV-50K-WM,"White Marble",5000K
