parent_sku,child_sku,"Factory Installed Lamps","Wiring Optionse"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,"3500K 85 CRI","8’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS,"3500K 85 CRI","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,"3500K 85 CRI","12’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,"3500K 85 CRI","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,"3500K 85 CRI","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,"4100K 85 CRI","8’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS,"4100K 85 CRI","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,"4100K 85 CRI","12’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,"4100K 85 CRI","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,"4100K 85 CRI","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,"5000K 85 CRI (Recommended)","8’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS,"5000K 85 CRI (Recommended)","8’ Cordset 120V\, 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,"5000K 85 CRI (Recommended)","12’ 3/18 Cord\, no plug"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,"5000K 85 CRI (Recommended)","12’ 3/18 Cord\, 120V 3-WIRE\, NEMA 5-15P"
TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,"5000K 85 CRI (Recommended)","8’ Cordset 277V\, 3-WIRE\, NEMA L7-15P"
