parent_sku,child_sku,"Finish Options","Color Temperature (CCT)"
LT-CMED-111-15,LT-CMED-111-15-927-WH,White,2700K
LT-CMED-111-15,LT-CMED-111-15-927-BK,Black,2700K
LT-CMED-111-15,LT-CMED-111-15-927-BN,"Brush Nickel",2700K
LT-CMED-111-15,LT-CMED-111-15-927-SN,"Satin Nickel",2700K
LT-CMED-111-15,LT-CMED-111-15-927-C,Chrome,2700K
LT-CMED-111-15,LT-CMED-111-15-930-WH,White,3000K
LT-CMED-111-15,LT-CMED-111-15-930-BK,Black,3000K
LT-CMED-111-15,LT-CMED-111-15-930-BN,"Brush Nickel",3000K
LT-CMED-111-15,LT-CMED-111-15-930-SN,"Satin Nickel",3000K
LT-CMED-111-15,LT-CMED-111-15-930-C,Chrome,3000K
LT-CMED-111-15,LT-CMED-111-15-935-WH,White,3500K
LT-CMED-111-15,LT-CMED-111-15-935-BK,Black,3500K
LT-CMED-111-15,LT-CMED-111-15-935-BN,"Brush Nickel",3500K
LT-CMED-111-15,LT-CMED-111-15-935-SN,"Satin Nickel",3500K
LT-CMED-111-15,LT-CMED-111-15-935-C,Chrome,3500K
LT-CMED-111-15,LT-CMED-111-15-940-WH,White,4000K
LT-CMED-111-15,LT-CMED-111-15-940-BK,Black,4000K
LT-CMED-111-15,LT-CMED-111-15-940-BN,"Brush Nickel",4000K
LT-CMED-111-15,LT-CMED-111-15-940-SN,"Satin Nickel",4000K
LT-CMED-111-15,LT-CMED-111-15-940-C,Chrome,4000K
LT-CMED-114-23,LT-CMED-114-23-927-WH,White,2700K
LT-CMED-114-23,LT-CMED-114-23-927-BK,Black,2700K
LT-CMED-114-23,LT-CMED-114-23-927-BN,"Brushed Nickel",2700K
LT-CMED-114-23,LT-CMED-114-23-927-SN,"Satin Nickel",2700K
LT-CMED-114-23,LT-CMED-114-23-927-C,Chrome,2700K
LT-CMED-114-23,LT-CMED-114-23-930-WH,White,3000K
LT-CMED-114-23,LT-CMED-114-23-930-BK,Black,3000K
LT-CMED-114-23,LT-CMED-114-23-930-BN,"Brushed Nickel",3000K
LT-CMED-114-23,LT-CMED-114-23-930-SN,"Satin Nickel",3000K
LT-CMED-114-23,LT-CMED-114-23-930-C,Chrome,3000K
LT-CMED-114-23,LT-CMED-114-23-935-WH,White,3500K
LT-CMED-114-23,LT-CMED-114-23-935-BK,Black,3500K
LT-CMED-114-23,LT-CMED-114-23-935-BN,"Brushed Nickel",3500K
LT-CMED-114-23,LT-CMED-114-23-935-SN,"Satin Nickel",3500K
LT-CMED-114-23,LT-CMED-114-23-935-C,Chrome,3500K
LT-CMED-114-23,LT-CMED-114-23-940-WH,White,4000K
LT-CMED-114-23,LT-CMED-114-23-940-BK,Black,4000K
LT-CMED-114-23,LT-CMED-114-23-940-BN,"Brushed Nickel",4000K
LT-CMED-114-23,LT-CMED-114-23-940-SN,"Satin Nickel",4000K
LT-CMED-114-23,LT-CMED-114-23-940-C,Chrome,4000K
LT-CMED-211-15,LT-CMED-211-15-2700K-WH,White,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-BK,Black,2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-BN,"Brushed Nickel",2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-SN,"Satin Nickel",2700K
LT-CMED-211-15,LT-CMED-211-15-2700K-C,Chrome,2700K
LT-CMED-211-15,LT-CMED-211-15-3000K-WH,White,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-BK,Black,3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-BN,"Brushed Nickel",3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-SN,"Satin Nickel",3000K
LT-CMED-211-15,LT-CMED-211-15-3000K-C,Chrome,3000K
LT-CMED-211-15,LT-CMED-211-15-3500K-WH,White,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-BK,Black,3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-BN,"Brushed Nickel",3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-SN,"Satin Nickel",3500K
LT-CMED-211-15,LT-CMED-211-15-3500K-C,Chrome,3500K
LT-CMED-211-15,LT-CMED-211-15-4000K-WH,White,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-BK,Black,4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-BN,"Brushed Nickel",4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-SN,"Satin Nickel",4000K
LT-CMED-211-15,LT-CMED-211-15-4000K-C,Chrome,4000K
LT-CMED-214-23,LT-CMED-214-23-2700K-WH,White,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-BK,Black,2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-BN,"Brush Nickel",2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-SN,"Satin Nickel",2700K
LT-CMED-214-23,LT-CMED-214-23-2700K-C,Chrome,2700K
LT-CMED-214-23,LT-CMED-214-23-3000K-WH,White,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-BK,Black,3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-BN,"Brush Nickel",3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-SN,"Satin Nickel",3000K
LT-CMED-214-23,LT-CMED-214-23-3000K-C,Chrome,3000K
LT-CMED-214-23,LT-CMED-214-23-3500K-WH,White,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-BK,Black,3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-BN,"Brush Nickel",3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-SN,"Satin Nickel",3500K
LT-CMED-214-23,LT-CMED-214-23-3500K-C,Chrome,3500K
LT-CMED-214-23,LT-CMED-214-23-4000K-WH,White,4000K
