parent_sku,child_sku,"Finish Option","Voltage Options"
DG-NB2C34X5,DG-NB2C34X5-U-41-Z,,120-277v
DG-NB2C34X5,DG-NB2C34X5-U-41-B,,120-277v
DG-NB2C34X5,DG-NB2C34X5-C-41-Z,,347v
DG-NB2C34X5,DG-NB2C34X5-C-41-B,,347v
DG-NB1C34X5,DG-NB1C34X5-U-41K-Z,,120-277v
DG-NB1C34X5,DG-NB1C34X5-U-41K-B,,120-277v
DG-NB1C34X5,DG-NB1C34X5-H-41K-Z,,347v
DG-NB1C34X5,DG-NB1C34X5-H-41K-B,,347v
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-U5KL-Z,,120-277V
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-U5KL-W,,120-277V
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-U5KL-C,,120-277V
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-H5KL-Z,,347-480V
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-H5KL-W,,347-480V
DG-FBWPOFQF1X23,DG-FBWPOFQF1X23-H5KL-C,,347-480V
ILP-CL4-2T5,ILP-CL4-2T5-HO-WHP,,"T5 High Output"
ILP-CL4-2T5,ILP-CL4-2T5-HO-BRP,,"T5 High Output"
ILP-CL4-2T5,ILP-CL4-2T5-F28-WHP,,"F28 T5 Ballast"
ILP-CL4-2T5,ILP-CL4-2T5-F28-BRP,,"F28 T5 Ballast"
ILP-CL4-1T5,ILP-CL4-1T5-HO-WHP,,"T5 High Output"
ILP-CL4-1T5,ILP-CL4-1T5-HO-BRP,,"T5 High Output"
ILP-CL4-1T5,ILP-CL4-1T5-F28-WHP,,"F28 T5 Ballast"
ILP-CL4-1T5,ILP-CL4-1T5-F28-BRP,,"F28 T5 Ballast"
ILP-CL2-2T5,ILP-CL2-2T5-HO-WHP,,"T5 High Output"
ILP-CL2-2T5,ILP-CL2-2T5-HO-BRP,,"T5 High Output"
ILP-CL2-2T5,ILP-CL2-2T5-F14-WHP,,"F14 T5 Ballast"
ILP-CL2-2T5,ILP-CL2-2T5-F14-BRP,,"F14 T5 Ballast"
ILP-CL2-1T5,ILP-CL2-1T5-HO-WHP,,"T5 High Output"
ILP-CL2-1T5,ILP-CL2-1T5-HO-BRP,,"T5 High Output"
ILP-CL2-1T5,ILP-CL2-1T5-F14-WHP,,"F14 T5 Ballast"
ILP-CL2-1T5,ILP-CL2-1T5-F14-BRP,,"F14 T5 Ballast"
ILP-C4-2T5,ILP-C4-2T5-HO-WHP,,"T5 High Output"
ILP-C4-2T5,ILP-C4-2T5-HO-BRP,,"T5 High Output"
ILP-C4-2T5,ILP-C4-2T5-F28-WHP,,"F28 T5 Ballast"
ILP-C4-2T5,ILP-C4-2T5-F28-BRP,,"F28 T5 Ballast"
ILP-C4-1T5,ILP-C4-1T5-HO-WHP,,"T5 High Output"
ILP-C4-1T5,ILP-C4-1T5-HO-BRP,,"T5 High Output"
ILP-C4-1T5,ILP-C4-1T5-F28-WHP,,"F28 T5 Ballast"
ILP-C4-1T5,ILP-C4-1T5-F28-BRP,,"F28 T5 Ballast"
ILP-C2-2T5,ILP-C2-2T5-HO-WHP,,"T5 High Output"
ILP-C2-2T5,ILP-C2-2T5-HO-BRP,,"T5 High Output"
ILP-C2-2T5,ILP-C2-2T5-F28-WHP,,"F28 T5 Ballast"
ILP-C2-2T5,ILP-C2-2T5-F28-BRP,,"F28 T5 Ballast"
ILP-C2-1T5,ILP-C2-1T5-HO-WHP,,"T5 High Output"
ILP-C2-1T5,ILP-C2-1T5-HO-BRP,,"T5 High Output"
ILP-C2-1T5,ILP-C2-1T5-F14-WHP,,"F14 T5 Ballast"
ILP-C2-1T5,ILP-C2-1T5-F14-BRP,,"F14 T5 Ballast"
ILP-CL4-2T8-,ILP-CL4-2T8-ISN-WHP,,"Instant Start\, Normal Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-ISN-BRP,,"Instant Start\, Normal Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-ISL-WHP,,"Instant Start\, Low Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-ISL-BRP,,"Instant Start\, Low Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-ISH-WHP,,"Instant Start\, High Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-ISH-BRP,,"Instant Start\, High Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-PSL-WHP,,"Program Start\, Low Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-PSL-BRP,,"Program Start\, Low Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-PSN-WHP,,"Program Start\, Normal Ballast Factor"
ILP-CL4-2T8-,ILP-CL4-2T8-PSN-BRP,,"Program Start\, Normal Ballast Factor"
