parent_sku,child_sku,"Fixture Options","Color Temperature (CCT)"
LT-LED-AFC6,LT-LED-AFC6-2700K-WR,"White Reflector",2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-HCR,"Haze Clear Reflector",2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-WB,"White Baffle",2700K
LT-LED-AFC6,LT-LED-AFC6-2700K-BB,"Black Baffle",2700K
LT-LED-AFC6,LT-LED-AFC6-3000K-WR,"White Reflector",3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-HCR,"Haze Clear Reflector",3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-WB,"White Baffle",3000K
LT-LED-AFC6,LT-LED-AFC6-3000K-BB,"Black Baffle",3000K
LT-LED-AFC6,LT-LED-AFC6-3500K-WR,"White Reflector",3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-HCR,"Haze Clear Reflector",3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-WB,"White Baffle",3500K
LT-LED-AFC6,LT-LED-AFC6-3500K-BB,"Black Baffle",3500K
LT-LED-AFC6,LT-LED-AFC6-4000K-WR,"White Reflector",4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-HCR,"Haze Clear Reflector",4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-WB,"White Baffle",4000K
LT-LED-AFC6,LT-LED-AFC6-4000K-BB,"Black Baffle",4000K
LT-CMED312,LT-CMED312-WH-2700K,White,2700K
LT-CMED312,LT-CMED312-WH-3000K,White,3000K
LT-CMED312,LT-CMED312-WH-3500K,White,3500K
LT-CMED312,LT-CMED312-WH-4000K,White,4000K
LT-CMED312,LT-CMED312-BK-2700K,Black,2700K
LT-CMED312,LT-CMED312-BK-3000K,Black,3000K
LT-CMED312,LT-CMED312-BK-3500K,Black,3500K
LT-CMED312,LT-CMED312-BK-4000K,Black,4000K
LT-CMED312,LT-CMED312-BN-2700K,"Brushed Nickel",2700K
LT-CMED312,LT-CMED312-BN-3000K,"Brushed Nickel",3000K
LT-CMED312,LT-CMED312-BN-3500K,"Brushed Nickel",3500K
LT-CMED312,LT-CMED312-BN-4000K,"Brushed Nickel",4000K
LT-CMED312,LT-CMED312-SN-2700K,"Satin Nickel",2700K
LT-CMED312,LT-CMED312-SN-3000K,"Satin Nickel",3000K
LT-CMED312,LT-CMED312-SN-3500K,"Satin Nickel",3500K
LT-CMED312,LT-CMED312-SN-4000K,"Satin Nickel",4000K
LT-CMED312,LT-CMED312-CH-2700K,Chrome,2700K
LT-CMED312,LT-CMED312-CH-3000K,Chrome,3000K
LT-CMED312,LT-CMED312-CH-3500K,Chrome,3500K
LT-CMED312,LT-CMED312-CH-4000K,Chrome,4000K
LT-LED-LFR4,LT-LED-LFR4-2700K-RWH,"White Reflector",2700K
LT-LED-LFR4,LT-LED-LFR4-2700K-RBK,"Black Reflector",2700K
LT-LED-LFR4,LT-LED-LFR4-2700K-BWH,"White Baffle",2700K
LT-LED-LFR4,LT-LED-LFR4-2700K-BBK,"Black Baffle",2700K
LT-LED-LFR4,LT-LED-LFR4-3000K-RWH,"White Reflector",3000K
LT-LED-LFR4,LT-LED-LFR4-3000K-RBK,"Black Reflector",3000K
LT-LED-LFR4,LT-LED-LFR4-3000K-BWH,"White Baffle",3000K
LT-LED-LFR4,LT-LED-LFR4-3000K-BBK,"Black Baffle",3000K
LT-LED-LFR4,LT-LED-LFR4-3500K-RWH,"White Reflector",3500K
LT-LED-LFR4,LT-LED-LFR4-3500K-RBK,"Black Reflector",3500K
LT-LED-LFR4,LT-LED-LFR4-3500K-BWH,"White Baffle",3500K
LT-LED-LFR4,LT-LED-LFR4-3500K-BBK,"Black Baffle",3500K
LT-LED-LFR4,LT-LED-LFR4-4000K-RWH,"White Reflector",4000K
LT-LED-LFR4,LT-LED-LFR4-4000K-RBK,"Black Reflector",4000K
LT-LED-LFR4,LT-LED-LFR4-4000K-BWH,"White Baffle",4000K
LT-LED-LFR4,LT-LED-LFR4-4000K-BBK,"Black Baffle",4000K
LT-CMED314,LT-CMED314-WH-2700K,White,2700K
LT-CMED314,LT-CMED314-WH-3000K,White,3000K
LT-CMED314,LT-CMED314-WH-3500K,White,3500K
LT-CMED314,LT-CMED314-WH-4000K,White,4000K
LT-CMED314,LT-CMED314-BK-2700K,Black,2700K
LT-CMED314,LT-CMED314-BK-3000K,Black,3000K
LT-CMED314,LT-CMED314-BK-3500K,Black,3500K
LT-CMED314,LT-CMED314-BK-4000K,Black,4000K
LT-CMED314,LT-CMED314-BN-2700K,"Brushed Nickel",2700K
LT-CMED314,LT-CMED314-BN-3000K,"Brushed Nickel",3000K
LT-CMED314,LT-CMED314-BN-3500K,"Brushed Nickel",3500K
LT-CMED314,LT-CMED314-BN-4000K,"Brushed Nickel",4000K
LT-CMED314,LT-CMED314-SN-2700K,"Satin Nickel",2700K
LT-CMED314,LT-CMED314-SN-3000K,"Satin Nickel",3000K
LT-CMED314,LT-CMED314-SN-3500K,"Satin Nickel",3500K
LT-CMED314,LT-CMED314-SN-4000K,"Satin Nickel",4000K
LT-CMED314,LT-CMED314-C-2700K,Chrome,2700K
LT-CMED314,LT-CMED314-C-3000K,Chrome,3000K
LT-CMED314,LT-CMED314-C-3500K,Chrome,3500K
LT-CMED314,LT-CMED314-C-4000K,Chrome,4000K
LT-CMED314,LT-CMED314-WH-2700K,White,2700K
LT-CMED314,LT-CMED314-WH-3000K,White,3000K
LT-CMED314,LT-CMED314-WH-3500K,White,3500K
LT-CMED314,LT-CMED314-WH-4000K,White,4000K
LT-CMED314,LT-CMED314-BK-2700K,Black,2700K
LT-CMED314,LT-CMED314-BK-3000K,Black,3000K
LT-CMED314,LT-CMED314-BK-3500K,Black,3500K
LT-CMED314,LT-CMED314-BK-4000K,Black,4000K
LT-CMED314,LT-CMED314-BN-2700K,"Brushed Nickel",2700K
LT-CMED314,LT-CMED314-BN-3000K,"Brushed Nickel",3000K
LT-CMED314,LT-CMED314-BN-3500K,"Brushed Nickel",3500K
LT-CMED314,LT-CMED314-BN-4000K,"Brushed Nickel",4000K
LT-CMED314,LT-CMED314-SN-2700K,"Satin Nickel",2700K
LT-CMED314,LT-CMED314-SN-3000K,"Satin Nickel",3000K
LT-CMED314,LT-CMED314-SN-3500K,"Satin Nickel",3500K
LT-CMED314,LT-CMED314-SN-4000K,"Satin Nickel",4000K
LT-CMED314,LT-CMED314-C-2700K,Chrome,2700K
LT-CMED314,LT-CMED314-C-3000K,Chrome,3000K
LT-CMED314,LT-CMED314-C-3500K,Chrome,3500K
LT-CMED314,LT-CMED314-C-4000K,Chrome,4000K
WSD-RPT06W27,WSD-RPT06W27-40K-B-I2,"2.5 Inch Adapter",4000K
WSD-RPT06W27,WSD-RPT06W27-40K-B-I3,"3 Inch Adapter",4000K
WSD-RPT06W27,WSD-RPT06W27-50K-B-I2,"2.5 Inch Adapter",5000K
WSD-RPT06W27,WSD-RPT06W27-50K-B-I3,"3 Inch Adapter",5000K
