parent_sku,child_sku,"LED Module & Wattage Options","Color Temperature (CCT)"
TF-215A24L,TF-215A24L-1U1DS24W2400LDFDMV-30K,"1 Row Uplight\, 1 Row Downlight / 24W",3000K
TF-215A24L,TF-215A24L-1U1DS24W2400LDFDMV-35K,"1 Row Uplight\, 1 Row Downlight / 24W",3500K
TF-215A24L,TF-215A24L-1U1DS24W2400LDFDMV-40K,"1 Row Uplight\, 1 Row Downlight / 24W",4000K
TF-215A24L,TF-215A24L-1U1DS24W2400LDFDMV-50K,"1 Row Uplight\, 1 Row Downlight / 24W",5000K
TF-215A24L,TF-215A24L-1U2DS36W3600LDFDMV-30K,"1 Row Uplight\, 2 Rows Downlight / 36W",3000K
TF-215A24L,TF-215A24L-1U2DS36W3600LDFDMV-35K,"1 Row Uplight\, 2 Rows Downlight / 36W",3500K
TF-215A24L,TF-215A24L-1U2DS36W3600LDFDMV-40K,"1 Row Uplight\, 2 Rows Downlight / 36W",4000K
TF-215A24L,TF-215A24L-1U2DS36W3600LDFDMV-50K,"1 Row Uplight\, 2 Rows Downlight / 36W",5000K
TF-215A24L,TF-215A24L-2U1DS36W3600LDFDMV-30K,"2 Rows Uplight\, 1 Row Downlight / 36W",3000K
TF-215A24L,TF-215A24L-2U1DS36W3600LDFDMV-35K,"2 Rows Uplight\, 1 Row Downlight / 36W",3500K
TF-215A24L,TF-215A24L-2U1DS36W3600LDFDMV-40K,"2 Rows Uplight\, 1 Row Downlight / 36W",4000K
TF-215A24L,TF-215A24L-2U1DS36W3600LDFDMV-50K,"2 Rows Uplight\, 1 Row Downlight / 36W",5000K
TF-215A24L,TF-215A24L-2U2DS48W4800LDFDMV-30K,"2 Rows Uplight\, 2 Rows Downlight / 48W",3000K
TF-215A24L,TF-215A24L-2U2DS48W4800LDFDMV-35K,"2 Rows Uplight\, 2 Rows Downlight / 48W",3500K
TF-215A24L,TF-215A24L-2U2DS48W4800LDFDMV-40K,"2 Rows Uplight\, 2 Rows Downlight / 48W",4000K
TF-215A24L,TF-215A24L-2U2DS48W4800LDFDMV-50K,"2 Rows Uplight\, 2 Rows Downlight / 48W",5000K
TF-215A48L,TF-215A48L-1U1DS48W4800LDFDMV-30KWH,"1 Row Uplight\, 1 Row Downlight / 48W",3000K
TF-215A48L,TF-215A48L-1U1DS48W4800LDFDMV-35KWH,"1 Row Uplight\, 1 Row Downlight / 48W",3500K
TF-215A48L,TF-215A48L-1U1DS48W4800LDFDMV-40KWH,"1 Row Uplight\, 1 Row Downlight / 48W",4000K
TF-215A48L,TF-215A48L-1U1DS48W4800LDFDMV-50KWH,"1 Row Uplight\, 1 Row Downlight / 48W",5000K
TF-215A48L,TF-215A48L-1U2DS73W7200LDFDMV-30KWH,"1 Row Uplight\, 2 Rows Downlight / 73W",3000K
TF-215A48L,TF-215A48L-1U2DS73W7200LDFDMV-35KWH,"1 Row Uplight\, 2 Rows Downlight / 73W",3500K
TF-215A48L,TF-215A48L-1U2DS73W7200LDFDMV-40KWH,"1 Row Uplight\, 2 Rows Downlight / 73W",4000K
TF-215A48L,TF-215A48L-1U2DS73W7200LDFDMV-50KWH,"1 Row Uplight\, 2 Rows Downlight / 73W",5000K
TF-215A48L,TF-215A48L-2U1DS73W7200LDFDMV-30KWH,"2 Rows Uplight\, 1 Row Downlight / 73W",3000K
TF-215A48L,TF-215A48L-2U1DS73W7200LDFDMV-35KWH,"2 Rows Uplight\, 1 Row Downlight / 73W",3500K
TF-215A48L,TF-215A48L-2U1DS73W7200LDFDMV-40KWH,"2 Rows Uplight\, 1 Row Downlight / 73W",4000K
TF-215A48L,TF-215A48L-2U1DS73W7200LDFDMV-50KWH,"2 Rows Uplight\, 1 Row Downlight / 73W",5000K
TF-215A48L,TF-215A48L-2U2DS97W9600LDFDMV-30KWH,"2 Rows Uplight\, 2 Rows Downlight / 97W",3000K
TF-215A48L,TF-215A48L-2U2DS97W9600LDFDMV-35KWH,"2 Rows Uplight\, 2 Rows Downlight / 97W",3500K
TF-215A48L,TF-215A48L-2U2DS97W9600LDFDMV-40KWH,"2 Rows Uplight\, 2 Rows Downlight / 97W",4000K
TF-215A48L,TF-215A48L-2U2DS97W9600LDFDMV-50KWH,"2 Rows Uplight\, 2 Rows Downlight / 97W",5000K
