parent_sku,child_sku,"Select Finish (Reflectors & Baffles)","Color Temperature (CCT)"
LT-LED-LFR56,LT-LED-LFR56-2700K-RWH,"White Reflector",2700K
LT-LED-LFR56,LT-LED-LFR56-2700K-RBK,"Black Reflector",2700K
LT-LED-LFR56,LT-LED-LFR56-2700K-BWH,"White Baffle",2700K
LT-LED-LFR56,LT-LED-LFR56-2700K-BBK,"Black Baffle",2700K
LT-LED-LFR56,LT-LED-LFR56-3000K-RWH,"White Reflector",3000K
LT-LED-LFR56,LT-LED-LFR56-3000K-RBK,"Black Reflector",3000K
LT-LED-LFR56,LT-LED-LFR56-3000K-BWH,"White Baffle",3000K
LT-LED-LFR56,LT-LED-LFR56-3000K-BBK,"Black Baffle",3000K
LT-LED-LFR56,LT-LED-LFR56-3500K-RWH,"White Reflector",3500K
LT-LED-LFR56,LT-LED-LFR56-3500K-RBK,"Black Reflector",3500K
LT-LED-LFR56,LT-LED-LFR56-3500K-BWH,"White Baffle",3500K
LT-LED-LFR56,LT-LED-LFR56-3500K-BBK,"Black Baffle",3500K
LT-LED-LFR56,LT-LED-LFR56-4000K-RWH,"White Reflector",4000K
LT-LED-LFR56,LT-LED-LFR56-4000K-RBK,"Black Reflector",4000K
LT-LED-LFR56,LT-LED-LFR56-4000K-BWH,"White Baffle",4000K
LT-LED-LFR56,LT-LED-LFR56-4000K-BBK,"Black Baffle",4000K
