parent_sku,child_sku,"Size & Wattage Options","Color Temperature (CCT)"
AEL-LUTC,AEL-LUTC-9-30,"3.5"" x 9"" / 7W",3000K
AEL-LUTC,AEL-LUTC-9-40,"3.5"" x 9"" / 7W",4000K
AEL-LUTC,AEL-LUTC-12-30,"3.5"" x 12"" / 7W",3000K
AEL-LUTC,AEL-LUTC-12-40,"3.5"" x 12"" / 7W",4000K
AEL-LUTC,AEL-LUTC-18-30,"3.5"" x 18"" / 10W",3000K
AEL-LUTC,AEL-LUTC-18-40,"3.5"" x 18"" / 10W",4000K
AEL-LUTC,AEL-LUTC-24-30,"3.5"" x 24"" / 12W",3000K
AEL-LUTC,AEL-LUTC-24-40,"3.5"" x 24"" / 12W",4000K
AEL-LUTC,AEL-LUTC-34-30,"3.5"" x 34"" / 18.5W",3000K
AEL-LUTC,AEL-LUTC-34-40,"3.5"" x 34"" / 18.5W",4000K
AEL-LUTC,AEL-LUTC-48-30,"3.5"" x 48"" / 23.5W",3000K
AEL-LUTC,AEL-LUTC-48-40,"3.5"" x 48"" / 23.5W",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-24LZ35W3400LDMV-30KWH,"2 Foot / 35 Watts",3000K
TF-SSSKDWBFR,TF-SSSKDWBFR-24LZ35W3400LDMV-35KWH,"2 Foot / 35 Watts",3500K
TF-SSSKDWBFR,TF-SSSKDWBFR-24LZ35W3400LDMV-40KWH,"2 Foot / 35 Watts",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-24LZ35W3400LDMV-50KWH,"2 Foot / 35 Watts",5000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ40W4000LDMV-30KWH,"4 Foot / 40 Watts",3000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ40W4000LDMV-35KWH,"4 Foot / 40 Watts",3500K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ40W4000LDMV-40KWH,"4 Foot / 40 Watts",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ40W4000LDMV-50KWH,"4 Foot / 40 Watts",5000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ72W7000LDMV-30KWH,"4 Foot / 72 Watts",3000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ72W7000LDMV-35KWH,"4 Foot / 72 Watts",3500K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ72W7000LDMV-40KWH,"4 Foot / 72 Watts",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-48LZ72W7000LDMV-50KWH,"4 Foot / 72 Watts",5000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ80W8000LDMV-30KWH,"8 Foot / 80 Watts",3000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ80W8000LDMV-35KWH,"8 Foot / 80 Watts",3500K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ80W8000LDMV-40KWH,"8 Foot / 80 Watts",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ80W8000LDMV-50KWH,"8 Foot / 80 Watts",5000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ114W10800LDMV-30KWH,"8 Foot / 114 Watts",3000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ114W10800LDMV-35KWH,"8 Foot / 114 Watts",3500K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ114W10800LDMV-40KWH,"8 Foot / 114 Watts",4000K
TF-SSSKDWBFR,TF-SSSKDWBFR-96LZ114W10800LDMV-50KWH,"8 Foot / 114 Watts",5000K
TF-FPHK,TF-FPHK-57X66D120DMVWH-C01-35K,"Triangle 2x2\, 56.75""W x 65.625""L - 120 Watts & 15000 Lumens",3500K
TF-FPHK,TF-FPHK-57X66D120DMVWH-C01-40K,"Triangle 2x2\, 56.75""W x 65.625""L - 120 Watts & 15000 Lumens",4000K
TF-FPHK,TF-FPHK-57X66D120DMVWH-C01-50K,"Triangle 2x2\, 56.75""W x 65.625""L - 120 Watts & 15000 Lumens",5000K
TF-FPHK,TF-FPHK-48X48D160DMVWH-C02-35K,"Square 2x2\, 48.5""W x 48.5""L - 160 Watts & 20000 Lumens",3500K
TF-FPHK,TF-FPHK-48X48D160DMVWH-C02-40K,"Square 2x2\, 48.5""W x 48.5""L - 160 Watts & 20000 Lumens",4000K
TF-FPHK,TF-FPHK-48X48D160DMVWH-C02-50K,"Square 2x2\, 48.5""W x 48.5""L - 160 Watts & 20000 Lumens",5000K
TF-FPHK,TF-FPHK-60X60D160DMVWH-C03-35K,"Square 1x4\, 60.5""W x 60.5""L - 160 Watts & 20000 Lumens",3500K
TF-FPHK,TF-FPHK-60X60D160DMVWH-C03-40K,"Square 1x4\, 60.5""W x 60.5""L - 160 Watts & 20000 Lumens",4000K
TF-FPHK,TF-FPHK-60X60D160DMVWH-C03-50K,"Square 1x4\, 60.5""W x 60.5""L - 160 Watts & 20000 Lumens",5000K
TF-FPHK,TF-FPHK-72X72D300DMVWH-C04-35K,"Square 2x4\, 72.5""W x 72.5""L - 300 Watts & 37500 Lumens",3500K
TF-FPHK,TF-FPHK-72X72D300DMVWH-C04-40K,"Square 2x4\, 72.5""W x 72.5""L - 300 Watts & 37500 Lumens",4000K
TF-FPHK,TF-FPHK-72X72D300DMVWH-C04-50K,"Square 2x4\, 72.5""W x 72.5""L - 300 Watts & 37500 Lumens",5000K
TF-SBCST-9X9LP,TF-SBCST-9X9LP10DMVWH-30K,"9""W x 9""L - 10 Watts & 1000 Lumens",3000K
TF-SBCST-9X9LP,TF-SBCST-9X9LP10DMVWH-35K,"9""W x 9""L - 10 Watts & 1000 Lumens",3500K
TF-SBCST-9X9LP,TF-SBCST-9X9LP10DMVWH-40K,"9""W x 9""L - 10 Watts & 1000 Lumens",4000K
TF-SBCST-9X9LP,TF-SBCST-9X9LP10DMVWH-50K,"9""W x 9""L - 10 Watts & 1000 Lumens",5000K
TF-SBCSM,TF-SBCSM-9X9LPD10DMVWH-30K,"9""W x 9""L - 10 Watts & 1000 Lumens",3000K
TF-SBCSM,TF-SBCSM-9X9LPD10DMVWH-35K,"9""W x 9""L - 10 Watts & 1000 Lumens",3500K
TF-SBCSM,TF-SBCSM-9X9LPD10DMVWH-40K,"9""W x 9""L - 10 Watts & 1000 Lumens",4000K
TF-SBCSM,TF-SBCSM-9X9LPD10DMVWH-50K,"9""W x 9""L - 10 Watts & 1000 Lumens",5000K
TF-SBCSM,TF-SBCSM-12X12LPD12DMVWH-30K,"12""W x 12""L - 12 Watts & 1200 Lumens",3000K
TF-SBCSM,TF-SBCSM-12X12LPD12DMVWH-35K,"12""W x 12""L - 12 Watts & 1200 Lumens",3500K
TF-SBCSM,TF-SBCSM-12X12LPD12DMVWH-40K,"12""W x 12""L - 12 Watts & 1200 Lumens",4000K
TF-SBCSM,TF-SBCSM-12X12LPD12DMVWH-50K,"12""W x 12""L - 12 Watts & 1200 Lumens",5000K
TF-SBCSM,TF-SBCSM-20X20LPD18DMVWH-30K,"20"" W x 20""L - 18 Watts & 1800 Lumens",3000K
TF-SBCSM,TF-SBCSM-20X20LPD18DMVWH-35K,"20"" W x 20""L - 18 Watts & 1800 Lumens",3500K
TF-SBCSM,TF-SBCSM-20X20LPD18DMVWH-40K,"20"" W x 20""L - 18 Watts & 1800 Lumens",4000K
TF-SBCSM,TF-SBCSM-20X20LPD18DMVWH-50K,"20"" W x 20""L - 18 Watts & 1800 Lumens",5000K
TF-SBCSM,TF-SBCSM-24X24LPD22DMVWH-30K,"24""W x 24""L - 22 Watts & 2200 Lumens",3000K
TF-SBCSM,TF-SBCSM-24X24LPD22DMVWH-35K,"24""W x 24""L - 22 Watts & 2200 Lumens",3500K
TF-SBCSM,TF-SBCSM-24X24LPD22DMVWH-40K,"24""W x 24""L - 22 Watts & 2200 Lumens",4000K
TF-SBCSM,TF-SBCSM-24X24LPD22DMVWH-50K,"24""W x 24""L - 22 Watts & 2200 Lumens",5000K
TF-SBCSM,TF-SBCSM-24X48LPD44DMVWH-30K,"24"" W x 48""L - 44 Watts & 4400 Lumens",3000K
TF-SBCSM,TF-SBCSM-24X48LPD44DMVWH-35K,"24"" W x 48""L - 44 Watts & 4400 Lumens",3500K
