parent_sku,family_count,child_sku,"Color Temperature (CCT)","Finish Options","Factory Installed Lamps","Wiring Options","End Cap Finish Options","Lamp Type Options","Select Reflector","Voltage Options","Wattage Options","Letter Color Options","Number of Faces","Wattage & Lumen Options","Fixture Wattage",Color,"Main Cable Length","Lens Options","Height Options","Wattage & Optics Options","Driver Option","LED Module & Wattage Options","End Cap Options",WattageOptions,"Pendant Mounting Kit","Beam Angle Options","Mounting Options","Trim Ring Finish","Select Finish (Reflectors & Baffles)","Length & Wattage Options","Output Wattage Options","Output Voltage Options","Wattage & Optics/Beams Options","Connector Type Options","Emergency Battery Options","Trimplate Options","Occupancy Sensor","Trim Options","Size\, Wattage & Lumen Options","Size & Wattage Options","Control Options","Square Trim Ring Options","Round Trim Ring Options","Accessories Options","Trim Shape Options","Color Te\,mperature (CCT)","Reflector Options",Reflector,"Reflector Finish","Color Temperature","Fixture Options","Color Temperat","Frosted Lens","Distribution Options"
E-F17T8,1,F17T8-830,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-F17T8,1,F17T8-835,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-F17T8,1,F17T8-841,4100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-F17T8,1,F17T8-850,"5000K (Default)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF2328MV,1,TF-LINPF2328MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF2328MV,1,TF-LINPF2328MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF2328MV,1,TF-LINPF2328MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF2328MV,1,TF-LINPF2328MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF2328MV,1,TF-LINPF2328MV-IRHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF-LINPF232MV,1,TF-LINPF232MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
