Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
E-F17T8,"T8 Fluorescent","2' Linear",,,83,,1400,,,5000K,,17,,,,,,,,,,,,
TF-LINPF2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINPF354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINLV354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-LINMW354MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN2328MV,"T8 Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN232MV,"T8 Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN2548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN254MV,"T5HO Fluorescent","4' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-PLIN3548MV,"T5HO Fluorescent","8' Linear",,"Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
