Item Type,Product ID,Product Name,Product Type,Product Code/SKU,Bin Picking Number,Brand Name,Option Set,Option Set Align,Product Description,Price,Cost Price,Retail Price,Sale Price,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight,Product Width,Product Height,Product Depth,Allow Purchases?,Product Visible?,Product Availability,Track Inventory,Date Added,Date Modified,Current Stock Level,Low Stock Level,Category,Product Image URL - 1,Product Image ID - 1,Product Image File - 1,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image URL - 2,Product Image ID - 2,Product Image File - 2,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Product Image URL - 3,Product Image ID - 3,Product Image File - 3,Product Image Description - 3,Product Image Is Thumbnail - 3,Product Image Sort - 3,Product Image URL - 4,Product Image ID - 4,Product Image File - 4,Product Image Description - 4,Product Image Is Thumbnail - 4,Product Image Sort - 4,Product Image URL - 5,Product Image ID - 5,Product Image File - 5,Product Image Description - 5,Product Image Is Thumbnail - 5,Product Image Sort - 5,Product Image URL - 6,Product Image ID - 6,Product Image File - 6,Product Image Description - 6,Product Image Is Thumbnail - 6,Product Image Sort - 6,Product Image URL - 7,Product Image ID - 7,Product Image File - 7,Product Image Description - 7,Product Image Is Thumbnail - 7,Product Image Sort - 7,Product Image URL - 8,Product Image ID - 8,Product Image File - 8,Product Image Description - 8,Product Image Is Thumbnail - 8,Product Image Sort - 8,Product Image URL - 9,Product Image ID - 9,Product Image File - 9,Product Image Description - 9,Product Image Is Thumbnail - 9,Product Image Sort - 9,Product Image URL - 10,Product Image ID - 10,Product Image File - 10,Product Image Description - 10,Product Image Is Thumbnail - 10,Product Image Sort - 10,Product Image URL - 11,Product Image ID - 11,Product Image File - 11,Product Image Description - 11,Product Image Is Thumbnail - 11,Product Image Sort - 11,Product Image URL - 12,Product Image ID - 12,Product Image File - 12,Product Image Description - 12,Product Image Is Thumbnail - 12,Product Image Sort - 12,Product Image URL - 13,Product Image ID - 13,Product Image File - 13,Product Image Description - 13,Product Image Is Thumbnail - 13,Product Image Sort - 13,Search Keywords,Page Title,Meta Keywords,Meta Description,Product Condition,Show Product Condition?,Sort Order,Product Tax Class,Product UPC/EAN,Stop Processing Rules,Product URL,Redirect Old URL?,GPS Global Trade Item Number,GPS Manufacturer Part Number,GPS Gender,GPS Age Group,GPS Color,GPS Size,GPS Material,GPS Pattern,GPS Item Group ID,GPS Category,GPS Enabled,Tax Provider Tax Code,Product Custom Fields,Minimum Purchase Quantity,Maximum Purchase Quantity,Shipping Groups,Origin Locations,Dimensional Rules
Product,267,F17T8 Lamps - Case of 25,P,E-F17T8,,Eiko Global,,Right,"<div class=""short-description"">Case of (25) 17W T8 linear fluorescent lamps, 83 CRI, choice of color temperature.</div><div class=""ProductDescription"">17 watt universal start T8 linear fluorescent lamp. CRI of 83 and 25,000 hr life at 12 hours per start. Choice of color temperature between 3000, 3500, and 4100K. Medium Bi-Pin (G13) base. Sold in case of 25 pcs.</div>",75,30,0,0,0,N,,12,0,0,0,Y,Y,,none,7/9/2021,6/12/2022,10,0,Electrical/Lamps & Bulbs/Fluorescent Lamps/T8 Lamps;Electrical/Lamps & Bulbs/Lamps/Linear Fluorescent Lamps;Electrical/Lamps & Bulbs/Lamps/Linear Fluorescent Lamps/T8 Linear Fluorescent Lamps,http://relightdepot.com/product_images/v/807/t8__47272.jpg,718,v/807/t8__47272.jpg,F17T8 Lamps - Case of 25,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F17T8 Lamps - Case of 25,"F17T8 lamps, f17T8, f17, t8","Case of (25) 17W T8 linear fluorescent lamps, 83 CRI, choice of color temperature from RelightDepot.com",New,N,0,Default Tax Class,,N,/f17t8-lamp-case/,,,F17T8,,,,,,,,,N,,"""Light Source=T8 Fluorescent"";""Fixture Size=2' Linear"";""Color Rendering Index (CRI)=83"";""Lumen Output=1400"";""Color Temperature=3000K"";""Color Temperature=3500K"";""Color Temperature=4100K"";""Color Temperature=5000K"";""Total Input Watts=17""",0,0,,,
  SKU,4789,[S]Color Temperature (CCT)=3000K,,F17T8-830,,,,,,75,0,,,,N,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,,,,,,,,,,,,,,,,
  SKU,4790,[S]Color Temperature (CCT)=3500K,,F17T8-835,,,,,,75,0,,,,N,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,
  SKU,4791,[S]Color Temperature (CCT)=4100K,,F17T8-841,,,,,,75,0,,,,N,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,,,,,,,,
  SKU,4792,[S]Color Temperature (CCT)=5000K (Default),,F17T8-850,,,,,,75,0,,,,N,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,
  Rule,4748,,,F17T8-830,,,,,,[FIXED]75,,,,,,,[FIXED]12,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
  Rule,4749,,,F17T8-835,,,,,,[FIXED]75,,,,,,,[FIXED]12,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
  Rule,4750,,,F17T8-841,,,,,,[FIXED]75,,,,,,,[FIXED]12,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
  Rule,4751,,,F17T8-850,,,,,,[FIXED]75,,,,,,,[FIXED]12,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
Product,268,Custom Quote,P,QUOTE,,,,Right,"<div class=""short-description"">Custom Quotation</div><div class=""ProductDescription"">Custom quotation.</div>",0,0,0,0,0,N,<p><strong>Resources<br></strong>No</p>,20,0,0,0,Y,N,,none,7/9/2021,7/26/2022,10,0,Support Categories/Hidden Items,http://relightdepot.com/product_images/y/403/custom-quote__75403.jpg,719,y/403/custom-quote__75403.jpg,Custom Quote,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,0,Default Tax Class,,N,/custom-quotation/,,,,,,,,,,,,N,,,0,0,,,
