SKU,family_count,family
E-F17T8,1,"Color Temperature (CCT)"
TF-LINPF2328MV,1,"Finish Options"
TF-LINPF232MV,1,"Finish Options"
TF-LINPF2548MV,1,"Finish Options"
TF-LINPF3548MV,1,"Finish Options"
TF-LINPF354MV,1,"Finish Options"
TF-LINLV2548MV,1,"Finish Options"
TF-LINLV254MV,1,"Finish Options"
TF-LINLV3548MV,1,"Finish Options"
TF-LINLV354MV,1,"Finish Options"
TF-LINMW2328MV,1,"Finish Options"
TF-LINMW232MV,1,"Finish Options"
TF-LINMW2548MV,1,"Finish Options"
TF-LINMW254MV,1,"Finish Options"
TF-LINMW3548MV,1,"Finish Options"
TF-LINMW354MV,1,"Finish Options"
TF-PLIN2328MV,1,"Finish Options"
TF-PLIN232MV,1,"Finish Options"
TF-PLIN2548MV,1,"Finish Options"
TF-PLIN254MV,1,"Finish Options"
TF-PLIN3548MV,1,"Finish Options"
TF-CITLB254MV,2,"Factory Installed Lamps,Wiring Options"
TF-CV8001,1,"Light Source Options"
TF-CV8002,1,"Select Light Source"
TF-ECLMW217S,1,"End Cap Finish Options"
TF-ECLMW232S,1,"End Cap Finish Options"
TF-ECLMW417S,1,"End Cap Finish Options"
TF-ECLMW432S,1,"End Cap Finish Options"
TF-ECLA217S,1,"End Cap Finish Options"
TF-ECLA232S,1,"End Cap Finish Options"
TF-ECLRE417S,1,"End Cap Finish Options"
TF-ECLRE432S,1,"End Cap Finish Options"
TF-WLINLV2328MV,1,"Finish Options"
TF-WLINLV232MV,1,"Finish Options"
TF-BKRA117MV,1,"Finish Options"
TF-WLINLV2548MV,1,"Finish Options"
TF-WLINLV254MV,1,"Finish Options"
TF-WLINMW2328MV,1,"Finish Options"
TF-WLINMW232MV,1,"Finish Options"
TF-WLINMW2548MV,1,"Finish Options"
TF-WLINMW254MV,1,"Finish Options"
TF-WLINPF2328MV,1,"Finish Options"
TF-WLINPF232MV,1,"Finish Options"
TF-WLINPF254MV,1,"Finish Options"
TF-VAN,2,"Lamp Type Options,End Cap Finish Options"
TF-BKRA125MV,1,"Finish Options"
TF-BKRA132MV,1,"Finish Options"
TF-24C2,2,"Select Reflector,Voltage Options"
BL-RELXTE1RCAEM-SDT,1,"Letter Color Options"
BL-LEDCXTEU,3,"Number of Faces,Letter Color Options,Finish Options"
AT-CPPG,2,"Wattage & Lumen Options,Color Temperature (CCT)"
NL-TP260,2,"Wattage & Lumen Options,Color Temperature (CCT)"
ILP-SS8-12L-U,1,"Color Temperature (CCT)"
TL-TECBTA-24,2,"Wattage Options,Color Temperature (CCT)"
TL-TECBTA-22,1,"Wattage Options"
NL-NBQL,3,"Wattage & Lumen Options,Color Temperature (CCT),Voltage Options"
PS-HB-18Y-PAD,1,"Main Cable Length"
BL-DBEL,1,"Finish Options"
BL-DXR,2,"Output Voltage,Fixture Wattage"
BL-LEDR5HO,1,"Finish Options"
PI-PT-HBL4,2,"Wattage & Lumen Options,Color Temperature (CCT)"
BL-PAR-1,1,"Finish Options"
ILP-AL-375WU,1,"Color Temperature (CCT)"
ILP-AL-225WU,1,"Color Temperature (CCT)"
ILP-AL-90WU,1,"Color Temperature (CCT)"
ILP-BLFT-15WLED-UNIV-4000K,1,"Finish Options"
EL-EB30-11W,1,"Color Temperature (CCT)"
EL-EA21-22W,1,"Color Temperature (CCT)"
EL-ET5-2,1,"Color Temperature (CCT)"
DG-HLV4AOQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Lens Options"
DG-DTRBQF1X15UHA,2,"Finish Options,Height Options"
DG-HLV2AOQ,4,"Wattage Options,Voltage Options,Color Temperature (CCT),Lens Options"
TF-131A14L,2,"Wattage Options,Color Temperature (CCT)"
TF-131A22L,2,"Wattage Options,Color Temperature (CCT)"
BL-RH-WP,1,"Fixture Options"
TF-128A24L,1,"Wattage Options"
TF-128A14L,1,"Wattage Options"
TF-153A14L,2,"Wattage Options,Color Temperature (CCT)"
TF-153A22L,2,"Wattage Options,Color Temperature (CCT)"
TF-153A24L,2,"Wattage Options,Color Temperature (CCT)"
EN-880111,1,"Finish Options"
TF-200A224LS28W3300LDMV,1,"Color Temperature (CCT)"
EN-8661,1,"Finish Options"
EN-84150,1,"Color Temperature (CCT)"
DG-HLF25QF1X132U,1,"Color Temperature (CCT)"
TF-200A424LS48W6000LDMV,1,"Color Temperature (CCT)"
TF-200A248L,2,"Wattage Options,Color Temperature (CCT)"
TF-200A296L,2,"Wattage Options,Color Temperature (CCT)"
TF-201A48L,2,"Wattage Options,Color Temperature (CCT)"
TF-201A96L,2,"Wattage Options,Color Temperature (CCT)"
TF-209A48L,2,"Wattage Options,Color Temperature (CCT)"
TF-UCLL22L,2,"Wattage Options,Color Temperature (CCT)"
TF-UCLL24L,2,"Wattage Options,Color Temperature (CCT)"
TF-UCLL14L,2,"Wattage Options,Color Temperature (CCT)"
TF-VLT22LJ36W3700LDMV,1,"Color Temperature (CCT)"
TF-VLT24L,2,"Wattage Options,Color Temperature (CCT)"
EN-83200,1,"Finish Options"
TF-LXT22LZ36W4200LDMV,1,"Color Temperature (CCT)"
EN-83150L,1,"Finish Options"
EN-83150,1,"Finish Options"
TF-LXT24LZ50W6450LDMV,1,"Color Temperature (CCT)"
EN-82150L,1,"Finish Options"
TF-CRVRL24L,2,"Wattage Options,Color Temperature (CCT)"
TF-CRVRL22L,2,"Wattage Options,Color Temperature (CCT)"
TF-EWW24L,2,"Wattage Options,Color Temperature (CCT)"
TF-EWW48L,2,"Wattage Options,Color Temperature (CCT)"
TF-SKDFR48L,2,"Wattage Options,Color Temperature (CCT)"
TF-SKDFR96L,2,"Wattage Options,Color Temperature (CCT)"
TF-SKDWBFR24LJ35W3400LDMV,1,"Color Temperature (CCT)"
TF-SKDWBFR48L,2,"Wattage Options,Color Temperature (CCT)"
TF-SKDWBFR96L,1,"Wattage Options"
TF-LVS648L,3,"Wattage & Lumen Options,Color Temperature (CCT),Finish Options"
TF-LVS696L,2,"Wattage Options,Color Temperature (CCT)"
TF-ECLMW424LS48W4000LDMV,2,"Color Temperature (CCT),End Cap Finish Options"
TF-ECLMW224L,3,"Wattage Options,Color Temperature (CCT),End Cap Finish Options"
TF-ECLMW448LS96W8000LDMV,2,"Color Temperature (CCT),End Cap Finish Options"
TF-ECLMW248L,3,"Wattage Options,Color Temperature (CCT),End Cap Finish Options"
DG-PF80Q,4,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT),Lens Options"
DG-PF70Q,3,"Wattage & Optics Options,Color Temperature (CCT),Lens Options"
TF-PUF22L,2,"Wattage Options,Color Temperature (CCT)"
TF-CLMMW248L,2,"Wattage Options,Color Temperature (CCT)"
TF-CLMMW448L,2,"Wattage Options,Color Temperature (CCT)"
DG-AFR31Q,4,"Wattage & Optic Options,Voltage Options,Color Temperature (CCT),Lens Options"
TF-C24LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-C48LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-C96LFR,2,"Wattage Options,Color Temperature (CCT)"
TF-KDS48L,2,"Wattage Options,Color Temperature (CCT)"
TF-KDS96L,2,"Wattage Options,Color Temperature (CCT)"
TF-IND48L,2,"Wattage Options,Color Temperature (CCT)"
TF-IND96L,2,"Wattage & Lumen Options,Color Temperature (CCT)"
DG-FTRBQ,5,"Wattage & Optic Options,Driver Option,Color Temperature (CCT),Finish Options,Height Options"
DG-AFS30Q,5,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT),Lens Options,Finish Options"
DG-AFS32Q,3,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT)"
TF-CITE48L,2,"Wattage Options,Color Temperature (CCT)"
TF-CITE96L,2,"Wattage Options,Color Temperature (CCT)"
TF-UDLL22L,2,"Wattage Options,Color Temperature (CCT)"
TF-UDLL24L,2,"Wattage Options,Color Temperature (CCT)"
TF-215A24L,2,"LED Module & Wattage Options,Color Temperature (CCT)"
TF-215A48L,2,"LED Module & Wattage Options,Color Temperature (CCT)"
DG-AFR30Q,3,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT)"
DG-AFS31Q,4,"Wattage & Optics Options,Voltage Options,Color Temperature (CCT),Lens Options"
TF-44RSF48L,2,"Wattage Options,Color Temperature (CCT)"
TF-44RSF96L,2,"Wattage Options,Color Temperature (CCT)"
TF-44RFSF96L,2,"Wattage Options,Color Temperature (CCT)"
TF-44WSF48L,2,"Wattage Options,Color Temperature (CCT)"
TF-44WSF96L,2,"Wattage Options,Color Temperature (CCT)"
TF-66RSF48LR48W4800LDMV,1,"Color Temperature (CCT)"
TF-66RSF96L,2,"Wattage Options,Color Temperature (CCT)"
TF-AO,1,"Select Size"
TF-BKAMW48L,1,"Wattage Options"
TF-BKRMW24L,1,"Finish Options"
TF-BKRMW48L,1,"Finish Options"
TF-BKSMW48L,1,"Wattage Options"
TF-BR,1,"Select Size (W x L)"
TF-CIRDC11L,2,"Wattage Options,Color Temperature (CCT)"
TF-CIRDC14L,1,"Wattage Options"
TF-FHBL48L,2,"Wattage Options,Color Temperature (CCT)"
TF-FHBL96L,2,"Wattage Options,Color Temperature (CCT)"
TF-HBC22L,2,"Wattage Options,Color Temperature (CCT)"
