parent_sku,child_sku,"Control Options"
EX-EXL-4FT,EX-EXL-4FT-OCC1,
EX-EXL-4FT,EX-EXL-4FT-OCC2,
EX-EXL-4FT,EX-EXL-4FT-EM,
EX-EXL-4FT,EX-EXL-4FT-NO,
EX-EXL-8FT,EX-EXL-8FT-OCC1,
EX-EXL-8FT,EX-EXL-8FT-OCC2,
EX-EXL-8FT,EX-EXL-8FT-EM,
EX-EXL-8FT,EX-EXL-8FT-NO,
EX-LRK-4FT,EX-LRK-4FT-OCC1,
EX-LRK-4FT,EX-LRK-4FT-OCC2,
EX-LRK-4FT,EX-LRK-4FT-EM,
EX-LRK-4FT,EX-LRK-4FT-NO,
EX-LRK-8FT,EX-LRK-8FT-OCC1,
EX-LRK-8FT,EX-LRK-8FT-OCC2,
EX-LRK-8FT,EX-LRK-8FT-EM,
EX-LRK-8FT,EX-LRK-8FT-NO,
EX-EXL-4FT,EX-EXL-4FT-OCC1,
EX-EXL-4FT,EX-EXL-4FT-OCC2,
EX-EXL-4FT,EX-EXL-4FT-EM,
EX-EXL-4FT,EX-EXL-4FT-NO,
EX-EXL-8FT,EX-EXL-8FT-OCC1,
EX-EXL-8FT,EX-EXL-8FT-OCC2,
EX-EXL-8FT,EX-EXL-8FT-EM,
EX-EXL-8FT,EX-EXL-8FT-NO,
EX-LRK-4FT,EX-LRK-4FT-OCC1,
EX-LRK-4FT,EX-LRK-4FT-OCC2,
EX-LRK-4FT,EX-LRK-4FT-EM,
EX-LRK-4FT,EX-LRK-4FT-NO,
EX-LRK-8FT,EX-LRK-8FT-OCC1,
EX-LRK-8FT,EX-LRK-8FT-OCC2,
EX-LRK-8FT,EX-LRK-8FT-EM,
EX-LRK-8FT,EX-LRK-8FT-NO,
