parent_sku,child_sku,"Fixture Option"
BL-RH-WP,BL-RH-WP-1,
BL-RH-WP,BL-RH-WP-2,
ELI-E1FLK-20,ELI-E1FLK-20-750,
ELI-E1FLK-20,ELI-E1FLK-20-L750,
RP-4115WH,RP-4115WH-OS,
RP-4115WH,RP-4115WH-EM,
RP-4115WH,RP-4115WH-NO,
DG-AG24QF1X47U5KW,DG-AG24QF1X47U5KW-SF,
DG-AG24QF1X47U5KW,DG-AG24QF1X47U5KW-DF,
DG-AG24QF1X47U5KW,DG-AG24QF1X47U5KW-SP,
TF-LLLSFHCNPF,TF-LLLSFHCNPF-605WH,
TF-LLLSFHCNPF,TF-LLLSFHCNPF-612WH,
TF-LLLSFHCPF,TF-LLLSFHCPF-605WWH,
TF-LLLSFHCPF,TF-LLLSFHCPF-612WWH,
RP-8117HA,RP-8117HA-EM,
RP-8117HA,RP-8117HA-NO,
RP-8518,RP-8518-WH,
RP-8518,RP-8518-CL,
RP-7916,RP-7916-AG-BA,
RP-7916,RP-7916-WH-BA,
RP-RXL34,RP-RXL34GBA,
RP-RXL34,RP-RXL34GW,
RP-RXL34,RP-RXL34RBA,
RP-RXL34,RP-RXL34RW,
RP-RXL18,RP-RXL18RBA,
RP-RXL18,RP-RXL18GBA,
RP-RXL18,RP-RXL18RW,
RP-RXL18,RP-RXL18GW,
RP-RXL17,RP-RXL17RBA,
RP-RXL17,RP-RXL17GBA,
RP-RXL17,RP-RXL17RW,
RP-RXL17,RP-RXL17GW,
RP-RXL15,RP-RXL15RBA,
RP-RXL15,RP-RXL15GBA,
RP-RXEL39,RP-RXEL39RW,
RP-RXEL39,RP-RXEL39GW,
RP-RXEL37,RP-RXEL37RW,
RP-RXEL37,RP-RXEL37GW,
RP-REL23,RP-REL23-N-SD,
RP-REL23,RP-REL23-SD-C,
RP-REL23,RP-REL23-SD-C-W,
RP-REL22,RP-REL22-,
RP-REL22,RP-REL22-N,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-WW,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-WB,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-BW,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-BB,
EX-FP24,EX-FP24-SMK24,
EX-FP24,EX-FP24-EM,
EX-FP24,EX-FP24-NO,
GL-LOC-D-12-120-830,LOC-D-12-120-830-BL,
GL-LOC-D-12-120-830,LOC-D-12-120-830-BL-EML8,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-WW,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-WB,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-BW,
WM-SCO-4FT-40W-MCT,WM-SCO-4FT-40W-MCT-BB,
EX-FP24,EX-FP24-SMK24,
EX-FP24,EX-FP24-EM,
EX-FP24,EX-FP24-NO,
GL-LOC-D-12-120-830,LOC-D-12-120-830-BL,
GL-LOC-D-12-120-830,LOC-D-12-120-830-BL-EML8,
PI-PT-STL-4FT,PI-PT-STL-4FT-3CP-EM,
PI-PT-STL-4FT,PI-PT-STL-4FT-3CP,
PI-PT-WPH3-LW,PI-PT-WPH3-LW-3CP,
PI-PT-WPH3-LW,PI-PT-WPH3-LW-3CP-EM,
PI-PT-WPH3-HW,PI-PT-WPH3-HW-3CP,
PI-PT-WPH3-HW,PI-PT-WPH3-HW-3CP-EM,
SW-SWX-211,SW-SWX-211-2,
SW-SWX-211,SW-SWX-211-2-D,
SW-SWX-212,SW-SWX-212-2,
SW-SWX-212,SW-SWX-212-2-D,
SW-SWX-231,SW-SWX-231-2,
SW-SWX-231,SW-SWX-231-2-D,
SW-SWX-250-1,SW-SWX-250--1,
SW-SWX-250-1,SW-SWX-250-1-D,
SW-SWX-250-2,SW-SWX-250--2,
SW-SWX-250-2,SW-SWX-250-2-D,
SW-SWX-511,SW-SWX-511-NO,
SW-SWX-511,SW-SWX-511-D,
SW-SWX-511,SW-SWX-511-NL,
SW-SWX-211-1,SW-SWX-211--1,
SW-SWX-211-1,SW-SWX-211-1-D,
SW-SWX-212-1,SW-SWX-212--1,
SW-SWX-212-1,SW-SWX-212-1-D,
SW-SWX-231-1,SW-SWX-231--1,
SW-SWX-231-1,SW-SWX-231-1-D,
SW-SWX-232-1,SW-SWX-232--1,
SW-SWX-232-1,SW-SWX-232-1-D,
SW-SWX-550,SW-SWX-550-NO,
SW-SWX-550,SW-SWX-550-D,
SW-SWX-843,SW-SWX-843-12,
SW-SWX-843,SW-SWX-843-60,
SW-SWX-900,SW-SWX-900-NO,
SW-SWX-900,SW-SWX-900-AX,
SW-SWX-900,SW-SWX-900-AX-D2,
