parent_sku,child_sku,"Lamp / Ballast Options"
ILP-BLEXT-,ILP-BLEXT-3T8-PSN,"3 Lamps / Program Start T8 HBN"
ILP-BLEXT-,ILP-BLEXT-3T8-PSH,"3 Lamps / Program Start T8 HBF"
ILP-BLEXT-,ILP-BLEXT-4T8-PSN,"4 Lamps / Program Start T8 HBN"
ILP-BLEXT-,ILP-BLEXT-4T8-PSH,"4 Lamps / Program Start T8 HBF"
ILP-BLEXT-,ILP-BLEXT-6T8-PSN,"6 Lamps / Program Start T8 HBN"
ILP-BLEXT-,ILP-BLEXT-6T8-PSH,"6 Lamps / Program Start T8 HBF"
ILP-BLEXT,ILP-BLEXT-3T8-UR,"3 Lamps / 120-277 T8 NBF"
ILP-BLEXT,ILP-BLEXT-3T8-UH,"3 Lamps / 120-277 T8 HBF"
ILP-BLEXT,ILP-BLEXT-4T8-UR,"4 Lamps / 120-277 T8 NBF"
ILP-BLEXT,ILP-BLEXT-6T8-UR,"6 Lamps / 120-277 T8 NBF"
ILP-BLEXT,ILP-BLEXT-6T8-UH,"6 Lamps / 120-277 T8 HBF"
ILP-BLEXT,ILP-BLEXT-4T8--UH,"4 Lamps / 120-277 T8 HBF"
ILP-BL-,ILP-BL--3T8-PSN,"3 Lamps / Program Start T8 HBN"
ILP-BL-,ILP-BL--3T8-PSH,"3 Lamps  / Program Start T8 HBF"
ILP-BL-,ILP-BL--4T8-PSN,"4 Lamps  / Program Start T8 HBN"
ILP-BL-,ILP-BL--4T8-PSH,"4 Lamps / Program Start T8 HBF"
ILP-BL-,ILP-BL--6T8-PSN,"6 Lamps / Program Start T8 HBN"
ILP-BL-,ILP-BL--6T8-PSH,"6 Lamps / Program Start T8 HBF"
