parent_sku,child_sku,"Metal Trim Ring Finish"
LT-LEDT-R44-HC,LT-LEDT-R44-HC-WH,"White Plastic Trim Ring (Standard)"
LT-LEDT-R44-HC,LT-LEDT-R44-HC-SF,"Polished Self-Flange (For Open or Wall Wash Reflectors ONLY)"
LT-LEDT-R64-HC,LT-LEDT-R64-HC-WH,"White Plastic Trim Ring (Standard)"
LT-LEDT-R64-HC,LT-LEDT-R64-HC-SF,"Polished Self-Flange (For Open or Wall Wash Reflectors ONLY)"
LT-LEDT-R436-HC,LT-LEDT-R436-HC-WH,"White Plastic Trim Ring (Standard)"
LT-LEDT-R436-HC,LT-LEDT-R436-HC-SF,"Polished Self-Flange (For Open or Wall Wash Reflectors ONLY)"
LT-LEDT-R636,LT-LEDT-R636-HC-SF,"White Plastic Trim Ring (Standard)"
LT-LEDT-R636,LT-LEDT-R636-HC-WH,"Polished Self-Flange (For Open or Wall Wash Reflectors ONLY)"
LT-LEDT-R836,LT-LEDT-R836-HC-WH,"White Plastic Trim Ring (Standard)"
LT-LEDT-R836,LT-LEDT-R836-HC-SF,"Polished Self-Flange (For Open or Wall Wash Reflectors ONLY)"
