parent_sku,child_sku,"Number of Channels & Wattage Options"
MI-JB-,MI-JB-5-E60R12DC,"5 x 60 Watts (300W) 12VDC"
MI-JB-,MI-JB-5-E96R24DC,"5 x 96 Watts (480W) 24VDC"
MI-JB-,MI-JB-6-E60R12DC,"6 x 60 Watts (360W) 12VDC"
MI-JB-,MI-JB-6-E96R24DC,"6 x 96 Watts (576W) 24VDC"
MI-JB-,MI-JB-7-E60R12DC,"7 x 60 Watts (420W) 12VDC"
MI-JB-,MI-JB-7-E96R24DC,"7 x 96 Watts (672W) 24VDC"
MI-JB-,MI-JB-8-E60R12DC,"8 x 60 Watts (480W) 12VDC"
MI-JB-,MI-JB-8-E96R24DC,"8 x 96 Watts (768W) 24VDC"
MI-JB-,MI-JB-9-E60R12DC,"9 x 60 Watts (540W) 12VDC"
MI-JB-,MI-JB-9-E96R24DC,"9 x 96 Watts (864W) 24VDC"
MI-JB,MI-JB-2-E60R12DC,"2 x 60 Watts (120W) 12VDC"
MI-JB,MI-JB-2-E96R24DC,"2 x 96 Watts (192W) 24VDC"
MI-JB,MI-JB-3-E60R12DC,"3 x 60 Watts (180W) 12VDC"
MI-JB,MI-JB-3-E96R24DC,"3 x 96 Watts (288W) 24VDC"
MI-JB,MI-JB-4-E60R12DC,"4 x 60 Watts (240W) 12VDC"
MI-JB,MI-JB-4-E96R24DC,"4 x 96 Watts (384W) 24VDC"
